"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",2.62874517947581,23.8907604015959,27.3153862909764,0.874626488789146,1,1,158,NA,NA,NA,NA,57,NA,NA,NA,NA
"2","Albania",50.0575166549034,3.06174196880293,0.893904385255928,3.4251336264855,0,1,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
"3","Algeria",20.5624945510972,20.1802248587758,8.03283536755453,2.51221691163819,2,2,140,209,NA,NA,NA,58,164,NA,NA,NA
"4","Andorra",4.14378440705423,1.86249711956856,1.12904048526563,1.64962828514548,2,2,91,156,NA,NA,NA,64,142,NA,NA,NA
"5","Angola",21.7044711728116,2.06214363934493,1.54797907491674,1.33215214130452,1,1,223,NA,NA,NA,NA,83,NA,NA,NA,NA
"6","Argentina",41.054435845256,196.869531329574,0,-Inf,0,1,NA,NA,NA,NA,NA,65,NA,NA,NA,NA
"7","Armenia",9.91389593420321,15.5033457584607,13.2119613655581,1.1734325683752,1,1,180,NA,NA,NA,NA,62,NA,NA,NA,NA
"8","Aruba",10.9067231917819,6.26086512999646,0.507522826053574,12.3361252117074,1,1,229,NA,NA,NA,NA,74,NA,NA,NA,NA
"9","Australia",8.80267698030021,23.6792097041176,19.1374658380935,1.23732211487393,2,2,88,216,NA,NA,NA,26,162,NA,NA,NA
"10","Austria",5.91481486744368,43.1834019117577,32.0468515309835,1.34750840874359,1,1,88,NA,NA,NA,NA,58,NA,NA,NA,NA
"11","Azerbaijan",10.3477959992913,14.2576462247567,18.6796729503036,0.763270655898982,1,1,187,NA,NA,NA,NA,61,NA,NA,NA,NA
"12","Bahamas",24.384656984908,2.4365633835074,1.42112232603587,1.71453458922431,1,1,234,NA,NA,NA,NA,77,NA,NA,NA,NA
"13","Bahrain",18.5375089778184,18.4932802275368,10.6863429507799,1.73055275436272,1,1,181,NA,NA,NA,NA,56,NA,NA,NA,NA
"14","Bangladesh",29.2471232611338,85.4884500491207,50.9733304812848,1.67712113848453,1,1,180,NA,NA,NA,NA,70,NA,NA,NA,NA
"15","Belarus",4.4866868464016,32.2864627278525,25.9641744403198,1.24350045490816,1,1,139,NA,NA,NA,NA,60,NA,NA,NA,NA
"16","Belgium",6.35763275241695,70.6331394561134,54.4113098382333,1.29813341502177,2,2,99,221,NA,NA,NA,36,181,NA,NA,NA
"17","Belize",11.9725558464592,2.63984588527514,0.702211011450018,3.75933422038489,1,1,231,NA,NA,NA,NA,85,NA,NA,NA,NA
"18","Benin",3.11089018621022,2.71085442997889,3.45726276664287,0.784104250372392,3,3,131,176,200,NA,NA,78,144,190,NA,NA
"19","Bolivia",40.7162875887372,29.9716056580446,25.2430709951186,1.18732010316179,1,1,203,NA,NA,NA,NA,73,NA,NA,NA,NA
"20","Bosnia_and_Herzegovina",37.4170724582669,7.17527691917633,5.45845395319736,1.31452550130487,1,1,218,NA,NA,NA,NA,67,NA,NA,NA,NA
"21","Botswana",12.8492559871146,3.46582565152731,0.855192999975799,4.05268243732747,1,1,206,NA,NA,NA,NA,93,NA,NA,NA,NA
"22","Brazil",40.2943296223037,877.395963360774,674.377981075813,1.3010447968083,1,1,213,NA,NA,NA,NA,58,NA,NA,NA,NA
"23","Bulgaria",16.6716298035327,6.76743851600529,7.13722794234849,0.948188648403805,2,2,119,206,NA,NA,NA,69,151,NA,NA,NA
