"국가별","항목","단위","2015 년","2016 년","2017 년",
"불가리아","조혼인율[‰]","‰","3.8618","3.76034","4.04087",
"불가리아","조이혼율[‰]","‰","1.46044","1.48755","1.47132",
"불가리아","연평균인구증가율[%]","%","-.90156","-.86372","-.89662",
"불가리아","인구밀도[㎢당]","㎢당","64.8835","64.81521","64.10998",
"크로아티아","조출생률[‰]","‰","8.92163","8.9923","8.85165",
"크로아티아","조사망률[‰]","‰","12.89489","12.34731","12.94889",
"크로아티아","자연증가율[‰]","‰","-3.97326","-3.35501","-4.09724",
"크로아티아","조혼인율[‰]","‰","4.71833","4.90304","",
"크로아티아","조이혼율[‰]","‰","1.42973","1.68553","",
"크로아티아","연평균인구증가율[%]","%","-.32914","-.41151","-.56156",
"크로아티아","인구밀도[㎢당]","㎢당","74.66014","74.04794","72.97334",
"체코","조출생률[‰]","‰","10.50599","10.66351","10.79859",
"체코","조사망률[‰]","‰","10.54478","10.1985","10.51901",
"체코","자연증가율[‰]","‰","-.03879",".46501",".27958",
"체코","조혼인율[‰]","‰","4.57093","4.80517","4.96175",
"체코","조이혼율[‰]","‰","2.47398","2.36586","2.43099",
"체코","연평균인구증가율[%]","%",".13035",".12592",".16277",
"체코","인구밀도[㎢당]","㎢당","133.67815","133.81361","134.32716",
"덴마크","조출생률[‰]","‰","10.25034","10.76329","10.65792",
"덴마크","조사망률[‰]","‰","9.25533","9.22778","9.24559",
"덴마크","자연증가율[‰]","‰",".99501","1.53552","1.41233",
"덴마크","조혼인율[‰]","‰","5.08123","5.37466","5.51618",
"덴마크","조이혼율[‰]","‰","2.87813","3.0085","2.64985",
"덴마크","연평균인구증가율[%]","%",".47513",".53073",".54506",
"덴마크","인구밀도[㎢당]","㎢당","132.29766","133.37192","134.21621",
"에스토니아","조출생률[‰]","‰","10.57882","10.68028","10.46316",
"에스토니아","조사망률[‰]","‰","11.5951","11.69792","11.79838",
"에스토니아","자연증가율[‰]","‰","-1.01627","-1.01764","-1.33522",
"에스토니아","조혼인율[‰]","‰","5.18406","4.8336","4.89379",
"에스토니아","조이혼율[‰]","‰","2.57263","2.47912","2.52242",
"에스토니아","연평균인구증가율[%]","%","-.27533","-.19555","-.15199",
"에스토니아","인구밀도[㎢당]","㎢당","29.03732","29.09642","29.12826",
"핀란드","조출생률[‰]","‰","10.12681","9.60831","9.13563",
"핀란드","조사망률[‰]","‰","9.57824","9.81046","9.75307",
"핀란드","자연증가율[‰]","‰",".54857","-.20215","-.61744",
"핀란드","조혼인율[‰]","‰","4.51145","4.453","",
"핀란드","조이혼율[‰]","‰","2.54322","2.46588","",
"핀란드","연평균인구증가율[%]","%",".5044",".52735",".45516",
"핀란드","인구밀도[㎢당]","㎢당","16.24345","16.34799","16.35135",
"프랑스","조출생률[‰]","‰","11.80235","11.5136","11.2572",
"프랑스","조사망률[‰]","‰","9.02954","8.98384","9.14195",
"프랑스","자연증가율[‰]","‰","2.77281","2.52975","2.11525",
"프랑스","조혼인율[‰]","‰","3.57543","3.50363","",
"프랑스","조이혼율[‰]","‰","1.87384","1.92901","",
"프랑스","연평균인구증가율[%]","%",".46422",".4738",".44524",
"프랑스","인구밀도[㎢당]","㎢당","116.76381","117.37461","117.69646",
"독일","조출생률[‰]","‰","9.02932","9.61931","9.4966",
"독일","조사망률[‰]","‰","11.32621","11.06153","11.28368",
"독일","자연증가율[‰]","‰","-2.29689","-1.44222","-1.78708",
"독일","조혼인율[‰]","‰","4.89817","4.984","4.92788",
"독일","조이혼율[‰]","‰","1.99953","1.97207","1.85644",
"독일","연평균인구증가율[%]","%","-.13745",".08504",".13291",
"독일","인구밀도[㎢당]","㎢당","227.20478","229.93538","230.77945",
"지브롤터","조출생률[‰]","‰","14.65463","","",
"지브롤터","조사망률[‰]","‰","6.99967","","",
"지브롤터","자연증가율[‰]","‰","7.65496","","",
"지브롤터","조혼인율[‰]","‰","5.80824","","",
"지브롤터","조이혼율[‰]","‰","1.81694","","",
"그리스","조출생률[‰]","‰","8.48788","8.62083","8.23199",
"그리스","조사망률[‰]","‰","11.19891","11.02312","11.58038",
"그리스","자연증가율[‰]","‰","-2.71103","-2.40229","-3.34839",
"그리스","조혼인율[‰]","‰","4.96","4.6058","4.66247",
"그리스","조이혼율[‰]","‰","","1.02199","",
"그리스","연평균인구증가율[%]","%","-.47932","-.51382","-.46104",
"그리스","인구밀도[㎢당]","㎢당","82.28452","81.72168","81.6038",
"헝가리","조출생률[‰]","‰","9.36043","9.71681","9.66963",
"헝가리","조사망률[‰]","‰","13.36733","12.95065","13.47338",
"헝가리","자연증가율[‰]","‰","-4.0069","-3.23384","-3.80375",
"헝가리","조혼인율[‰]","‰","4.68728","5.27867","5.16675",
"헝가리","조이혼율[‰]","‰","2.0639","1.99225","1.88957",
"헝가리","연평균인구증가율[%]","%","-.31654","-.28499","-.3062",
"헝가리","인구밀도[㎢당]","㎢당","105.8114","105.67914","105.22205",
"아이슬란드","조출생률[‰]","‰","12.48132","12.02603","11.85498",
"아이슬란드","조사망률[‰]","‰","6.58375","6.88352","6.52009",
"아이슬란드","자연증가율[‰]","‰","5.89756","5.14251","5.33489",
"아이슬란드","연평균인구증가율[%]","%",".68583",".74428","1.09751",
"아이슬란드","인구밀도[㎢당]","㎢당","3.19515","3.22844","3.33398",
"아일랜드","조출생률[‰]","‰","13.93824","13.42408","12.90373",
"아일랜드","조사망률[‰]","‰","6.39393","6.39072","6.33589",
"아일랜드","자연증가율[‰]","‰","7.54431","7.03336","6.56784",
"아일랜드","조혼인율[‰]","‰","4.70357","4.75802","4.57691",
"아일랜드","연평균인구증가율[%]","%","",".59086",".68572",
"아일랜드","인구밀도[㎢당]","㎢당","66.41245","67.66516","68.51963",
"맨섬","조출생률[‰]","‰","9.0268","8.85314","8.99287",
"맨섬","조사망률[‰]","‰","","9.95103","9.99606",
"맨섬","자연증가율[‰]","‰","","-1.09788","-1.00319",
"맨섬","조혼인율[‰]","‰","2.28832","2.80311","2.94985",
"맨섬","연평균인구증가율[%]","%","1.00745",".57995",".17885",
"맨섬","인구밀도[㎢당]","㎢당","152.03371","149.68411","146.38636",
"이탈리아","조출생률[‰]","‰","7.99894","7.80896","7.56815",
"이탈리아","조사망률[‰]","‰","10.66301","10.14822","10.72178",
"이탈리아","자연증가율[‰]","‰","-2.66408","-2.33925","-3.15362",
"이탈리아","조혼인율[‰]","‰","3.20064","3.35257","",
"이탈리아","조이혼율[‰]","‰","1.35795","1.63409","",
"이탈리아","연평균인구증가율[%]","%",".50578",".38579",".30031",
"이탈리아","인구밀도[㎢당]","㎢당","201.26132","200.83076","200.40424",
"라트비아","조출생률[‰]","‰","11.11439","11.21081","10.72366",
"라트비아","조사망률[‰]","‰","14.40081","14.58508","14.80604",
"라트비아","자연증가율[‰]","‰","-3.28643","-3.37427","-4.08238",
"라트비아","조혼인율[‰]","‰","6.88587","6.63524","6.77051",
"라트비아","조이혼율[‰]","‰","2.60477","3.09308","3.05986",
"라트비아","연평균인구증가율[%]","%","-1.09203","-1.05447","-1.09895",
"라트비아","인구밀도[㎢당]","㎢당","30.75738","30.49195","30.07833",
"리히텐슈타인","조출생률[‰]","‰","8.67407","10.03025","8.92362",
"리히텐슈타인","조사망률[‰]","‰","6.72574","7.191","6.57391",
"리히텐슈타인","자연증가율[‰]","‰","1.94833","2.83925","2.34971",
"리히텐슈타인","조혼인율[‰]","‰","5.47134","5.25394","6.04589",
"리히텐슈타인","조이혼율[‰]","‰","2.61557","2.14934","2.37611",
"리히텐슈타인","연평균인구증가율[%]","%",".80768",".72987",".72211",
"리히텐슈타인","인구밀도[㎢당]","㎢당","234.3375","235.1375","236.73125",
"리투아니아","조출생률[‰]","‰","10.8351","10.67662","10.14565",
"리투아니아","조사망률[‰]","‰","14.38117","14.33148","14.19246",
"리투아니아","자연증가율[‰]","‰","-3.54607","-3.65487","-4.04681",
"리투아니아","조혼인율[‰]","‰","7.56891","7.44257","7.49045",
"리투아니아","조이혼율[‰]","‰","3.22592","3.09564","3.01159",
"리투아니아","연평균인구증가율[%]","%","","-1.16279","-1.29732",
"리투아니아","인구밀도[㎢당]","㎢당","","44.24468","43.32327",
"룩셈부르크","조출생률[‰]","‰","10.73553","10.36921","10.35322",
"룩셈부르크","조사망률[‰]","‰","6.99258","6.79912","7.14865",
"룩셈부르크","자연증가율[‰]","‰","3.74295","3.57009","3.20457",
"룩셈부르크","조혼인율[‰]","‰","3.6025","3.22902","3.19954",
"룩셈부르크","조이혼율[‰]","‰","2.36129","2.12697","1.99887",
"룩셈부르크","연평균인구증가율[%]","%","2.09573","2.13536","2.3198",
"룩셈부르크","인구밀도[㎢당]","㎢당","217.69451","222.83411","230.6017",
"북마케도니아","조출생률[‰]","‰","11.14613","11.09873","10.48637",
"북마케도니아","조사망률[‰]","‰","9.88347","9.85143","9.79416",
"북마케도니아","자연증가율[‰]","‰","1.26266","1.24729",".69221",
"북마케도니아","조혼인율[‰]","‰","6.8524","6.36867","6.64304",
"북마케도니아","조이혼율[‰]","‰","1.06269",".95779",".96119",
"북마케도니아","연평균인구증가율[%]","%",".13741",".14122",".1349",
"북마케도니아","인구밀도[㎢당]","㎢당","80.47182","80.60086","80.67911",
"몰타","조출생률[‰]","‰","10.01306","9.82851","9.22865",
"몰타","조사망률[‰]","‰","7.96877","7.33844","7.63036",
"몰타","자연증가율[‰]","‰","2.04428","2.49006","1.59829",
"몰타","조혼인율[‰]","‰","6.9501","6.66213","",
"몰타","조이혼율[‰]","‰",".86124",".81465","",
"몰타","연평균인구증가율[%]","%",".70072",".77917","1.73205",
"몰타","인구밀도[㎢당]","㎢당","1361.44089","1377.91981","1485.71111",
"몰도바","연평균인구증가율[%]","%","-.0387","-.04191","",
"몰도바","인구밀도[㎢당]","㎢당","105.03927","104.97843","",
"모나코","조출생률[‰]","‰","28.37766","24.55497","",
"모나코","조사망률[‰]","‰","15.82447","13.16754","",
"모나코","자연증가율[‰]","‰","12.55319","11.38743","",
"모나코","연평균인구증가율[%]","%","","1.09823",".69617",
"모나코","인구밀도[㎢당]","㎢당","","19100","18775",
"네덜란드","조출생률[‰]","‰","10.06557","10.13017","9.89485",
"네덜란드","조사망률[‰]","‰","8.68564","8.74893","8.77361",
"네덜란드","자연증가율[‰]","‰","1.37994","1.38124","1.12124",
"네덜란드","조혼인율[‰]","‰","3.79624","3.83134","3.76624",
"네덜란드","조이혼율[‰]","‰","2.02079","1.96203","1.91628",
"네덜란드","연평균인구증가율[%]","%",".38687",".36091",".41053",
"네덜란드","인구밀도[㎢당]","㎢당","407.77822","408.72178","411.61678",
"노르웨이","조출생률[‰]","‰","11.33541","11.25032","10.73211",
"노르웨이","조사망률[‰]","‰","7.83948","7.78028","7.72679",
"노르웨이","자연증가율[‰]","‰","3.49593","3.47004","3.00532",
"노르웨이","조혼인율[‰]","‰","4.47654","4.52229","4.2532",
"노르웨이","조이혼율[‰]","‰","1.8874","1.8997","1.86622",
"노르웨이","연평균인구증가율[%]","%","1.1031","1.1446","1.09018",
"노르웨이","인구밀도[㎢당]","㎢당","15.9572","16.17443","16.29841",
"폴란드","조출생률[‰]","‰","9.72334","10.07085","10.58549",
"폴란드","조사망률[‰]","‰","10.3977","10.22239","10.6084",
"폴란드","자연증가율[‰]","‰","-.67435","-.15154","-.02291",
"폴란드","조혼인율[‰]","‰","4.97167","5.09672","5.07115",
"폴란드","조이혼율[‰]","‰","1.77181","1.67288","1.71843",
"폴란드","연평균인구증가율[%]","%","-.26715","-.03298","-.0254",
"폴란드","인구밀도[㎢당]","㎢당","121.54834","121.42552","121.44988",
"포르투갈","조출생률[‰]","‰","8.25443","8.43798","8.36422",
"포르투갈","조사망률[‰]","‰","10.47868","10.70878","10.63911",
"포르투갈","자연증가율[‰]","‰","-2.22425","-2.2708","-2.27489",
"포르투갈","조혼인율[‰]","‰","3.12732","3.13778","3.26534",
"포르투갈","조이혼율[‰]","‰","2.25689","2.19351","2.12285",
"포르투갈","연평균인구증가율[%]","%","-.37862","-.36941","-.37343",
"포르투갈","인구밀도[㎢당]","㎢당","112.49346","112.13077","111.68542",
"루마니아","조출생률[‰]","‰","9.96438","10.14938","9.67495",
"루마니아","조사망률[‰]","‰","13.18355","13.05227","13.30674",
"루마니아","자연증가율[‰]","‰","-3.21917","-2.9029","-3.63179",
"루마니아","조혼인율[‰]","‰","6.32976","6.75832","7.28212",
"루마니아","조이혼율[‰]","‰","1.59069","1.54756","1.59043",
"루마니아","연평균인구증가율[%]","%","-.37506","-.40535","",
"루마니아","인구밀도[㎢당]","㎢당","83.35328","82.89045","82.40391",
"산마리노","조출생률[‰]","‰","7.95434","7.66889","6.63582",
"산마리노","조사망률[‰]","‰","6.94896","7.40546","8.09104",
"산마리노","자연증가율[‰]","‰","1.00538",".26344","-1.45522",
"산마리노","조혼인율[‰]","‰","5.38175","5.29797","4.62761",
"산마리노","조이혼율[‰]","‰","1.92205","2.42946","2.6194",
"산마리노","연평균인구증가율[%]","%",".27967",".36493",".42202",
"산마리노","인구밀도[㎢당]","㎢당","553.08197","557.47541","560.00981",
"슬로바키아","조출생률[‰]","‰","10.25148","10.59826","10.65757",
"슬로바키아","조사망률[‰]","‰","9.92404","9.63965","9.91206",
"슬로바키아","자연증가율[‰]","‰",".32745",".95861",".74551",
"슬로바키아","조혼인율[‰]","‰","5.30532","5.50508","5.75614",
"슬로바키아","조이혼율[‰]","‰","1.80427","1.70988","1.87508",
"슬로바키아","연평균인구증가율[%]","%",".11069",".12188",".12611",
"슬로바키아","인구밀도[㎢당]","㎢당","110.5608","110.75762","110.9255",
"슬로베니아","조출생률[‰]","‰","10.00496","9.85592","9.79535",
"슬로베니아","조사망률[‰]","‰","9.6138","9.53813","9.92505",
"슬로베니아","자연증가율[‰]","‰",".39116",".31779","-.12969",
"슬로베니아","조혼인율[‰]","‰","3.12591","3.22976","3.13639",
"슬로베니아","조이혼율[‰]","‰","1.17882","1.22612","1.15516",
"슬로베니아","연평균인구증가율[%]","%",".13439",".12096",".1189",
"슬로베니아","인구밀도[㎢당]","㎢당","101.76476","101.81956","101.92808",
"스페인","조출생률[‰]","‰","9.00867","8.79936","8.37878",
"스페인","조사망률[‰]","‰","9.05121","8.78853","9.05",
"스페인","자연증가율[‰]","‰","-.04254",".01083","-.67123",
"스페인","조혼인율[‰]","‰","3.58793","3.72545","3.6833",
"스페인","조이혼율[‰]","‰","2.07894","2.08446","",
"스페인","연평균인구증가율[%]","%","-.04856","-.04181","-.00412",
"스페인","인구밀도[㎢당]","㎢당","91.80772","91.80033","91.99783",
"스웨덴","조출생률[‰]","‰","11.7224","11.83352","11.47539",
"스웨덴","조사망률[‰]","‰","9.277","9.16872","9.14444",
"스웨덴","자연증가율[‰]","‰","2.44541","2.6648","2.33095",
"스웨덴","조혼인율[‰]","‰","5.33861","5.42341","5.21958",
"스웨덴","조이혼율[‰]","‰","2.53858","2.4446","2.40711",
"스웨덴","연평균인구증가율[%]","%",".77232",".81991",".99941",
"스웨덴","인구밀도[㎢당]","㎢당","22.22511","22.46147","22.93273",
"스위스","조출생률[‰]","‰","10.45096","10.49558","10.33991",
"스위스","조사망률[‰]","‰","8.16261","7.75844","7.92476",
"스위스","자연증가율[‰]","‰","2.28835","2.73714","2.41514",
"스위스","조혼인율[‰]","‰","5.00302","4.97364","4.80413",
"스위스","연평균인구증가율[%]","%","1.0281","1.03677","1.04635",
"스위스","인구밀도[㎢당]","㎢당","199.5027","201.66927","203.90763",
"우크라이나","조출생률[‰]","‰","9.64917","9.34141","8.60167",
"우크라이나","조사망률[‰]","‰","13.93772","13.73156","13.56757",
"우크라이나","자연증가율[‰]","‰","-4.28855","-4.39015","-4.9659",
"우크라이나","조혼인율[‰]","‰","7.00729","5.39853","",
"우크라이나","조이혼율[‰]","‰","3.03157","3.05854","",
"우크라이나","연평균인구증가율[%]","%","-1.40465","-1.23646","-1.15237",
"우크라이나","인구밀도[㎢당]","㎢당","70.85279","70.57312","70.11738",
"영국","조출생률[‰]","‰","11.92975","11.80546","11.43601",
"영국","조사망률[‰]","‰","9.23471","9.08072","9.19633",
"영국","자연증가율[‰]","‰","2.69504","2.72474","2.23968",
"영국","조혼인율[‰]","‰","4.35508","","",
"영국","조이혼율[‰]","‰","1.72648","1.8066","",
"영국","연평균인구증가율[%]","%",".66311",".68244",".67773",
"영국","인구밀도[㎢당]","㎢당","267.53197","269.62435","271.38115",
"몬테네그로","조출생률[‰]","‰","11.87156","12.16289","11.94139",
"몬테네그로","조사망률[‰]","‰","10.17264","10.38722","10.48085",
"몬테네그로","자연증가율[‰]","‰","1.69892","1.77566","1.46054",
"몬테네그로","조혼인율[‰]","‰","6.16723","5.10684","",
"몬테네그로","조이혼율[‰]","‰",".92742","1.12967","",
"몬테네그로","연평균인구증가율[%]","%",".15668",".13215",".0678",
"몬테네그로","인구밀도[㎢당]","㎢당","45.04482","45.04909","45.06031",
"세르비아","조출생률[‰]","‰","9.25348","9.1713","9.24303",
"세르비아","조사망률[‰]","‰","14.61204","14.28583","14.77341",
"세르비아","자연증가율[‰]","‰","-5.35855","-5.11453","-5.53038",
"세르비아","조혼인율[‰]","‰","5.20747","5.08917","",
"세르비아","조이혼율[‰]","‰","1.32213","1.28161","",
"세르비아","연평균인구증가율[%]","%","-.49161","-.54155","-.54022",
"세르비아","인구밀도[㎢당]","㎢당","80.38953","79.75595","79.4062",
"알제리","조출생률[‰]","‰","26.03104","26.12483","",
"알제리","연평균인구증가율[%]","%","2.10105","2.11078","2.10698",
"알제리","인구밀도[㎢당]","㎢당","16.77901","17.14527","17.50636",
"베냉","연평균인구증가율[%]","%","3.74219","3.58125","",
"베냉","인구밀도[㎢당]","㎢당","92.23299","94.82981","",
"보츠와나","연평균인구증가율[%]","%","3.71674","3.36669","3.11412",
"보츠와나","인구밀도[㎢당]","㎢당","3.77171","3.83317","3.89494",
"카보베르데","연평균인구증가율[%]","%","","1.20993","",
"카보베르데","인구밀도[㎢당]","㎢당","","131.72302","",
"코트디부아르","연평균인구증가율[%]","%","","2.31443","2.34924",
"코트디부아르","인구밀도[㎢당]","㎢당","","74.27379","76.19826",
"이집트","조출생률[‰]","‰","30.18594","28.56599","26.86315",
"이집트","조사망률[‰]","‰","6.45114","6.10995","5.74783",
"이집트","자연증가율[‰]","‰","23.73481","22.45604","21.11532",
"이집트","조혼인율[‰]","‰","10.89729","10.31082","9.58594",
"이집트","조이혼율[‰]","‰","2.24676","2.11022","2.0826",
"이집트","연평균인구증가율[%]","%","2.45429","2.42781","2.72227",
"이집트","인구밀도[㎢당]","㎢당","88.78027","90.84171","95.01251",
"리비아","연평균인구증가율[%]","%","1.59702","","",
"리비아","인구밀도[㎢당]","㎢당","3.67639","","",
"말라위","연평균인구증가율[%]","%","","3.13382","",
"말라위","인구밀도[㎢당]","㎢당","","142.98379","",
"모리셔스","조출생률[‰]","‰","10.01105","10.24794","10.58427",
"모리셔스","조사망률[‰]","‰","7.71975","8.05241","8.01826",
"모리셔스","자연증가율[‰]","‰","2.29129","2.19554","2.566",
"모리셔스","조혼인율[‰]","‰","7.68966","7.94793","7.7154",
"모리셔스","조이혼율[‰]","‰","1.71154","1.51171","1.57835",
"모리셔스","연평균인구증가율[%]","%","-.28809","-.22862","-.18308",
"모리셔스","인구밀도[㎢당]","㎢당","641.24175","638.44012","639.01617",
"모로코","연평균인구증가율[%]","%","","1.30249","",
"모로코","인구밀도[㎢당]","㎢당","","77.22883","78.04752",
"모잠비크","연평균인구증가율[%]","%","2.75524","2.74074","2.72531",
"모잠비크","인구밀도[㎢당]","㎢당","32.18483","33.05515","33.93696",
"레위니옹","조출생률[‰]","‰","16.41864","16.00879","15.87823",
"레위니옹","조사망률[‰]","‰","5.3096","5.46247","5.41282",
"레위니옹","자연증가율[‰]","‰","11.10903","10.54632","10.46541",
"레위니옹","조혼인율[‰]","‰","3.31279","3.3574","",
"레위니옹","조이혼율[‰]","‰","1.82924","","",
"레위니옹","연평균인구증가율[%]","%","",".59531",".71568",
"레위니옹","인구밀도[㎢당]","㎢당","335.66614","338.63749","343.54178",
"세네갈","연평균인구증가율[%]","%","2.7545","2.80224","2.83589",
"세네갈","인구밀도[㎢당]","㎢당","72.98271","75.23618","77.55676",
"세이셸","조출생률[‰]","‰","17.0415","17.37486","17.22609",
"세이셸","조사망률[‰]","‰","7.52524","7.88998","7.80443",
"세이셸","자연증가율[‰]","‰","9.51627","9.48488","9.42166",
"세이셸","조혼인율[‰]","‰","19.74973","22.6771","29.43355",
"세이셸","조이혼율[‰]","‰","1.59496","1.95401","2.15978",
"세이셸","연평균인구증가율[%]","%",".79688","",".93515",
"세이셸","인구밀도[㎢당]","㎢당","204.41794","","209.7221",
"남아프리카공화국","조출생률[‰]","‰","","15.67614","",
"남아프리카공화국","연평균인구증가율[%]","%","","1.53834","1.47438",
"남아프리카공화국","인구밀도[㎢당]","㎢당","","45.78802","46.29012",
"세인트헬레나","조출생률[‰]","‰","8.93455","7.51234","",
"세인트헬레나","조사망률[‰]","‰","12.28501","9.65873","",
"세인트헬레나","자연증가율[‰]","‰","-3.35046","-2.14638","",
"세인트헬레나","연평균인구증가율[%]","%","","1.53136","",
"세인트헬레나","인구밀도[㎢당]","㎢당","","38.18852","",
"튀니지","조출생률[‰]","‰","19.95038","19.41186","18.27977",
"튀니지","연평균인구증가율[%]","%","1.11966","1.14831","1.14364",
"튀니지","인구밀도[㎢당]","㎢당","68.17676","69.06302","69.96098",
"미국령사모아","연평균인구증가율[%]","%","-2.03446","","",
"미국령사모아","인구밀도[㎢당]","㎢당","305.84422","","",
"오스트레일리아","조출생률[‰]","‰","12.80365","12.8498","",
"오스트레일리아","조사망률[‰]","‰","6.66863","6.54683","",
"오스트레일리아","자연증가율[‰]","‰","6.13502","6.30297","",
"오스트레일리아","조혼인율[‰]","‰","4.76274","4.89042","",
"오스트레일리아","조이혼율[‰]","‰","2.03419","1.92493","",
"오스트레일리아","연평균인구증가율[%]","%","1.52534","1.51541","1.57455",
"오스트레일리아","인구밀도[㎢당]","㎢당","3.09123","3.13687","3.19798",
"쿡아일랜드","조출생률[‰]","‰","10.96257","","",
"쿡아일랜드","조사망률[‰]","‰","5.45455","","",
"쿡아일랜드","자연증가율[‰]","‰","5.50802","","",
"쿡아일랜드","조혼인율[‰]","‰","38.50267","","",
"쿡아일랜드","연평균인구증가율[%]","%","-4.63236","","",
"쿡아일랜드","인구밀도[㎢당]","㎢당","79.66102","","",
"피지","연평균인구증가율[%]","%",".23202","","",
"피지","인구밀도[㎢당]","㎢당","47.44965","","",
"프랑스령폴리네시아","조출생률[‰]","‰","14.27837","","",
"프랑스령폴리네시아","조사망률[‰]","‰","5.11935","","",
"프랑스령폴리네시아","자연증가율[‰]","‰","9.15902","","",
"프랑스령폴리네시아","조혼인율[‰]","‰","5.34704","","",
"프랑스령폴리네시아","연평균인구증가율[%]","%",".54349","","",
"프랑스령폴리네시아","인구밀도[㎢당]","㎢당","68.075","","",
"괌","조출생률[‰]","‰","20.81157","21.09474","20.08848",
"괌","조사망률[‰]","‰","6.23667","6.27988","6.15103",
"괌","자연증가율[‰]","‰","14.5749","14.81486","13.93745",
"괌","조혼인율[‰]","‰","8.33205","7.28146","7.59115",
"괌","조이혼율[‰]","‰","4.06095","3.97562","4.16781",
"괌","인구밀도[㎢당]","㎢당","294.69035","296.43352","298.49727",
"뉴칼레도니아","조출생률[‰]","‰","15.38546","15.41997","",
"뉴칼레도니아","조사망률[‰]","‰","5.37812","5.75426","",
"뉴칼레도니아","자연증가율[‰]","‰","10.00734","9.66571","",
"뉴칼레도니아","조혼인율[‰]","‰","3.60866","3.25589","",
"뉴칼레도니아","연평균인구증가율[%]","%","","1.57964","1.55654",
"뉴칼레도니아","인구밀도[㎢당]","㎢당","","14.37586","14.58115",
"뉴질랜드","조출생률[‰]","‰","13.28155","12.66236","12.43455",
"뉴질랜드","조사망률[‰]","‰","6.87773","6.64344","6.95446",
"뉴질랜드","자연증가율[‰]","‰","6.40381","6.01892","5.48009",
"뉴질랜드","조혼인율[‰]","‰","4.34036","4.31156","4.31486",
"뉴질랜드","조이혼율[‰]","‰","1.85456","1.7406","1.669",
"뉴질랜드","연평균인구증가율[%]","%","1.09569","1.26119","1.38582",
"뉴질랜드","인구밀도[㎢당]","㎢당","17.14129","17.50309","17.88055",
"팔라우","조출생률[‰]","‰","13.70251","12.02371","12.43739",
"팔라우","조사망률[‰]","‰","7.70058","9.87863","10.29884",
"팔라우","자연증가율[‰]","‰","6.00193","2.14507","2.13856",
"팔라우","연평균인구증가율[%]","%","","","-2.19285",
"팔라우","인구밀도[㎢당]","㎢당","","","38.71242",
