"국가별","항목","단위","2015 년","2016 년","2017 년",
"일본","연평균인구증가율[%]","%","-.17441","-.14049","-.14395",
"일본","인구밀도[㎢당]","㎢당","335.92993","336.02784","335.47482",
"요르단","조출생률[‰]","‰","20.71535","20.18667","",
"요르단","조혼인율[‰]","‰","8.51271","8.302","7.72904",
"요르단","조이혼율[‰]","‰","2.30882","2.24219","2.10982",
"요르단","연평균인구증가율[%]","%","7.05393","6.337","5.79875",
"요르단","인구밀도[㎢당]","㎢당","106.71981","109.69793","112.5529",
"카자흐스탄","조출생률[‰]","‰","22.71347","22.51842","21.63582",
"카자흐스탄","조혼인율[‰]","‰","8.48034","7.96345","7.86078",
"카자흐스탄","조이혼율[‰]","‰","3.03788","2.92193","3.02842",
"카자흐스탄","연평균인구증가율[%]","%","","","1.42803",
"카자흐스탄","인구밀도[㎢당]","㎢당","","","6.61961",
"쿠웨이트","조출생률[‰]","‰","14.92596","14.41348","",
"쿠웨이트","조사망률[‰]","‰","1.63208","1.5537","",
"쿠웨이트","자연증가율[‰]","‰","13.29388","12.85979","",
"쿠웨이트","조혼인율[‰]","‰","3.88114","3.60184","3.46373",
"쿠웨이트","조이혼율[‰]","‰","1.8134","1.77064","1.84797",
"쿠웨이트","연평균인구증가율[%]","%","6.05802","4.85622","4.72346",
"쿠웨이트","인구밀도[㎢당]","㎢당","222.86452","220.31019","229.13369",
"키르기즈스탄","조출생률[‰]","‰","27.4374","26.01384","24.78356",
"키르기즈스탄","조사망률[‰]","‰","5.84294","5.5059","5.35068",
"키르기즈스탄","자연증가율[‰]","‰","21.59445","20.50794","19.43288",
"키르기즈스탄","조혼인율[‰]","‰","8.73605","7.86813","6.99367",
"키르기즈스탄","조이혼율[‰]","‰","1.4416","1.49708","1.54683",
"키르기즈스탄","연평균인구증가율[%]","%","","1.82895","1.84372",
"키르기즈스탄","인구밀도[㎢당]","㎢당","29.79395","30.40695","31.00023",
"마카오","조출생률[‰]","‰","10.97371","11.08079","9.99694",
"마카오","조사망률[‰]","‰","3.11401","3.48581","3.24606",
"마카오","자연증가율[‰]","‰","7.8597","7.59498","6.75088",
"마카오","조혼인율[‰]","‰","5.78473","6.03349","5.94549",
"마카오","조이혼율[‰]","‰","1.81677","1.93053","2.26458",
"마카오","연평균인구증가율[%]","%","3.59982","","2.79617",
"마카오","인구밀도[㎢당]","㎢당","21430","","21770",
"말레이시아","조출생률[‰]","‰","16.7105","16.06533","",
"말레이시아","조사망률[‰]","‰","4.99536","5.1275","",
"말레이시아","자연증가율[‰]","‰","11.71514","10.93783","",
"말레이시아","연평균인구증가율[%]","%","1.61679","1.7011","1.63257",
"말레이시아","인구밀도[㎢당]","㎢당","93.83454","95.84127","97.019",
"몰디브","조출생률[‰]","‰","20.33661","19.29772","",
"몰디브","조사망률[‰]","‰","3.28949","3.50192","",
"몰디브","자연증가율[‰]","‰","17.04712","15.79579","",
"몰디브","연평균인구증가율[%]","%","1.66825","1.51163","6.14487",
"몰디브","인구밀도[㎢당]","㎢당","1158.50667","1166.97742","1638.62959",
"몽골","조출생률[‰]","‰","27.1337","25.87366","23.91965",
"몽골","조사망률[‰]","‰","5.82121","5.75067","5.51205",
"몽골","자연증가율[‰]","‰","21.31249","20.12298","18.4076",
"몽골","조혼인율[‰]","‰","5.80997","5.43178","6.50065",
"몽골","조이혼율[‰]","‰","1.27954","1.29595","1.25281",
"몽골","연평균인구증가율[%]","%","2.00144","2.00577","1.99434",
"몽골","인구밀도[㎢당]","㎢당","1.93519","1.97483","2.01322",
"파키스탄","연평균인구증가율[%]","%","1.99497","","",
"파키스탄","인구밀도[㎢당]","㎢당","240.81297","","",
"필리핀","조출생률[‰]","‰","17.17928","16.76909","",
"필리핀","조사망률[‰]","‰","5.51981","5.63896","",
"필리핀","자연증가율[‰]","‰","11.65946","11.13012","",
"필리핀","연평균인구증가율[%]","%","1.73243","1.71722","1.70229",
"필리핀","인구밀도[㎢당]","㎢당","338.541","344.143","349.738",
"카타르","조출생률[‰]","‰","10.92055","10.24437","9.50816",
"카타르","조사망률[‰]","‰",".95045",".89661",".84196",
"카타르","자연증가율[‰]","‰","9.9701","9.34775","8.66621",
"카타르","조혼인율[‰]","‰","1.52761","1.46315","1.3646",
"카타르","조이혼율[‰]","‰",".53614",".43971",".44263",
"카타르","연평균인구증가율[%]","%","","7.04753","6.61219",
"카타르","인구밀도[㎢당]","㎢당","","225.52201","234.31888",
"사우디아라비아","조출생률[‰]","‰","14.45973","14.06335","12.41563",
"사우디아라비아","조사망률[‰]","‰","2.22799","1.82766","1.8065",
"사우디아라비아","자연증가율[‰]","‰","12.23174","12.23569","10.60913",
"사우디아라비아","연평균인구증가율[%]","%","2.36026","2.35267","2.48257",
"사우디아라비아","인구밀도[㎢당]","㎢당","14.05529","14.38442","14.77892",
"싱가포르","조출생률[‰]","‰","10.80921","10.48694","9.98917",
"싱가포르","조사망률[‰]","‰","5.08931","5.08878","5.27133",
"싱가포르","자연증가율[‰]","‰","5.7199","5.39816","4.71784",
"싱가포르","조혼인율[‰]","‰","7.25705","7.11086","7.11383",
"싱가포르","조이혼율[‰]","‰","1.82361","1.83218","1.81729",
"싱가포르","연평균인구증가율[%]","%","1.72848","1.65664","1.43264",
"싱가포르","인구밀도[㎢당]","㎢당","7698.19471","7798.72462","7794.79583",
"스리랑카","조출생률[‰]","‰","15.96971","15.61444","15.20456",
"스리랑카","조사망률[‰]","‰","6.2775","6.16729","6.52023",
"스리랑카","자연증가율[‰]","‰","9.69222","9.44715","8.68434",
"스리랑카","연평균인구증가율[%]","%",".27954","","",
"스리랑카","인구밀도[㎢당]","㎢당","319.55495","323.1672","326.84576",
"대만","조출생률[‰]","‰","9.103643501","8.86377307","8.229238313",
"대만","조사망률[‰]","‰","6.983702173","7.33140854","7.269718057",
"대만","자연증가율[‰]","‰","2.119941328","1.53236453",".959520255",
"대만","조혼인율[‰]","‰","6.578296425","6.287691181","5.859942434",
"대만","조이혼율[‰]","‰","2.278446792","2.2893828","2.309946736",
"대만","인구밀도[㎢당]","㎢당","649.004905975","650.323852621","651.191630115",
"타지키스탄","조혼인율[‰]","‰","9.10546","8.38432","",
"타지키스탄","조이혼율[‰]","‰",".9875","1.0229","",
"타지키스탄","연평균인구증가율[%]","%","2.30953","2.31689","",
"타지키스탄","인구밀도[㎢당]","㎢당","59.18443","60.59397","",
"태국","연평균인구증가율[%]","%","",".5273",".36288",
"태국","인구밀도[㎢당]","㎢당","","128.49148","127.68769",
"터키","조출생률[‰]","‰","16.93309","16.41011","16.07535",
"터키","조사망률[‰]","‰","5.14601","5.28893","5.30154",
"터키","자연증가율[‰]","‰","11.78708","11.12119","10.77381",
"터키","조혼인율[‰]","‰","7.65778","7.4484","",
"터키","조이혼율[‰]","‰","1.67422","1.58071","",
"터키","연평균인구증가율[%]","%","","","1.22304",
"터키","인구밀도[㎢당]","㎢당","99.21104","","102.96447",
"우즈베키스탄","조출생률[‰]","‰","23.45579","22.99804","22.27609",
"우즈베키스탄","조사망률[‰]","‰","4.85751","4.90228","5.00375",
"우즈베키스탄","자연증가율[‰]","‰","18.59827","18.09576","17.27233",
"우즈베키스탄","조혼인율[‰]","‰","9.18824","8.71086","9.53276",
"우즈베키스탄","조이혼율[‰]","‰",".94722",".92921",".99404",
"우즈베키스탄","연평균인구증가율[%]","%","","","1.67719",
"우즈베키스탄","인구밀도[㎢당]","㎢당","","","71.5428",
"버뮤다","조출생률[‰]","‰","9.44359","9.57938","9.34185",
"버뮤다","조사망률[‰]","‰","7.74277","7.97471","7.8011",
"버뮤다","자연증가율[‰]","‰","1.70082","1.60467","1.54076",
"버뮤다","조혼인율[‰]","‰","8.24492","7.29395","",
"버뮤다","조이혼율[‰]","‰","1.879","1.94505","",
