"국가별","성별","항목","단위","2010 년","2015 년","2020 년",
"네팔","여자","기대수명[세]","세","67.82","70.03","71.72",
"오만","합계","기대수명[세]","세","75.06","76.22","77.532",
"오만","남자","기대수명[세]","세","73.19","74.46","75.78",
"오만","여자","기대수명[세]","세","77.51","78.7","80.05",
"파키스탄","합계","기대수명[세]","세","64.493","66.024","67.017",
"파키스탄","남자","기대수명[세]","세","63.62","65.13","66.11",
"파키스탄","여자","기대수명[세]","세","65.45","66.99","68",
"필리핀","합계","기대수명[세]","세","69.449","70.231","71.035",
"필리핀","남자","기대수명[세]","세","65.77","66.23","67.08",
"필리핀","여자","기대수명[세]","세","73.38","74.61","75.31",
"카타르","합계","기대수명[세]","세","78.687","79.482","80.021",
"카타르","남자","기대수명[세]","세","77.59","78.26","78.89",
"카타르","여자","기대수명[세]","세","80.29","81.13","81.8",
"사우디아라비아","합계","기대수명[세]","세","73.461","74.382","74.901",
"사우디아라비아","남자","기대수명[세]","세","72.14","73.11","73.71",
"사우디아라비아","여자","기대수명[세]","세","75.07","76.01","76.51",
"싱가포르","합계","기대수명[세]","세","81.219","82.297","83.389",
"싱가포르","남자","기대수명[세]","세","78.72","80.06","81.25",
"싱가포르","여자","기대수명[세]","세","83.66","84.52","85.52",
"스리랑카","합계","기대수명[세]","세","74.934","75.888","76.725",
"스리랑카","남자","기대수명[세]","세","71.49","72.45","73.32",
"스리랑카","여자","기대수명[세]","세","78.51","79.31","80.05",
"시리아","합계","기대수명[세]","세","74.452","69.873","71.32",
"시리아","남자","기대수명[세]","세","72.01","64.38","65.86",
"시리아","여자","기대수명[세]","세","77.27","76.29","77.66",
"태국","합계","기대수명[세]","세","73.15","75.178","76.832",
"태국","남자","기대수명[세]","세","69.82","71.59","73.12",
"태국","여자","기대수명[세]","세","76.59","78.87","80.62",
"터키","합계","기대수명[세]","세","73.37","75.592","77.307",
"터키","남자","기대수명[세]","세","69.92","72.45","74.3",
"터키","여자","기대수명[세]","세","76.91","78.69","80.23",
"베트남","합계","기대수명[세]","세","74.593","74.962","75.274",
"베트남","남자","기대수명[세]","세","70.44","70.83","71.16",
"베트남","여자","기대수명[세]","세","78.67","79.06","79.4",
"예멘","합계","기대수명[세]","세","64.706","65.995","66.033",
"예멘","남자","기대수명[세]","세","63.13","64.34","64.36",
"예멘","여자","기대수명[세]","세","66.35","67.7","67.73",
"캐나다","합계","기대수명[세]","세","80.761","81.787","82.221",
"캐나다","남자","기대수명[세]","세","78.44","79.65","80.16",
"캐나다","여자","기대수명[세]","세","82.99","83.85","84.25",
"멕시코","합계","기대수명[세]","세","75.182","74.935","74.977",
"멕시코","남자","기대수명[세]","세","72.35","71.95","72.1",
"멕시코","여자","기대수명[세]","세","77.99","77.91","77.83",
"미국","합계","기대수명[세]","세","78.192","78.941","78.812",
"미국","남자","기대수명[세]","세","75.66","76.52","76.3",
"미국","여자","기대수명[세]","세","80.66","81.32","81.34",
"아르헨티나","합계","기대수명[세]","세","74.868","75.675","76.448",
"아르헨티나","남자","기대수명[세]","세","71.43","72.23","73",
"아르헨티나","여자","기대수명[세]","세","78.24","79.04","79.8",
"볼리비아","합계","기대수명[세]","세","66.617","69.259","71.082",
"볼리비아","남자","기대수명[세]","세","64.36","66.74","68.28",
"볼리비아","여자","기대수명[세]","세","68.99","71.91","74.05",
"브라질","합계","기대수명[세]","세","72.8","74.342","75.561",
"브라질","남자","기대수명[세]","세","69.09","70.71","71.9",
"브라질","여자","기대수명[세]","세","76.63","78.04","79.27",
"칠레","합계","기대수명[세]","세","78.192","79.288","79.956",
"칠레","남자","기대수명[세]","세","75.14","76.33","77.44",
