"group","param"
"X.Intercept.",12.6754655716776
"log.Days_after_first_Case.",11.9813299849322
"log.Days_after_first_Case.",10.6074362287167
"log.Days_after_first_Case.",10.1951305090263
"log.Days_after_first_Case.",10.6627441628202
