"CountryCode","C1_School_closing","C2_Workplace_closing","C3_Cancel_public_events","C4_Restrictions_on_gatherings","C5_Close_public_transport","C6_Stay_at_home_requirements","C7_Restrictions_on_internal_movement","C8_International_travel_controls","E1_Income_support","E2_Debt_contract_relief","H1_Public_information_campaigns","H2_Testing_policy","H3_Contact_tracing","StringencyIndex","Days","Government","Nationwide_ConfirmedCases","Nationwide_DailyConfirmed","Capital_ConfirmedCases","Capital_DailyConfirmed","NonCapital_ConfirmedCases","NonCapital_DailyConfirmed"
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",47,3,6280,518,234,12,6046,506
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",48,3,6763,483,247,13,6516,470
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",49,3,7130,367,270,23,6860,344
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",50,3,7378,248,292,22,7086,226
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",51,3,7509,131,317,25,7192,106
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",52,3,7751,242,393,76,7358,166
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",53,3,7865,114,415,22,7450,92
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",54,3,7975,110,437,22,7538,88
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",55,3,8082,107,466,29,7616,78
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",56,3,8158,76,488,22,7670,54
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0,1,1,1,"55.56",57,3,8228,70,514,26,7714,44
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0.5,1,1,1,"55.56",58,3,8310,82,558,44,7752,38
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0.5,1,1,1,"55.56",59,3,8398,88,579,21,7819,67
"KOR",1,0.5,1,0.6,0,0.25,0.333333333333333,0.6,0,0.5,1,1,1,"55.56",60,3,8545,147,609,30,7936,117
