Country,"Country
Code","Max 
 Cases",Logistic,,,Bertalanffy,,,Gompertz,,,Poisson,,,Second Wave,Infection Decreasing,,fit_logit,fit_bert,fit_gomp,nfit
,,,a,b,c,a,b,c,a,b,c,log_a,b,c,,,,,,,
Kyrgyzstan,KGZ,30326,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Ghana,GHA,29672,39718,4.768,0.042,NA,NA,NA,135623,7.090,0.011,,,,,,,1,0,1,2
Azerbaijan,AZE,28633,72341,6.456,0.043,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Japan,JPN,27029,17809,9.658,0.103,18229,0.067,359.933,18228,363.062,0.067,,,,,,,1,1,1,3
Ireland,IRL,25819,25149,5.463,0.116,25570,0.076,22.977,25557,24.684,0.077,,,,,,,1,1,1,3
Algeria,DZA,24872,18271,4.086,0.042,45634,0.009,2.914,26784,6.185,0.018,,,,,,,1,1,1,3
Serbia,SRB,22031,13515,3.628,0.073,14992,0.035,4.129,14401,6.480,0.044,,,,,,,1,1,1,3
Moldova,MDA,21798,28674,4.144,0.039,NA,NA,NA,74227,5.861,0.012,,,,,,,1,0,1,2
Austria,AUT,20038,16609,4.826,0.143,16866,0.088,12.683,16831,15.103,0.093,,,,,,,1,1,1,3
Uzbekistan,UZB,18531,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Nepal,NPL,18094,19680,15.919,0.106,29561,0.043,762.034,29540,769.628,0.043,,,,,,,1,1,1,3
Morocco,MAR,17962,16209,3.439,0.038,58352,0.005,1.963,21554,4.918,0.018,,,,,,,1,1,1,3
Cameroon,CMR,16522,17483,5.323,0.055,40907,0.014,5.133,31280,8.768,0.020,,,,,,,1,1,1,3
Kenya,KEN,14805,20832,6.336,0.051,NA,NA,NA,542505,10.696,0.008,,,,,,,1,0,1,2
Czechia,CZE,14570,10765,2.693,0.059,12286,0.025,2.069,11333,4.009,0.038,,,,,,,1,1,1,3
Cote_dIvoire,CIV,14531,52216,5.905,0.039,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
South_Korea,KOR,13938,11436,5.723,0.118,11627,0.074,23.492,11605,27.115,0.076,,,,,,,1,1,1,3
Denmark,DNK,13350,12332,3.637,0.075,12918,0.043,5.187,12778,6.964,0.048,,,,,,,1,1,1,3
Puerto_Rico,PRI,13038,12681,3.331,0.039,NA,NA,NA,31452,4.570,0.012,,,,,,,1,0,1,2
El_Salvador,SLV,12975,24929,5.556,0.044,NA,NA,NA,443155,9.218,0.008,,,,,,,1,0,1,2
Australia,AUS,12896,7244,11.354,0.176,7321,0.113,997.352,7320,1003.545,0.113,,,,,,,1,1,1,3
Venezuela,VEN,12774,32893,6.860,0.049,NA,NA,NA,25338636,14.169,0.005,,,,,,,1,0,1,2
Costa_Rica,CRI,12361,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Palestine,PSE,11280,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Sudan,SDN,11127,10422,6.542,0.081,12369,0.040,21.884,12211,25.223,0.042,,,,,,,1,1,1,3
Ethiopia,ETH,11072,7198,9.750,0.103,9218,0.048,92.428,9197,96.269,0.049,,,,,,,1,1,1,3
Bulgaria,BGR,9584,47489,4.960,0.025,NA,NA,NA,769250,8.017,0.004,,,,,,,1,0,1,2
North_Macedonia,MKD,9547,77234,6.116,0.029,NA,NA,NA,NA,NA,NA,,,,,,,1,0,0,1
Senegal,SEN,9121,8874,5.135,0.053,15625,0.017,5.916,13166,9.427,0.022,,,,,,,1,1,1,3
Norway,NOR,9053,8471,3.629,0.105,8657,0.063,5.488,8614,7.249,0.069,,,,,,,1,1,1,3
Malaysia,MYS,8831,8348,5.260,0.066,8753,0.040,17.081,8702,19.830,0.042,,,,,,,1,1,1,3
Bosnia_and_Herzegovina,BIH,8786,31319,4.350,0.022,NA,NA,NA,69176,5.495,0.006,,,,,,,1,0,1,2
Democratic_Republic_of_the_Congo,COD,8625,9262,5.733,0.061,16536,0.020,7.711,14667,11.299,0.024,,,,,,,1,1,1,3
Madagascar,MDG,8162,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Finland,FIN,7362,7151,6.158,0.077,7420,0.048,31.187,7408,33.588,0.049,,,,,,,1,1,1,3
Haiti,HTI,7167,6511,8.983,0.111,7294,0.062,114.073,7285,117.786,0.062,,,,,,,1,1,1,3
Tajikistan,TJK,7015,6018,2.983,0.110,6666,0.053,2.746,6386,4.505,0.068,,,,,,,1,1,1,3
Guinea,GIN,6747,5751,4.262,0.062,7023,0.028,5.415,6629,7.981,0.033,,,,,,,1,1,1,3
Gabon,GAB,6588,6452,5.984,0.069,8687,0.030,12.419,8319,15.948,0.033,,,,,,,1,1,1,3
Kosovo,XKX,6286,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Mauritania,MRT,5923,5825,11.362,0.114,8534,0.047,115.169,8501,120.320,0.047,,,,,,,1,1,1,3
Luxembourg,LUX,5854,4040,4.429,0.142,4099,0.088,9.864,4089,12.084,0.093,,,,,,,1,1,1,3
Djibouti,DJI,5030,5178,4.888,0.073,6374,0.031,6.554,6205,8.668,0.035,,,,,,,1,1,1,3
Central_African_Republic,CAF,4574,4658,7.989,0.087,6444,0.037,31.263,6337,35.493,0.039,,,,,,,1,1,1,3
Croatia,HRV,4530,2416,4.290,0.101,2518,0.055,6.925,2491,9.522,0.062,,,,,,,1,1,1,3
Hungary,HUN,4380,4075,4.044,0.085,4231,0.051,7.267,4205,9.078,0.055,,,,,,,1,1,1,3
Albania,ALB,4358,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,0,0,0,0
Greece,GRC,4077,3135,3.179,0.079,3316,0.041,3.317,3242,5.228,0.050,,,,,,,1,1,1,3
Paraguay,PRY,4000,12732,5.192,0.031,NA,NA,NA,258434,8.659,0.005,,,,,,,1,0,1,2
Zambia,ZMB,3583,1659,5.689,0.085,1815,0.049,20.032,1799,23.017,0.051,,,,,,,1,1,1,3
Nicaragua,NIC,3439,2663,9.163,0.111,2995,0.062,126.616,2987,132.047,0.062,,,,,,,1,1,1,3
