"국가(1)",국가(2),2012,2013,2014,2015,2016
"아프리카",라이베리아,37.2,37.6,38.0,38.4,38.8
"아프리카",마다가스카르,33.3,35.5,38.4,41.1,43.1
"아프리카",모로코,4.6,4.2,4.0,3.9,3.9
"아프리카",나이지리아,6.7,7.1,7.8,9.0,11.5
"아프리카",세네갈,12.7,12.4,12.2,11.7,11.3
"아프리카",남아프리카공화국,4.5,4.8,5.3,5.8,6.1
"아프리카",탄자니아,33.0,32.6,32.2,32.1,32.0
"아프리카",토고,19.1,18.1,17.2,16.2,16.2
"아프리카",튀니지,4.5,4.5,4.5,4.7,4.9
"아프리카",잠비아,47.7,46.1,44.9,44.4,44.5
"오세아니아",오스트레일리아,2.5,2.5,2.5,2.5,2.5
"오세아니아",피지,4.4,4.4,4.4,4.4,4.4
"오세아니아",뉴질랜드,2.5,2.5,2.5,2.5,2.5
