"country","current_state","first_day","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"ABW",7.55863899658419,94,2,2,258,378,NA,NA,NA,323,413,NA,NA,NA
"AFG",0.747001675218343,87,2,1,159,330,NA,NA,NA,275,NA,NA,NA,NA
"AGO",6.20414317173254,142,1,1,304,NA,NA,NA,NA,418,NA,NA,NA,NA
"ALB",25.8007533241823,80,2,1,345,411,NA,NA,NA,367,NA,NA,NA,NA
"AND",8.88114643145716,82,3,3,92,300,386,NA,NA,184,357,429,NA,NA
"ARE",19.0348412570322,72,2,1,145,394,NA,NA,NA,224,NA,NA,NA,NA
"ARG",22.3207903027105,79,2,2,295,381,NA,NA,NA,349,419,NA,NA,NA
"AUS",0.5439632045266,68,2,1,90,216,NA,NA,NA,161,NA,NA,NA,NA
"AUT",9.86810190370124,69,1,1,320,NA,NA,NA,NA,405,NA,NA,NA,NA
"AZE",4.17958732400781,84,1,1,345,NA,NA,NA,NA,410,NA,NA,NA,NA
"BEL",4.74151329154442,67,1,0,304,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BEN",12.525037508257,116,5,4,132,177,201,414,433,146,192,276,425,NA
"BFA",3.26647626904067,84,1,1,358,NA,NA,NA,NA,445,NA,NA,NA,NA
"BGD",14.5786215404127,93,2,2,181,334,NA,NA,NA,282,413,NA,NA,NA
"BGR",23.3448318774842,79,1,1,323,NA,NA,NA,NA,389,NA,NA,NA,NA
"BHR",25.8010109504714,66,3,3,181,261,414,NA,NA,219,333,435,NA,NA
"BHS",7.44690496432334,109,1,1,293,NA,NA,NA,NA,384,NA,NA,NA,NA
"BIH",16.768695724703,81,1,1,312,NA,NA,NA,NA,404,NA,NA,NA,NA
"BLR",31.6209199351755,82,2,1,141,357,NA,NA,NA,228,NA,NA,NA,NA
"BLZ",0.34635451641756,215,1,0,344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOL",13.3022762842398,90,2,1,205,393,NA,NA,NA,331,NA,NA,NA,NA
"BRA",51.7966363161027,74,2,2,215,385,NA,NA,NA,311,409,NA,NA,NA
"BRB",4.63277012037428,98,2,1,377,416,NA,NA,NA,401,NA,NA,NA,NA
"BWA",16.9650605568572,167,3,2,294,342,431,NA,NA,307,356,NA,NA,NA
"CAF",0.968658856037042,124,1,0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAN",21.0991134587874,70,1,0,375,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE",3.61469301050831,65,1,0,311,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",24.2162709237296,75,2,2,162,390,NA,NA,NA,328,416,NA,NA,NA
"CHN",0.0403500682599811,24,1,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIV",19.1075771497587,87,3,3,174,250,393,NA,NA,233,318,421,NA,NA
"CMR",15.3563733516843,86,4,3,172,194,329,441,NA,185,279,374,NA,NA
"COD",15.2268472747088,89,2,1,176,380,NA,NA,NA,269,NA,NA,NA,NA
"COG",5.12113185496279,102,5,4,200,250,362,385,430,235,289,376,399,NA
"COL",11.4388274277657,79,2,1,230,384,NA,NA,NA,275,NA,NA,NA,NA
"CPV",12.6358078278985,111,2,2,290,386,NA,NA,NA,364,417,NA,NA,NA
"CRI",18.0273375104193,81,1,1,263,NA,NA,NA,NA,435,NA,NA,NA,NA
"CUB",27.5903718870132,88,1,0,418,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYP",25.5131987896499,81,1,1,371,NA,NA,NA,NA,412,NA,NA,NA,NA
"CZE",23.5891993280977,73,3,2,304,375,431,NA,NA,340,398,NA,NA,NA
"DEU",15.4024701967534,61,2,2,94,354,NA,NA,NA,164,417,NA,NA,NA
"DJI",2.80877227912224,97,2,2,110,153,NA,NA,NA,128,250,NA,NA,NA
"DNK",5.79436626670931,70,1,1,355,NA,NA,NA,NA,413,NA,NA,NA,NA
"DOM",10.2845096370485,82,2,1,211,387,NA,NA,NA,309,NA,NA,NA,NA
"DZA",4.03161221780699,79,2,1,210,331,NA,NA,NA,283,NA,NA,NA,NA
"ECU",13.5004440785508,79,5,4,119,227,265,302,425,153,249,289,359,NA
"EGY",12.0066988826509,73,2,1,172,370,NA,NA,NA,279,NA,NA,NA,NA
"ESP",3.50199789554983,63,2,1,310,392,NA,NA,NA,346,NA,NA,NA,NA
"EST",35.6671993444207,75,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETH",23.016013535784,101,1,1,239,NA,NA,NA,NA,384,NA,NA,NA,NA
"FIN",45.5419944451478,73,1,1,342,NA,NA,NA,NA,373,NA,NA,NA,NA
"FRA",11.6538649943178,61,1,1,311,NA,NA,NA,NA,342,NA,NA,NA,NA
"GAB",25.82242114813,106,3,2,173,210,436,NA,NA,196,296,NA,NA,NA
"GBR",3.36262246135678,61,2,1,318,375,NA,NA,NA,340,NA,NA,NA,NA
"GEO",3.39546632713677,84,1,0,341,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHA",7.21149204481341,86,3,2,133,211,402,NA,NA,147,288,NA,NA,NA
"GIN",31.329707874962,96,3,3,140,230,307,NA,NA,185,278,364,NA,NA
"GMB",6.52510195974021,186,1,1,235,NA,NA,NA,NA,360,NA,NA,NA,NA
"GRC",21.6824490415864,70,1,1,322,NA,NA,NA,NA,388,NA,NA,NA,NA
"GTM",20.9838222280732,97,2,2,203,386,NA,NA,NA,364,426,NA,NA,NA
"GUM",0.66909171122632,91,2,1,242,318,NA,NA,NA,265,NA,NA,NA,NA
"GUY",22.628880390219,102,3,3,268,322,394,NA,NA,305,369,424,NA,NA
"HKG",4.04678629267443,47,4,4,91,213,344,390,NA,127,307,377,420,NA
"HND",20.4597310633956,89,4,4,186,244,296,398,NA,229,259,325,435,NA
"HRV",7.00851007062314,79,1,1,344,NA,NA,NA,NA,416,NA,NA,NA,NA
"HTI",1.51903026788234,115,2,1,161,388,NA,NA,NA,328,NA,NA,NA,NA
"HUN",31.3438252558966,80,1,1,338,NA,NA,NA,NA,395,NA,NA,NA,NA
"IDN",21.4987445308901,75,1,0,396,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",17.943377000939,73,1,1,260,NA,NA,NA,NA,409,NA,NA,NA,NA
"IRL",1.53044015661942,74,2,1,296,377,NA,NA,NA,340,NA,NA,NA,NA
"IRN",26.8634247508345,57,2,1,334,432,NA,NA,NA,370,NA,NA,NA,NA
"IRQ",31.7454161717249,70,1,1,271,NA,NA,NA,NA,384,NA,NA,NA,NA
"ISL",0.666034848079768,71,2,1,91,288,NA,NA,NA,158,NA,NA,NA,NA
"ISR",8.80172127506857,71,2,1,273,382,NA,NA,NA,315,NA,NA,NA,NA
"ITA",17.8872159347681,55,1,1,320,NA,NA,NA,NA,405,NA,NA,NA,NA
"JAM",25.1003448655629,98,1,1,268,NA,NA,NA,NA,318,NA,NA,NA,NA
