"X.Samples","Explanatory","Res_Type","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
113,"Export2016","Coefficient",-6318.40528789687,-0.0207508600523115,0.000154764366133931,-35005.0298196355,-2.4916558908722,0.000133077048943489,-4213.47289959617,-0.00521679750680208,-0.000301676750527551,-7154.96701334915,4340.07673604426,-0.000160219422569511
113,"Export2016","R-square",0.0261779280796108,0.0423940807239497,0.0024482910428767,0.0110962750840614,0.00642044772334133,0.0026180308725084,0.0300479695303261,0.000220028624560542,0.0074411552884569,0.0169742153020179,0.00698723017836078,0.00553233108710555
113,"Export2016","P-value",0.0868798600624117,0.028677486409428,0.602748162327289,0.271194844471953,0.403162424214919,0.59381084082792,0.210017032478983,0.915219158890003,0.535112951436648,0.393642886015098,0.585124951045059,0.627260211618186
113,"Import2016","Coefficient",-319705.254576345,0.158562409124275,0.0892520299052414,-376395.114261253,-1.18630671201801,0.042474777910193,4229078.90271106,1.39520781662984,-0.0511760396430547,5265854.43591047,28.3197977471767,-0.0344775967056211
113,"Import2016","R-square",0.991675815941547,0.93402984800901,0.992772465178434,0.999855309104504,0.999944420181419,0.995005457520852,0.995240428232746,0.99392778551083,0.99324033586423,0.996885299896792,0.999999999941371,0.981980904797553
113,"Import2016","P-value",0.0770354985042325,0.885534924984908,0.0602994371880359,2.9808780425048e-05,4.4120170544264e-06,0.0300692233593553,0.37989189686014,0.424574565217652,0.445503388665456,0.284239329050045,3.98297228234337e-05,0.620667005580838
50,"Travel_in2017","Coefficient",233296.932575271,2.18970545511872,0.0092726625462038,306668.919272207,37.0708002776351,0.0027438958980016,-29447.3889910539,4.18367719071606,0.0237292294480457,-92667.9342248426,1101.96276971555,0.0250983068580999
50,"Travel_in2017","R-square",0.947793161637219,0.768358748631914,0.75741565564422,0.999855278316657,0.874872966003566,0.75775216560478,0.999734522764212,0.560481369698131,0.453902440188895,0.999728890328951,0.999999975923571,0.968735757192305
50,"Travel_in2017","P-value",0.0148343003543184,0.75214278364727,0.789112441549646,1.37870176445687e-10,0.421429132611493,0.8913091572173,1.30080296569794e-07,0.970091936634718,0.995252475893355,9.42610461462136e-05,7.89892436512225e-11,0.100649037474165
50,"Travel_out2017","Coefficient",280734.84889092,3.16275558912465,-0.0482809766622242,-271880.18049785,8.06780522932709,0.0771876867133561,40120.4056901158,10.6192980394121,0.087605768407415,-21625.9955488508,-108752.927868427,0.0125587924717349
50,"Travel_out2017","R-square",0.934874261104816,0.515044062464259,0.600275254470262,0.996978420093417,0.698121721640416,0.610864360396992,0.999950169313481,0.295817091298317,0.428059631324484,0.999731197361897,0.623018831429713,0.492838842825838
50,"Travel_out2017","P-value",7.6572397931689e-08,0.643182632808484,0.317098854757703,3.17299551298132e-21,0.0738607437931093,0.291775423507694,1.43151106424434e-21,0.972859390245318,0.826567489778361,1.54266578924824e-14,0.380539078023507,0.701255038413929
