"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Afghanistan",-4.01193620089885,0.0259572144694641,1.86788457087513,-0.0830316081881722,0.0481252010525978,90,-6.0118834082306,0.0202817592608761,2.37114160326136,-0.0795919741229717,0.03907090294781,95
"Albania",-4.11473399270676,-0.106124980996899,3.00416178344877,0.101288138513504,0.0437512474478811,57,-4.09162353206335,-0.0825206509395419,2.76235371862437,0.0809753949648795,0.0791375869777804,65
"Algeria",-12.7385904127235,-0.0905811806043317,5.66907669713761,0.0592863610131051,0.0985334221444009,90,-15.8323983872829,-0.0940541694235405,6.4609466982427,0.060732693359578,0.0765218656743798,96
"Andorra",-1.66463351500854,-0.163189309555496,2.70329555156082,0.16373830764375,-0.179315119824191,59,-3.86939756391923,-0.161389179037672,3.41231348131517,0.154829250061837,-0.151980212903494,66
"Angola",1.3628970165486,0.061714025947516,-1.10310085230876,-0.0389779308867031,0.0255677468487883,119,-6.5989349150591,-0.30873666523387,4.16498937102452,0.304799944782044,-0.0215465953736136,33
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",-9.65851514905659,-0.158644157038142,5.58361185853299,0.14309070101969,-0.0821222180673294,50,-13.7966396927151,-0.159320128522013,6.72784518587598,0.136160807058788,-0.073243666795761,57
"Armenia",1.25018557074332,0.0303599556994864,0.478058533101679,-0.06041249255709,0.0642035157403695,101,-0.321328199812834,0.0232791887014204,0.924966766015154,-0.0573640130425953,0.0543014169395354,108
"Aruba",-3.65351874022529,-0.420464283908342,4.12495775158759,0.450205337841882,0.695884196638636,47,-2.68901615413261,-0.256002460860371,2.97662700454445,0.312749043255357,0.486918154026057,62
"Australia",-145.662875980344,-0.719758110159609,47.2853608694083,0.481465148726364,-0.239473171472458,106,-148.400334434902,-0.664985606413262,47.0453765357168,0.43735712489528,-0.159727055405301,113
"Austria",-14.1205738827243,-0.246077176872707,8.09449966736453,0.217668812341222,-0.239370582551643,76,-19.3124490114221,-0.250788743052298,9.57786293287954,0.213587989264252,-0.211650236891873,83
"Azerbaijan",1.09224796701466,0.0293978913989835,0.387017597369981,-0.0679589085141013,0.0565954730365176,120,-44.8321421633744,-0.448952575409574,18.0738621172798,0.304151067770741,-0.227977124866756,58
"Bahamas",-11.4700642241136,-0.244074664720012,5.77673130713952,0.247854730929612,0.246451365759033,63,-8.07641280151369,-0.153411807655001,3.9833061755278,0.176025670403266,0.319251345312106,75
"Bahrain",-0.354709897997905,0.0245139592042518,0.870480633369634,-0.0380980480992713,0.0240926401842246,106,-1.94444824142054,0.0194917144597087,1.28697454563751,-0.0358118849737558,0.0272834092492514,111
"Bangladesh",-4.67278807241706,0.00237897417869599,2.78793722533961,-0.0301009248857477,-0.00418503711528375,91,-6.64615483991942,-0.00173749256918824,3.26902150683452,-0.0289600067248085,-0.00341256349740643,96
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",-17.6988876949565,-0.102673993655665,7.46409306421811,0.082090288896997,-0.112003004354519,145,-22.0743866668003,-0.110287414252063,8.60673794027028,0.0683125287672151,-0.087268155420465,146
"Belgium",-40.8627434413734,-0.224545439208829,14.9615710474059,0.163401348592274,-0.0856296788171393,121,-46.1565275216152,-0.225595795758292,16.2204586908831,0.164425586332497,-0.102980316140536,128
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
