"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Chad",-35.9180155672631,-0.231537969899171,12.858107830909,0.155680096551078,-0.0144104403302789,104,-35.4171698360764,-0.209888459325793,12.4151222850581,0.137986039588272,0.0052249324918356,110
"Chile",2.48822279554911,0.0421370100565851,0.487634516966314,-0.0661654243405206,-0.0674941086059715,101,1.52237744594938,0.0391378554234101,0.719907631658248,-0.0643048522141926,-0.0982425422009729,106
"Colombia",-15.4711957470406,-0.173722020563385,7.55448418705227,0.14013803541743,-0.184468577955563,54,-14.3494636797389,-0.141648308400849,6.85810874916743,0.11603992689785,-0.16632377216916,56
"Congo",-29.8541736579209,-0.397262130270406,12.8627755678321,0.291529825956024,-0.293596510115333,49,-30.1286128036511,-0.344481095154996,12.416709496793,0.246395180221662,-0.226018271673056,53
"Costa_Rica",-22.5152667074847,-0.49207929075017,11.7898095130822,0.434891399813993,-0.0696674258312825,50,-24.4079656602901,-0.433642561641077,11.8968006054115,0.378630122745986,-0.0520678959035858,55
"Cote_dIvoire",2.02497153956432,0.0332575790472476,0.017148244631552,-0.0704435625248927,0.0668237915349125,110,-34.197049090607,-0.402383301873159,14.6013387715175,0.273572111748895,-0.111290934401781,54
"Croatia",-14.6059293517604,-0.203220480358651,7.23180869546532,0.190335227955041,-0.00454012080317655,81,-20.2599859098822,-0.225653058489104,9.01397457680757,0.200652079337372,-0.0458446666346881,84
"Cuba",-3.49172883534423,-0.0796332044284721,2.80604171847298,0.099778834248631,0.036194494297597,104,-5.00527765089708,-0.0815200283374962,3.23316563339537,0.105028404607386,0.0151711159540616,110
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",-2.23801533355754,-0.111596185843179,2.53433256935818,0.12359963344872,-0.0815855227408267,80,-2.91289176249059,-0.0998219490095886,2.6306953077391,0.120334976616077,-0.0433797123404573,93
"Czechia",-6.62546624344003,-0.144594419992595,4.76679137155085,0.131081583846167,-0.122631186748437,73,-9.97469551708796,-0.154102391974375,5.79100202837489,0.133645376107884,-0.116001520849521,78
"Democratic_Republic_of_the_Congo",-0.766274227098733,0.0310796202966516,0.707268065329861,-0.0616978656162251,0.071879969023211,85,-1.87489333248818,0.0253139761032486,1.02230373623369,-0.0595677410455349,0.0788202629810385,90
"Denmark",-4.43688187819621,-0.0827583571831572,3.53353935135574,0.0824747128144371,-0.0483873239996072,111,-6.74011040584807,-0.088056180608384,4.19514273317546,0.0915237813427118,-0.0942039444781014,117
"Djibouti",-24.5750831101181,-0.406511255897395,11.8497625838399,0.246811638824372,0.0048817648853792,43,0.65594960482318,0.0362426926886587,0.341837848404587,-0.0740550386614803,-0.129476990642059,76
"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican_Republic",-12.5733103235983,-0.143467670973008,6.46031628063059,0.0984071293060054,0.0011355326689047,64,-13.9789325684276,-0.129424914480634,6.64901147579859,0.0863020401479414,-0.00384258270568975,70
"Ecuador",-13.7611202204239,-0.126224841142947,6.84008798866372,0.082637562022773,-0.0302321856180661,86,-17.3255438744934,-0.132912725907985,7.81405766525282,0.0840487075656316,-0.0275691887041873,91
"Egypt",-62.1453118778129,-0.374585922996923,21.8482806302031,0.195254456193954,-0.139766830788214,69,-72.5726027046485,-0.3880575535262,24.5940220261458,0.19275693239266,-0.149184652459716,74
"El_Salvador",-26.8082188841425,-0.173124345160456,10.0459295116896,0.0995305066083075,0.0143457783659276,70,-24.6800203194152,-0.135461835791988,8.97766612121639,0.073954524730787,0.0560858167622219,76
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",-2.02602982455086,-0.0833052134073481,2.3997396756808,0.11098654077696,-0.0226477953434574,114,-6.93098411139078,-0.130589248257021,4.27180898163925,0.116709219358211,-0.246756010383073,83
"Eswatini",-33.6876090467071,-0.237794157864343,12.080381534033,0.159465824323893,-0.0273853964989698,69,-26.4483790513543,-0.1670729547049,9.29625973389055,0.112593050955277,0.0695318785083198,73
"Ethiopia",3.36824879329544,0.13089013063978,-2.048782996423,-0.0786011315028687,-0.0581830626992981,78,3.9524006056041,0.137960538277979,-2.3829588338478,-0.081517800670294,-0.0879741575287805,81
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland",-32.3090505227716,-0.15057254108784,11.1901653196373,0.123546523444464,-0.094281189272634,148,-36.4197256471998,-0.155458101829479,12.2206561300079,0.129120360304523,-0.119021161590128,153
"France",-39.9217847815152,-0.18646868444821,14.3038377219726,0.158242615400871,-0.205364655668816,138,-46.6180505541399,-0.199109333284424,16.0631859739519,0.158707254791965,-0.207052717500749,140
