"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Afghanistan",-4.01193620089885,0.0259572144694641,1.86788457087513,-0.0830316081881722,0.0481252010525978,90,-6.6184509505301,0.0179131133629409,2.54129961250741,-0.0786337335278611,0.0428222479403617,96
"Albania",-4.11473399270676,-0.106124980996899,3.00416178344877,0.101288138513504,0.0437512474478811,57,-3.96084790063027,-0.077859798252448,2.67545635161186,0.0772599949413854,0.076168544503076,66
"Algeria",-12.7385904127235,-0.0905811806043317,5.66907669713761,0.0592863610131051,0.0985334221444009,90,-16.1866346747437,-0.0933139379590215,6.53143150817642,0.0603848616036175,0.0673413813054349,97
"Andorra",-1.66463351500854,-0.163189309555496,2.70329555156082,0.16373830764375,-0.179315119824191,59,-3.86173023189124,-0.15454006038603,3.35677488193733,0.147417263058998,-0.123163045229765,68
"Angola",-8.14930597170194,-0.348445762909927,4.95066173142625,0.338074968154986,-0.143815303387694,32,-6.26304187418154,-0.283792165417706,3.90426799313557,0.282153932213848,0.0143646201375851,34
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0.861113430546172,0.0297801515603854,0.70908946462129,-0.0166671457597804,-0.014249133554623,139,-14.214290597021,-0.157062150370441,6.81153213236692,0.133577318185383,-0.0701047382000963,58
"Armenia",1.25018557074332,0.0303599556994864,0.478058533101679,-0.06041249255709,0.0642035157403695,101,-0.556579090210845,0.0226203483728838,0.983151468378049,-0.057082926063468,0.0538823232236628,109
"Aruba",-3.65351874022529,-0.420464283908342,4.12495775158759,0.450205337841882,0.695884196638636,47,-2.42673136706256,-0.233434201591034,2.76468537241182,0.294699247761448,0.458049904431782,65
"Australia",-145.662875980344,-0.719758110159609,47.2853608694083,0.481465148726364,-0.239473171472458,106,-146.947684277136,-0.647208357813449,46.4074628148838,0.425515105639548,-0.194467813801127,114
"Austria",-14.1205738827243,-0.246077176872707,8.09449966736453,0.217668812341222,-0.239370582551643,76,-20.1359432978534,-0.249924422535065,9.79033938486744,0.211443288674846,-0.221881412876935,84
"Azerbaijan",1.09224796701466,0.0293978913989835,0.387017597369981,-0.0679589085141013,0.0565954730365176,120,-46.3666128917821,-0.446848910385863,18.4624244402283,0.300179894611323,-0.236791112518226,59
"Bahamas",-11.4700642241136,-0.244074664720012,5.77673130713952,0.247854730929612,0.246451365759033,63,-7.55485102940521,-0.140805914670872,3.71458422134083,0.166992584146565,0.302526214759154,77
"Bahrain",-0.354709897997905,0.0245139592042518,0.870480633369634,-0.0380980480992713,0.0240926401842246,106,-2.32447262731708,0.018136355100423,1.39101517778008,-0.0355432731838561,0.0332452188051573,112
"Bangladesh",-4.67278807241706,0.00237897417869599,2.78793722533961,-0.0301009248857477,-0.00418503711528375,91,-7.06313504239476,-0.0027130272548338,3.37305022579051,-0.0286709196884488,-0.0026687392162311,97
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",-17.6988876949565,-0.102673993655665,7.46409306421811,0.082090288896997,-0.112003004354519,145,-22.8412866205865,-0.111281403884294,8.79956604036158,0.0641934549253309,-0.0813303474846731,146
"Belgium",-40.8627434413734,-0.224545439208829,14.9615710474059,0.163401348592274,-0.0856296788171393,121,-46.6405827522343,-0.22336774086204,16.2938700831573,0.162715927328959,-0.080294711301516,130
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin",-14.3248494415254,-0.386920490154431,7.50872687147406,0.314242592334718,-0.152799292970998,30,-1.26403336332874,0.0344633449982106,0.285547145069868,-0.0559745701088225,-0.0199552407897743,105
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",-18.7462935088464,-0.260516880025253,8.75016447227318,0.200482452456126,-0.233407748024579,40,-19.1442878179091,-0.238170378653778,8.56696671047253,0.183411489495217,-0.176577598132061,42
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",-7.12597220940745,-0.15038493453853,4.57949337353084,0.133507134838075,0.062804797889676,61,-9.53407257935944,-0.139984712342658,5.14605400009443,0.121551842946148,0.0635768925328611,69
"Brazil",-14.8028595454717,-0.09022175490416,6.8447538762249,0.0462554836845091,0.0429573871433484,55,-12.0165629397857,-0.013854026608489,5.06083228607261,-0.0153091443647402,0.0127132990179062,102
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",-5.87756581824082,-0.0984857389592382,3.66238259924714,0.0777438532329335,0.1365340793744,63,-6.42243416605692,-0.0804065698039787,3.59628400185039,0.0637670680191211,0.122992690991141,71
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",0.695711111955921,0.0228233544612498,0.649284981471919,-0.0508181054282965,0.0237826190879078,89,-0.604009962095182,0.0178357732559773,0.991486855730087,-0.047896895073004,0.0298704348125683,95
"Canada",-48.6393251389322,-0.16708861672748,15.7689730821514,0.0867833032612022,-0.0342919913939071,148,-55.6003890265749,-0.173123224475824,17.4131553664293,0.0862161720566106,-0.0363265563407743,154
"Cape_Verde",-1.7033907491995,0.0188757557847451,0.727599009845514,-0.0192796402502749,-0.0115523465967485,104,-1.60766927150804,0.0209005418674067,0.625758707137382,-0.0222792204649584,0.0018877445153689,111
"Cases_on_an_international_conveyance_Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
