"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Afghanistan",-4.01193620089885,0.0259572144694641,1.86788457087513,-0.0830316081881722,0.0481252010525978,90,-5.07634486108938,0.0235024589343798,2.12197998435284,-0.0812741446311001,0.0382215459998251,93
"Albania",-4.11473399270676,-0.106124980996899,3.00416178344877,0.101288138513504,0.0437512474478811,57,-4.30524698645816,-0.0924114469438204,2.92585835807369,0.089462944883272,0.0583300475794635,62
"Algeria",-12.7385904127235,-0.0905811806043317,5.66907669713761,0.0592863610131051,0.0985334221444009,90,-14.843838095165,-0.0940847254798355,6.2282564428171,0.0606661614240108,0.0948183047101687,94
"Andorra",-1.66463351500854,-0.163189309555496,2.70329555156082,0.16373830764375,-0.179315119824191,59,-0.245021480806372,-0.0816695830240014,1.6165898129023,0.116903961388974,0.0376765778893525,102
"Angola",1.3628970165486,0.061714025947516,-1.10310085230876,-0.0389779308867031,0.0255677468487883,119,-6.70280434724034,-0.341995303296599,4.37632769702134,0.336471409221635,-0.0912954956426713,31
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0.861113430546172,0.0297801515603854,0.70908946462129,-0.0166671457597804,-0.014249133554623,139,-12.6045241028686,-0.16113042144916,6.42991031972115,0.13950366965174,-0.0682287797275981,55
"Armenia",1.25018557074332,0.0303599556994864,0.478058533101679,-0.06041249255709,0.0642035157403695,101,0.300348477823396,0.0260111414838296,0.749280467266831,-0.0589758166976997,0.0645031881939493,105
"Aruba",-3.65351874022529,-0.420464283908342,4.12495775158759,0.450205337841882,0.695884196638636,47,-3.44472284399837,-0.321274041708724,3.59088075098621,0.365126255231865,0.631287505511808,56
"Australia",-145.662875980344,-0.719758110159609,47.2853608694083,0.481465148726364,-0.239473171472458,106,-150.84669474152,-0.701319826450329,48.2192899130996,0.463843041531318,-0.21471071358315,110
