"","(Intercept)","Day","log(Day)","(Intercept)_smoothing","Day_smoothing","log(Day)_smoothing"
"Afghanistan",-31.8448928587145,-0.123921142817387,10.9649842978318,-37.0734240895685,-0.130647222229717,12.2588453944498
"Albania",1.91512355192647,0.0191779027083932,-0.0152279267737211,1.84538793127118,0.0205047370055691,-0.0515414060231648
"Algeria",-0.289001594990983,0.00123018663067174,1.23123365243451,-0.748145861161346,0.00225505039273023,1.28987601298951
"Andorra",3.31199025206327,-0.00721304189230358,-0.235221915326553,2.56944086541976,-0.0146210160361221,0.0833456234355548
"Angola",-3.23725822701419,0.0243507085497559,0.712285622845289,-1.90292085764174,0.0293879964435449,0.272025427125221
"Anguilla",NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA
"Argentina",-4.85354729463503,0.00700471765522973,2.47318284205836,-6.55658477113155,0.00471818788177781,2.85877787281251
"Armenia",-12.905895336441,-0.0523290090026852,5.26423525893154,-16.202972717741,-0.0572247274593981,6.08682711404014
"Aruba",3.21865814791221,0.0730343463240884,-2.03248367343343,3.338574837109,0.0774528813684017,-2.216704380551
"Australia",1.99022390528053,0.00910674106137786,0.327322056498006,2.0156654443464,0.0110269090362397,0.256405810742527
"Austria",4.76452258774361,-0.00611817302816514,0.180992485900486,3.85860695731861,-0.0109252037091789,0.484475908794012
"Azerbaijan",-15.4570710307317,-0.0497421149961423,5.7069821089928,-18.3167577401939,-0.05279633626099,6.38425363069897
"Bahamas",1.87488220272564,0.054529648226571,-1.25463677894908,2.03073806237972,0.0585239451290893,-1.43284854800969
"Bahrain",-11.5108914377905,-0.0343412330877805,4.54328979284862,-14.2252185400472,-0.0380233976554473,5.20004156594272
"Bangladesh",-13.5456695056632,-0.0504160671480665,5.78349477437244,-16.6611885005619,-0.0549029464599955,6.548305713479
"Barbados",NA,NA,NA,NA,NA,NA
"Belarus",-12.4783431810629,-0.0803671042652352,5.87258822096391,-17.0100270083348,-0.0908446270799718,7.10707492764815
"Belgium",-0.812675004505249,-0.0264284826727474,2.14768679890041,-2.50623518998285,-0.030135482872042,2.60223653075298
"Belize",NA,NA,NA,NA,NA,NA
"Benin",-14.0222344923145,-0.0486343995640972,4.79299545482607,-14.3186753822442,-0.044373835739192,4.75789365597326
"Bermuda",NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA
"Bolivia",-18.4899190257908,-0.0443411653946384,6.46051772308373,-19.3135958915163,-0.0415890649527096,6.54984863863362
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",2.81056167740981,0.0194078808852908,-0.0360561010980651,2.5288307616829,0.0199686328483211,-0.00757673650629135
"Brazil",-15.2406578209214,-0.040059470417224,6.36307803153655,-17.4455751723675,-0.0414677429758144,6.84309961452868
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA
"Bulgaria",0.642410312538296,0.00573472140499783,0.727850547585026,0.496561509641121,0.00785954702989426,0.695977787272863
"Burundi",NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA
"Cameroon",-8.16661952502267,-0.0456966985722696,3.8959402905365,-10.3575292135529,-0.0484491225702794,4.43906117839187
"Canada",-16.3914103660787,-0.0628830900270174,6.47703576843034,-20.5217319904396,-0.069880121272025,7.52540227668398
"Cape_Verde",-5.09519918860888,-0.00602597558632561,1.97136276086857,-5.2779651376627,-0.00466005446470582,1.96186283680372
"Cases_on_an_international_conveyance_Japan",NA,NA,NA,NA,NA,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA
"Central_African_Republic",-56.539228739993,-0.196734466124218,17.4942514466319,-61.1153992188371,-0.197265545237881,18.5129116864594
"Chad",-10.8789570181635,-0.076307128107016,4.42749756335566,-13.8046999796215,-0.0844820651859366,5.26231584640256
"Chile",-19.9402442289167,-0.0759052616059694,7.81334185560868,-25.0641417574427,-0.0848122875190189,9.1180105802519
"Colombia",-7.35758890661644,-0.00407762564369105,3.40369365724013,-6.40804131754771,0.00197526185529605,3.02188032617399
"Congo",-9.396218951539,-0.026875093649738,3.39580964115829,-9.43076761797572,-0.0224094985975487,3.2911708222335
"Costa_Rica",-0.251257033507038,0.0264684067957454,0.510887834291526,0.38218699787007,0.0308030645379604,0.232847251623368
"Cote_dIvoire",-9.49901422238519,-0.0390844685195903,4.02861155403702,-11.6536439697354,-0.0415126979822067,4.54739849842444
"Croatia",3.93911563667412,0.0239300633540346,-0.592085464664008,3.36653436817479,0.0195625829554972,-0.381792894675609
"Cuba",2.79566035188565,0.000160971678901966,0.0814783296729596,2.08888318054476,-0.00356156779110771,0.313031688248956
"Curacao",NA,NA,NA,NA,NA,NA
"Cyprus",2.9688757750269,-0.00346958157703665,-0.134331878100728,2.51083053129204,-0.0058637893430931,0.0255206710674184
"Czechia",4.49418360530032,0.00759442201912137,-0.08444219994733,3.81444865721014,0.00447589272243152,0.126880737631348
"Democratic_Republic_of_the_Congo",-13.7516040929375,-0.0600534312782462,5.30241129056577,-16.8417271979304,-0.0650084891253848,6.0882555832896
"Denmark",2.41366564182642,-0.0187905463050801,0.881758744295808,1.28250896628441,-0.0220045401525468,1.20963152911069
"Djibouti",-7.83514763740946,-0.0687291256538906,3.96924426087785,-10.3635293289667,-0.0728566095457261,4.6424707908528
"Dominica",NA,NA,NA,NA,NA,NA
"Dominican_Republic",-0.82787586946792,-0.00648651170988243,1.72872465470274,-1.19582626956364,-0.00407858191750066,1.73989922877297
"Ecuador",1.64576371651323,-0.00988937966809959,1.31725235862686,0.542524052840589,-0.011766435177796,1.59479198343008
