"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Afghanistan",-4.01193620089885,0.0259572144694641,1.86788457087513,-0.0830316081881722,0.0481252010525978,90,-4.68848094415444,0.0246157121978563,2.0246516341912,-0.081956652207297,0.0397009205734221,92
"Albania",-4.11473399270676,-0.106124980996899,3.00416178344877,0.101288138513504,0.0437512474478811,57,-4.2670258233623,-0.0963551343358267,2.95509637459819,0.0926521010043301,0.0676779380381136,61
"Algeria",-12.7385904127235,-0.0905811806043317,5.66907669713761,0.0592863610131051,0.0985334221444009,90,-14.2511965006635,-0.0934966955352501,6.07769169690358,0.0610334269932346,0.0773368772932914,92
"Andorra",-1.66463351500854,-0.163189309555496,2.70329555156082,0.16373830764375,-0.179315119824191,59,0.0798259125388472,-0.0804214773394283,1.5036428977184,0.116438572850637,0.0724421198740842,102
"Angola",1.3628970165486,0.061714025947516,-1.10310085230876,-0.0389779308867031,0.0255677468487883,119,-6.8208392941551,-0.392480549166204,4.66485027142506,0.386105636570975,-0.267105296764324,28
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0.861113430546172,0.0297801515603854,0.70908946462129,-0.0166671457597804,-0.014249133554623,139,-11.481206771279,-0.156768585153026,6.07736584860126,0.137419988108931,-0.0516940660123104,54
"Armenia",1.25018557074332,0.0303599556994864,0.478058533101679,-0.06041249255709,0.0642035157403695,101,0.572092699620005,0.0269915594118241,0.677182662176419,-0.0591680999517738,0.0612241394982523,104
"Aruba",-3.65351874022529,-0.420464283908342,4.12495775158759,0.450205337841882,0.695884196638636,47,-3.75026170589643,-0.35643559601905,3.8775300729499,0.395302065977508,0.655010400400097,53
"Australia",-145.662875980344,-0.719758110159609,47.2853608694083,0.481465148726364,-0.239473171472458,106,-149.710309929593,-0.709565454532923,48.0845823706557,0.470273719103598,-0.179333323357819,109
"Austria",-14.1205738827243,-0.246077176872707,8.09449966736453,0.217668812341222,-0.239370582551643,76,-16.4952185356996,-0.251075559576629,8.80935057858871,0.218400372033579,-0.219466258195952,79
"Azerbaijan",1.09224796701466,0.0293978913989835,0.387017597369981,-0.0679589085141013,0.0565954730365176,120,-39.4140713995921,-0.448393311598789,16.5919064004027,0.311623807911926,-0.175624076734523,55
"Bahamas",-11.4700642241136,-0.244074664720012,5.77673130713952,0.247854730929612,0.246451365759033,63,-10.3525261150549,-0.20915919734421,5.14908089478017,0.218888132722803,0.281740302504265,67
"Bahrain",-0.354709897997905,0.0245139592042518,0.870480633369634,-0.0380980480992713,0.0240926401842246,106,-0.859118547703706,0.0234408564302445,0.990151902627318,-0.0375252734466709,0.0297829249629232,107
"Bangladesh",-4.67278807241706,0.00237897417869599,2.78793722533961,-0.0301009248857477,-0.00418503711528375,91,-5.39082636665018,0.00118543635067869,2.95612194089703,-0.0297733380598476,-0.00587426467094592,93
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",-17.6988876949565,-0.102673993655665,7.46409306421811,0.082090288896997,-0.112003004354519,145,-19.4289673598602,-0.10567844518812,7.91701242486075,0.0816139024325655,-0.101013689349383,147
"Belgium",-40.8627434413734,-0.224545439208829,14.9615710474059,0.163401348592274,-0.0856296788171393,121,-43.185315592036,-0.225765330785235,15.5293737848994,0.164811845778016,-0.0928281188732696,124
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin",-14.3248494415254,-0.386920490154431,7.50872687147406,0.314242592334718,-0.152799292970998,30,-14.1411738589571,-0.360423978179267,7.25811164524527,0.291585541038596,-0.105023238246675,31
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",-18.7462935088464,-0.260516880025253,8.75016447227318,0.200482452456126,-0.233407748024579,40,-19.0540365855179,-0.250329784764991,8.71783190736751,0.191829058251364,-0.209630177179543,41
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",-7.12597220940745,-0.15038493453853,4.57949337353084,0.133507134838075,0.062804797889676,61,-8.8101443401661,-0.155854409468821,5.11359172146345,0.135329195842565,0.0736393943066962,64
"Brazil",-14.8028595454717,-0.09022175490416,6.8447538762249,0.0462554836845091,0.0429573871433484,55,-10.8216065870237,-0.0138296304837701,4.83082609993276,-0.0149132380044527,0.0113068356346727,99
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
