"","(Intercept)","Day","log(Day)","(Intercept)_smoothing","Day_smoothing","log(Day)_smoothing"
"Afghanistan",-31.8448928587145,-0.123921142817387,10.9649842978318,-32.9610152184575,-0.1255347689593,11.2457246652833
"Albania",1.91512355192647,0.0191779027083932,-0.0152279267737211,1.89547536501642,0.0196011627833424,-0.0247510595376604
"Algeria",-0.289001594990983,0.00123018663067174,1.23123365243451,-0.399651837524894,0.00138676242603771,1.24837061151286
"Andorra",3.31199025206327,-0.00721304189230358,-0.235221915326553,3.1699754789173,-0.00793950636584721,-0.183235274699637
"Angola",-3.23725822701419,0.0243507085497559,0.712285622845289,-2.56728811096997,0.0263399300130112,0.514052527508863
"Anguilla",NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA
"Argentina",-4.85354729463503,0.00700471765522973,2.47318284205836,-5.22624884989605,0.00646441720533008,2.55914434662683
"Armenia",-12.905895336441,-0.0523290090026852,5.26423525893154,-13.6311134051015,-0.0535514737171953,5.44899771139125
"Aruba",3.21865814791221,0.0730343463240884,-2.03248367343343,3.22611844544129,0.074874160620814,-2.09129019416366
"Australia",1.99022390528053,0.00910674106137786,0.327322056498006,1.98779928896139,0.00948250344793698,0.315116666746525
"Austria",4.76452258774361,-0.00611817302816514,0.180992485900486,4.59908016614184,-0.00696905580339309,0.236167874728855
"Azerbaijan",-15.4570710307317,-0.0497421149961423,5.7069821089928,-16.1237082138746,-0.0506549445421828,5.87026514569701
"Bahamas",1.87488220272564,0.054529648226571,-1.25463677894908,1.93360089940287,0.0558717006010369,-1.31014299528227
"Bahrain",-11.5108914377905,-0.0343412330877805,4.54328979284862,-11.95112216284,-0.0347247822912299,4.64453296342687
"Bangladesh",-13.5456695056632,-0.0504160671480665,5.78349477437244,-14.1278137777073,-0.0511841702459334,5.92497963152945
"Barbados",NA,NA,NA,NA,NA,NA
"Belarus",-12.4783431810629,-0.0803671042652352,5.87258822096391,-13.3724474785824,-0.082521183409916,6.11838843011851
"Belgium",-0.812675004505249,-0.0264284826727474,2.14768679890041,-1.04988244367757,-0.0267019711202773,2.20614313117249
"Belize",NA,NA,NA,NA,NA,NA
"Benin",-14.0222344923145,-0.0486343995640972,4.79299545482607,-13.8706178981163,-0.0470345839452328,4.7236781848614
"Bermuda",NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA
"Bolivia",-18.4899190257908,-0.0443411653946384,6.46051772308373,-18.5957129766995,-0.0435383473953666,6.46010211964756
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",2.81056167740981,0.0194078808852908,-0.0360561010980651,2.69262980772482,0.0191112755100354,-0.00742502115424894
"Brazil",-15.2406578209214,-0.040059470417224,6.36307803153655,-15.4201607325184,-0.0396138024443745,6.38590341677815
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA
"Bulgaria",0.642410312538296,0.00573472140499783,0.727850547585026,0.600604389831976,0.00630234959362841,0.721411008790236
"Burundi",NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA
"Cameroon",-8.16661952502267,-0.0456966985722696,3.8959402905365,-8.53911238257613,-0.0459138396779016,3.9835442472945
"Canada",-16.3914103660787,-0.0628830900270174,6.47703576843034,-17.1002125654417,-0.0639702873585328,6.65444997188917
"Cape_Verde",-5.09519918860888,-0.00602597558632561,1.97136276086857,-5.04524923154865,-0.00561628433844591,1.94731152286719
"Cases_on_an_international_conveyance_Japan",NA,NA,NA,NA,NA,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA
"Central_African_Republic",-56.539228739993,-0.196734466124218,17.4942514466319,-56.8783028843961,-0.195060969652162,17.5343820344484
"Chad",-10.8789570181635,-0.076307128107016,4.42749756335566,-11.2608432281775,-0.0769783772400719,4.53007354188757
"Chile",-19.9402442289167,-0.0759052616059694,7.81334185560868,-21.0548519967906,-0.0780414670006182,8.10219869534862
"Colombia",-7.35758890661644,-0.00407762564369105,3.40369365724013,-7.18312103668871,-0.0028192541310367,3.32959594687585
"Congo",-9.396218951539,-0.026875093649738,3.39580964115829,-9.27650937495268,-0.0254541141063858,3.33585407147092
"Costa_Rica",-0.251257033507038,0.0264684067957454,0.510887834291526,0.101474258284608,0.028471246099501,0.37850769845221
"Cote_dIvoire",-9.49901422238519,-0.0390844685195903,4.02861155403702,-9.98316412430101,-0.0397602856223115,4.14862146481366
"Croatia",3.93911563667412,0.0239300633540346,-0.592085464664008,3.8429998955286,0.0232649870416894,-0.558979333721391
"Cuba",2.79566035188565,0.000160971678901966,0.0814783296729596,2.65234318940691,-0.00068877297939308,0.130272235255765
"Curacao",NA,NA,NA,NA,NA,NA
"Cyprus",2.9688757750269,-0.00346958157703665,-0.134331878100728,2.85151897058729,-0.00395827466637973,-0.0951795380017954
"Czechia",4.49418360530032,0.00759442201912137,-0.08444219994733,4.37272925124133,0.00712286763329872,-0.0484770929560726
"Democratic_Republic_of_the_Congo",-13.7516040929375,-0.0600534312782462,5.30241129056577,-14.4009812752569,-0.0611950868962498,5.470140742041
"Denmark",2.41366564182642,-0.0187905463050801,0.881758744295808,2.23251119429406,-0.0190348414790056,0.929907642345335
"Djibouti",-7.83514763740946,-0.0687291256538906,3.96924426087785,-8.36259624978026,-0.0697458652982493,4.11305029019029
"Dominica",NA,NA,NA,NA,NA,NA
"Dominican_Republic",-0.82787586946792,-0.00648651170988243,1.72872465470274,-0.954347076122182,-0.00618374319909976,1.74690335493083
"Ecuador",1.64576371651323,-0.00988937966809959,1.31725235862686,1.43107269169542,-0.0102312932530007,1.37092773757416
"Egypt",-41.8734448138415,-0.114408174010548,13.1036471740388,-43.2737571412171,-0.116388069017574,13.4473006698186
"El_Salvador",-10.9644657516728,-0.0242085931163018,4.06559596217956,-10.9191615825345,-0.0230330390391313,4.02499031508331
"Eritrea",NA,NA,NA,NA,NA,NA
"Estonia",2.16470023911873,-0.0230655042089774,0.530441131260497,1.90489381121473,-0.0246360621599905,0.622419445306488
"Eswatini",-11.2747530046054,-0.010469437124871,3.39672272422557,-10.7114584125999,-0.00825327165097927,3.21816784320069
"Ethiopia",-3.16678805623309,0.0275369178054752,1.15839091299346,-2.93810032613225,0.028616866880331,1.07470888004792
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA
"Faroe_Islands",NA,NA,NA,NA,NA,NA
"Fiji",NA,NA,NA,NA,NA,NA
"Finland",-12.1152285726257,-0.0648821876130501,4.98197699787466,-12.8962925958819,-0.0667403432932752,5.19581115757285
"France",2.60112895449214,-0.00660367403743118,1.1575826069581,2.18576253438238,-0.008054770489418,1.28090439887451
"French_Polynesia",NA,NA,NA,NA,NA,NA
"Gabon",-17.1380251294099,-0.0662514458384341,6.14822776677367,-17.3741672208415,-0.0657156597706638,6.1880904286181
"Gambia",-7.52053432164445,0.0422508135124191,1.06111266547504,-3.44813496535851,0.0525936616893181,-0.0678732826041
"Georgia",-0.126923016175333,-0.00794931659808873,0.687470712651762,-0.411342803423766,-0.00911995883894967,0.775554232043332
"Germany",-2.74052125024276,-0.0382325486847956,3.0724436616827,-3.14815427253039,-0.0390383682829309,3.18035857703391
"Ghana",-9.44574350130375,-0.0349977257324531,4.11537944786265,-9.66722804045261,-0.0346918361822023,4.15490677784639
"Gibraltar",NA,NA,NA,NA,NA,NA
"Greece",4.51108539669327,0.0224149512193327,-0.671388345163544,4.43969865320641,0.0221372366270389,-0.651891902420554
"Greenland",NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA
"Guam",3.37490088804567,0.0524916984476547,-1.59577841809189,3.38802258740037,0.0529552728737136,-1.61424899105232
"Guatemala",-22.1367234363305,-0.0508796538214337,7.30181675371985,-22.1329824321035,-0.0496495249974939,7.26757666583548
"Guernsey",NA,NA,NA,NA,NA,NA
"Guinea",-1.95761503599183,-0.0188345739852368,1.77065630735013,-2.28484836723571,-0.0197316909729225,1.86157405927318
"Guinea_Bissau",-4.60131765119818,-0.0477189793227991,2.61767029737753,-5.11990583504351,-0.0499965215949432,2.78013186489984
"Guyana",1.55798771419343,0.0379330150989315,-0.851876137591515,1.58442995193645,0.0380039454350418,-0.865034490676486
"Haiti",-30.2144186989271,-0.118225518548382,10.1449585698981,-30.8619997165472,-0.118699787384003,10.2984916493016
"Holy_See",NA,NA,NA,NA,NA,NA
"Honduras",-14.2417822600745,-0.0351338861035188,5.199305228345,-14.7647488265637,-0.0357708554172744,5.32300297152383
"Hungary",2.15171669146033,-0.0105476176927172,0.540703795170611,1.59425715329769,-0.0152651687896124,0.757286345436381
"Iceland",2.03010757523669,-0.0337071159747804,0.689867472613396,1.75515011635763,-0.0353226271162031,0.78765100919098
"India",-19.6554573360814,-0.0131327422198351,6.29659887784735,-19.9416687952006,-0.0131550428881251,6.34839530032445
"Indonesia",0.983856745199823,0.00347792563036528,1.20994373331962,0.678343931983656,0.00273612344616796,1.28989091361977
"Iran",3.98898285645683,-0.00716601814225532,0.970890436379171,3.79800467715688,-0.00746685995811271,1.01886578702611
"Iraq",-20.0914218196667,-0.0266897182061705,6.38822473467047,-20.5515419466195,-0.0269527357018386,6.48506923908718
"Ireland",-0.0848436493392922,-0.0511722787389102,2.18997228796737,-0.551400804842784,-0.0529605709795571,2.33473572752975
"Isle_of_Man",NA,NA,NA,NA,NA,NA
"Israel",4.19746085833773,0.0171075897224792,0.0364698279044261,4.19878950464306,0.0176506070706369,0.0190925522968953
"Italy",-3.80282065965564,-0.0560693729224349,3.70704626308643,-4.6454965555886,-0.0588919427355033,3.95539877671861
"Jamaica",2.86654858080213,0.0317902233532392,-0.831354777634629,2.67595293156874,0.0283092730623275,-0.714571785743423
"Jersey",NA,NA,NA,NA,NA,NA
"Jordan",3.05888516267334,0.0137912267233756,-0.439563489440159,2.8938923032327,0.012267474858474,-0.37209354061922
"Kazakhstan",-15.7361801854374,-0.0420313563510283,5.85459729508418,-15.5756212345254,-0.0403257058688683,5.77678338103444
"Kenya",-17.7581613800876,-0.0320835900380118,5.73122406797459,-17.5451172251049,-0.0304159059270528,5.6408058577065
"Kosovo",-0.589202999940474,0.010138835037552,0.841988528686558,-0.581439948836525,0.0108121219875114,0.820663730667452
"Kuwait",-12.491035968161,-0.0418626269326785,5.05052094080333,-13.0889089932613,-0.0427639307267304,5.1983297807646
"Kyrgyzstan",-33.9453010152048,-0.0830505198409221,10.4973942614671,-33.9662503415916,-0.0814069596636787,10.4594426829464
"Laos",NA,NA,NA,NA,NA,NA
"Latvia",1.68885292195216,-0.0201722248243759,0.469869241141135,1.43121833950426,-0.0219804777093482,0.564613916015761
"Lebanon",3.90757066784029,0.0482944981430272,-1.23974417686519,3.87355819859087,0.0482570867767681,-1.23919509610344
"Lesotho",-38.2162915223006,-0.163601172987898,12.4108209788818,-34.8432931926539,-0.146313876586474,11.3190208286802
"Liberia",-8.52786259484901,-0.036168328011016,3.17579314667294,-8.45384436075204,-0.0350804812512309,3.13561358348211
"Libya",-2.13505419290145,0.0397876227969854,0.414795802985387,-1.72467201267517,0.0416333241208135,0.272896571520637
"Liechtenstein",NA,NA,NA,NA,NA,NA
"Lithuania",2.91401051448507,-0.00308553691096871,0.0420016228145148,2.74338537308629,-0.0041210254202136,0.101720344454797
"Luxembourg",4.48205405595463,0.00167330850030071,-0.196971707493656,4.36125587047825,0.00124025712592745,-0.159321907249562
"Madagascar",-25.4081202287397,-0.0587621238153977,7.86687389864114,-24.9672699409017,-0.0562734647171135,7.71022610558913
"Malawi",-25.1078613614348,-0.0731114343365124,7.96447846526211,-23.3843529564553,-0.0663371245574499,7.4366650397625
"Malaysia",-13.7245434825031,-0.0692617838238741,5.46710428739734,-14.5388392268732,-0.0710206780910839,5.68612994340224
"Maldives",-0.512052381875803,0.0109472164712016,0.676205107956112,-0.463497750022976,0.0115065929405717,0.648456544577248
"Mali",-2.51158023745784,-0.0362567054469056,1.96867612438584,-2.93553817679255,-0.0379350856753943,2.09903230471021
"Malta",3.19447905128972,0.0231406293076198,-0.747143540717198,3.14206601028872,0.0230714814402889,-0.735887670414215
"Mauritania",-69.0892618375376,-0.194059856033887,20.2551679971396,-69.9682923553076,-0.194219327787934,20.4465781396289
"Mauritius",NA,NA,NA,NA,NA,NA
"Mexico",-8.71257659822763,-0.0297363144130243,4.36907859093425,-9.09273801082708,-0.0300355120781341,4.45476614397589
"Moldova",0.727503434229183,-0.000462308401762183,1.04177071068806,0.552203899825116,-0.00068002666071011,1.08262891874095
"Monaco",NA,NA,NA,NA,NA,NA
"Mongolia",NA,NA,NA,NA,NA,NA
"Montenegro",1.99246867994597,0.0253476727767079,-0.297891562636714,1.96551222786903,0.0256896898717152,-0.303982036271389
"Montserrat",NA,NA,NA,NA,NA,NA
"Morocco",4.38935859081937,0.0298806420303143,-0.431846455789719,4.34086466476044,0.029912462763886,-0.427569150096559
"Mozambique",-2.88659469535344,0.0117265778513586,1.05972603028476,-2.81611859994087,0.0124538586568138,1.02269111323197
"Myanmar",NA,NA,NA,NA,NA,NA
"Namibia",-12.7978672023712,0.0216959594702326,2.88497969249875,-8.58253999149054,0.0312052415066281,1.75049252817383
"Netherlands",4.29935508241276,-0.0141193620609248,0.682591544576732,4.07288114687704,-0.0150554573322258,0.753467818032977
"New_Caledonia",NA,NA,NA,NA,NA,NA
"Nicaragua",-28.2496306389819,-0.0898330158173701,8.96408030824055,-27.9973923929512,-0.087558522100643,8.85752044076047
"Niger",0.944654976753742,-0.0429662931499787,0.95418610328973,0.675699646579055,-0.0440894644018807,1.04431424877883
"Nigeria",-14.2205284124676,-0.047188525401267,5.46856524982099,-14.5975659188419,-0.047253999160892,5.54968332067099
"North_Macedonia",-2.20932495814974,-0.0080842426020714,1.64703681629269,-2.27970840626041,-0.00747204993556567,1.64666568338884
"Northern_Mariana_Islands",NA,NA,NA,NA,NA,NA
"Norway",3.17204864177144,-0.0252604124597908,0.691406340694639,2.97171169070061,-0.0257796752869305,0.75189667707693
"Oman",-42.5099351326696,-0.112518746770103,13.1639933744108,-44.131049543351,-0.115057619749837,13.5674883099188
"Pakistan",-27.2742524853256,-0.0997899434191669,9.8799081232745,-28.2037312566711,-0.100922499170342,10.1065517770839
"Palestine",-8.45218056586111,0.00406905774814278,2.76561389059094,-7.43637232778881,0.00704532110648538,2.47024512007379
"Panama",-0.74360581463252,-0.00441613058109429,1.65073958198459,-0.934974290033823,-0.00443906035880701,1.69012089402693
"Papua_New_Guinea",NA,NA,NA,NA,NA,NA
"Paraguay",2.50925929181009,0.0424642914636299,-0.659876848793932,2.4515654785499,0.0421516105752755,-0.647136877963503
"Peru",-0.273278871370048,-0.0100557702587688,2.10347890898481,-0.615738456314997,-0.0107677736935677,2.19138735872645
"Philippines",-0.843350220601129,0.0190762750840484,1.01239723834941,-0.702280740848571,0.0197445679064598,0.958545960759004
"Poland",3.16280185706327,-0.000199448302966477,0.629672939491629,2.98574532355875,-0.000639104269173453,0.676832268748793
"Portugal",2.98809629372536,-0.0184382727423683,1.03678970810344,2.71756860599033,-0.0193824785054555,1.11791217879382
"Qatar",-15.461889382606,-0.0789609781428944,6.63142068340497,-16.3280596532928,-0.0805827525356068,6.85811368227827
"Romania",3.67483973724294,0.0132962350991044,0.209859731776341,3.60090975520748,0.0133444146070365,0.221309543778455
"Russia",-25.2336639922036,-0.0678635060440603,8.88276582859079,-26.2354251215637,-0.0693067185125342,9.12747621100563
"Rwanda",1.87108913747097,0.0287970868614709,-0.417588321484437,1.73533170979747,0.0277548478289065,-0.368697018121722
"Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA
"Saint_Lucia",NA,NA,NA,NA,NA,NA
"Saint_Vincent_and_the_Grenadines",NA,NA,NA,NA,NA,NA
"San_Marino",NA,NA,NA,NA,NA,NA
"Sao_Tome_and_Principe",NA,NA,NA,NA,NA,NA
