"","(Intercept)","Day","log(Day)","(Intercept)_smoothing","Day_smoothing","log(Day)_smoothing"
"Afghanistan",-31.8448928587145,-0.123921142817387,10.9649842978318,-35.0111687590354,-0.128084045252481,11.7515464604975
"Albania",1.91512355192647,0.0191779027083932,-0.0152279267737211,1.86860812744457,0.0202001838067225,-0.0411241437321181
"Algeria",-0.289001594990983,0.00123018663067174,1.23123365243451,-0.596566961508347,0.00175365213486134,1.27579708827216
"Andorra",3.31199025206327,-0.00721304189230358,-0.235221915326553,2.83350781534657,-0.0115909525953987,-0.0357314881695123
"Angola",-3.23725822701419,0.0243507085497559,0.712285622845289,-2.18127438468459,0.0279748487512617,0.378761557828689
"Anguilla",NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA
"Argentina",-4.85354729463503,0.00700471765522973,2.47318284205836,-6.1621250764366,0.00481051398885762,2.78580241642262
"Armenia",-12.905895336441,-0.0523290090026852,5.26423525893154,-15.0667012035134,-0.0559355936802026,5.81317395223725
"Aruba",3.21865814791221,0.0730343463240884,-2.03248367343343,3.27659759609747,0.076311348288427,-2.15727271182699
"Australia",1.99022390528053,0.00910674106137786,0.327322056498006,1.99881380059455,0.0102672858446993,0.28620201129255
"Austria",4.76452258774361,-0.00611817302816514,0.180992485900486,4.23577832902348,-0.0089669906980284,0.359211348527989
"Azerbaijan",-15.4570710307317,-0.0497421149961423,5.7069821089928,-17.3036181656325,-0.0519817994407727,6.15157704423814
"Bahamas",1.87488220272564,0.054529648226571,-1.25463677894908,1.94500887276382,0.0561287569121493,-1.33591759344059
"Bahrain",-11.5108914377905,-0.0343412330877805,4.54328979284862,-13.0835869199647,-0.0363608309862036,4.92125496444447
"Bangladesh",-13.5456695056632,-0.0504160671480665,5.78349477437244,-15.4165577716149,-0.0531306201518602,6.24370924298408
"Barbados",NA,NA,NA,NA,NA,NA
"Belarus",-12.4783431810629,-0.0803671042652352,5.87258822096391,-15.214333235037,-0.0868962363427012,6.62265769243113
"Belgium",-0.812675004505249,-0.0264284826727474,2.14768679890041,-1.76912855597565,-0.0284274283035578,2.40255636817983
"Belize",NA,NA,NA,NA,NA,NA
"Benin",-14.0222344923145,-0.0486343995640972,4.79299545482607,-14.1247974568923,-0.0457662769683444,4.74917567402336
"Bermuda",NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA
"Bolivia",-18.4899190257908,-0.0443411653946384,6.46051772308373,-19.1429005138719,-0.0430724875331155,6.55761750959255
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",2.81056167740981,0.0194078808852908,-0.0360561010980651,2.58371937312693,0.0194524423590937,0.000545571923246735
"Brazil",-15.2406578209214,-0.040059470417224,6.36307803153655,-16.6305819112839,-0.0410641643885145,6.66953461563035
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA
"Bulgaria",0.642410312538296,0.00573472140499783,0.727850547585026,0.476602321337668,0.00683489530847913,0.730279763539796
"Burundi",NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA
"Cameroon",-8.16661952502267,-0.0456966985722696,3.8959402905365,-9.5083529896823,-0.0474275413762352,4.23023687505116
"Canada",-16.3914103660787,-0.0628830900270174,6.47703576843034,-18.7718841334656,-0.0668645163619289,7.08040208922883
"Cape_Verde",-5.09519918860888,-0.00602597558632561,1.97136276086857,-5.18423026192662,-0.00530677233724515,1.96330997443623
"Cases_on_an_international_conveyance_Japan",NA,NA,NA,NA,NA,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA
"Central_African_Republic",-56.539228739993,-0.196734466124218,17.4942514466319,-59.1439948582224,-0.196628545220065,18.0668082617686
"Chad",-10.8789570181635,-0.076307128107016,4.42749756335566,-12.4948230770238,-0.080645643732669,4.88615175695122
"Chile",-19.9402442289167,-0.0759052616059694,7.81334185560868,-23.1139204552929,-0.0816485779324377,8.62735205537314
"Colombia",-7.35758890661644,-0.00407762564369105,3.40369365724013,-6.83658155582522,-0.000458566043866797,3.18547788031485
"Congo",-9.396218951539,-0.026875093649738,3.39580964115829,-9.29095747457658,-0.0235997730461184,3.29280714241087
"Costa_Rica",-0.251257033507038,0.0264684067957454,0.510887834291526,0.158640150750779,0.0293513705772391,0.330562729387166
