"","(Intercept)","Day_1","log(Day)_1","Day_2","log(Day)_2","psi","(Intercept)_s","Day_1","log(Day)_1_s","Day_2_s","log(Day)_2_s","psi_s"
"Afghanistan",-4.01193620089885,0.0259572144694641,1.86788457087513,-0.0830316081881722,0.0481252010525978,90,-4.36114427652952,0.0252740510733485,1.94910213380632,-0.0825452874961414,0.0438693402964775,91
"Albania",-4.11473399270676,-0.106124980996899,3.00416178344877,0.101288138513504,0.0437512474478811,57,-4.26532249710781,-0.101967516087179,3.00902570493419,0.0975304885856864,0.0545625680565005,59
"Algeria",-12.7385904127235,-0.0905811806043317,5.66907669713761,0.0592863610131051,0.0985334221444009,90,-13.5311837742601,-0.0922665339021484,5.88599647582846,0.0603095164278582,0.0874706823527979,91
"Andorra",-1.66463351500854,-0.163189309555496,2.70329555156082,0.16373830764375,-0.179315119824191,59,-2.36391080018547,-0.166990839941688,2.96473813004853,0.166874969156355,-0.174891660182079,61
"Angola",1.3628970165486,0.061714025947516,-1.10310085230876,-0.0389779308867031,0.0255677468487883,119,-6.9823079332216,-0.412577248711839,4.81892954091146,0.405445457706816,-0.34064059516925,27
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",0.861113430546172,0.0297801515603854,0.70908946462129,-0.0166671457597804,-0.014249133554623,139,2.23480639748515,0.0409670079696061,0.170661477796026,-0.0231840582061073,0.0445576964543739,116
"Armenia",1.25018557074332,0.0303599556994864,0.478058533101679,-0.06041249255709,0.0642035157403695,101,0.976809717926763,0.0293315408643214,0.551254514812061,-0.0600610430760186,0.0660198070443481,102
"Aruba",-3.65351874022529,-0.420464283908342,4.12495775158759,0.450205337841882,0.695884196638636,47,-3.94215757955164,-0.393586403917005,4.12531280399259,0.427397396229009,0.677828935591621,50
"Australia",-145.662875980344,-0.719758110159609,47.2853608694083,0.481465148726364,-0.239473171472458,106,-147.537879784939,-0.713455302873222,47.6319796053832,0.474065057908472,-0.142321720858358,108
"Austria",-14.1205738827243,-0.246077176872707,8.09449966736453,0.217668812341222,-0.239370582551643,76,-15.2070141688936,-0.247214862398132,8.41115882342531,0.216925789081016,-0.209217813584997,78
"Azerbaijan",1.09224796701466,0.0293978913989835,0.387017597369981,-0.0679589085141013,0.0565954730365176,120,0.880480626743502,0.0287214995860836,0.440324786879274,-0.0686430743144961,0.064811674363726,121
"Bahamas",-11.4700642241136,-0.244074664720012,5.77673130713952,0.247854730929612,0.246451365759033,63,-10.3501668822775,-0.216340603180183,5.20654089611274,0.226611065215352,0.220678646476158,65
"Bahrain",-0.354709897997905,0.0245139592042518,0.870480633369634,-0.0380980480992713,0.0240926401842246,106,-0.612878170711918,0.0239634434605658,0.931994048536533,-0.0373981942174696,0.0171528887011379,107
"Bangladesh",-4.67278807241706,0.00237897417869599,2.78793722533961,-0.0301009248857477,-0.00418503711528375,91,-4.99768345677276,0.00200520502835703,2.86034805428784,-0.0299988327996109,-0.0060476805837642,92
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",-17.6988876949565,-0.102673993655665,7.46409306421811,0.082090288896997,-0.112003004354519,145,-18.5811358919701,-0.10426948305938,7.69641921639318,0.0824684786457948,-0.10912965433847,146
"Belgium",-40.8627434413734,-0.224545439208829,14.9615710474059,0.163401348592274,-0.0856296788171393,121,-42.1950695815576,-0.226026822867607,15.3006391405882,0.165442661692344,-0.117419863353258,122
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin",-14.3248494415254,-0.386920490154431,7.50872687147406,0.314242592334718,-0.152799292970998,30,-14.3301759511539,-0.382488755862036,7.47313985048706,0.311482069852727,-0.172966929162163,30
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",-18.7462935088464,-0.260516880025253,8.75016447227318,0.200482452456126,-0.233407748024579,40,-18.7603277535379,-0.257631516591199,8.70857391901096,0.198828565484228,-0.236161391137167,40
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",-7.12597220940745,-0.15038493453853,4.57949337353084,0.133507134838075,0.062804797889676,61,-8.24458521357881,-0.156942390579211,4.96352413851569,0.137404416681736,0.0510418742506627,62
"Brazil",-14.8028595454717,-0.09022175490416,6.8447538762249,0.0462554836845091,0.0429573871433484,55,-10.2363765247151,-0.0124220334028145,4.6825548341513,-0.0156361771204903,0.0158780390654382,97
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",-5.87756581824082,-0.0984857389592382,3.66238259924714,0.0777438532329335,0.1365340793744,63,-6.37323137683099,-0.0984681856806588,3.79756334903043,0.0779126613181026,0.112843074197479,64
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",0.695711111955921,0.0228233544612498,0.649284981471919,-0.0508181054282965,0.0237826190879078,89,0.50676789847878,0.0224073861942691,0.693466442411495,-0.0498509035084256,0.0150663198090592,90
"Canada",-48.6393251389322,-0.16708861672748,15.7689730821514,0.0867833032612022,-0.0342919913939071,148,-49.9891181431423,-0.168700278578831,16.0985404453395,0.0875886766943108,-0.0396398104951641,149
"Cape_Verde",-11.3630890119481,-0.0907106526232464,4.61095036817867,0.0609300467879045,0.0444381311092,61,-9.95404646930847,-0.0754882806880841,4.05046284297958,0.0498591653912022,0.0796019733872273,62
"Cases_on_an_international_conveyance_Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",-25.6628557036313,-0.0641336120536103,7.9576098014013,-0.0752481573409442,0.0276332993118308,103,-23.6761939012662,-0.0535471024281677,7.30145111138258,-0.0794506759759269,0.0375950106821964,103
"Chad",-35.9180155672631,-0.231537969899171,12.858107830909,0.155680096551078,-0.0144104403302789,104,-35.2955053317255,-0.223164345389823,12.5831350775091,0.149353091887352,0.0104074972493823,106
"Chile",2.48822279554911,0.0421370100565851,0.487634516966314,-0.0661654243405206,-0.0674941086059715,101,2.1941115898659,0.040977366039158,0.56442132130314,-0.0644832631239341,-0.0996713597647432,103
"Colombia",-15.4711957470406,-0.173722020563385,7.55448418705227,0.14013803541743,-0.184468577955563,54,-15.1592524446615,-0.167297230344423,7.38711219884035,0.135839743085725,-0.190464400090319,54
"Congo",-29.8541736579209,-0.397262130270406,12.8627755678321,0.291529825956024,-0.293596510115333,49,-29.2728143584645,-0.376860702529205,12.5000850873647,0.27510503747003,-0.256093409234067,50
"Costa_Rica",-22.5152667074847,-0.49207929075017,11.7898095130822,0.434891399813993,-0.0696674258312825,50,-21.6589481470834,-0.449659171579172,11.194045958151,0.397461618892252,0.0021082635694448,52
"Cote_dIvoire",2.02497153956432,0.0332575790472476,0.017148244631552,-0.0704435625248927,0.0668237915349125,110,1.80401201685109,0.0318398902932707,0.0855771271326366,-0.0704151934792465,0.0590517933281137,112
"Croatia",-14.6059293517604,-0.203220480358651,7.23180869546532,0.190335227955041,-0.00454012080317655,81,-15.9783740880006,-0.208910751771261,7.66976168089114,0.193284401823499,-0.00838866443815587,82
"Cuba",-3.49172883534423,-0.0796332044284721,2.80604171847298,0.099778834248631,0.036194494297597,104,-3.88882721588268,-0.0803832719532553,2.92214088524294,0.101444307675889,0.0151968976190708,105
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",-2.23801533355754,-0.111596185843179,2.53433256935818,0.12359963344872,-0.0815855227408267,80,-2.72421958867654,-0.112988607458788,2.69483280504277,0.125824410668592,-0.0859520953114488,82
"Czechia",-6.62546624344003,-0.144594419992595,4.76679137155085,0.131081583846167,-0.122631186748437,73,-7.54597953421974,-0.148308614571899,5.06221284902296,0.133191925596856,-0.134068686509902,74
"Democratic_Republic_of_the_Congo",-0.766274227098733,0.0310796202966516,0.707268065329861,-0.0616978656162251,0.071879969023211,85,-0.995135649046487,0.0301262280240111,0.766785475404634,-0.0614571757142279,0.0756293902572216,86
"Denmark",-4.43688187819621,-0.0827583571831572,3.53353935135574,0.0824747128144371,-0.0483873239996072,111,-5.07838757187585,-0.0847545356941871,3.72577397503158,0.0862105641916278,-0.0782564010478348,112
"Djibouti",-24.5750831101181,-0.406511255897395,11.8497625838399,0.246811638824372,0.0048817648853792,43,-25.326563263323,-0.39793921656039,11.991733081945,0.238070386449484,0.0108191973891383,44
