"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","MSSE"
"Mozambique",8769.42955083465,4.71920350110208,0.033594322085723,NA,NA,NA,0.0722311320670664
"Namibia",19752.6493455504,4.65207540339393,0.0557436385629166,NA,NA,NA,0.0368777089345247
"Nepal",18780.2065093798,6.64113915198994,0.10975070388059,30689.6636220725,4.13204232548164,0.101907748373547,0.0727106342451738
"Netherlands",47727.80500453,3.85016153747902,0.0919972506016471,21992.4890508805,4.7197133294151,0.110343110290735,0.0792530673157946
"New_Zealand",1117.48727385391,3.30216129966857,0.234551365420082,NA,NA,NA,0.0959226061822439
"Nicaragua",4483.44415317512,2.04354289166656,0.0493765450646494,NA,NA,NA,0.224993626142056
"Nigeria",56771.220070435,4.7596622063274,0.0449158455692301,NA,NA,NA,0.0283167676229359
"North_Macedonia",1555.49715274791,3.47414354372276,0.13200255553862,12680.0369270461,3.84361954346087,0.0549117339234785,0.0639381857276358
"Norway",8479.51559765829,3.25779509709652,0.102251504948396,1761.77268826275,4.50904702471591,0.130032876687188,0.152152268649774
"Oman",89246.7640920182,6.59576196162139,0.0616032237479748,NA,NA,NA,0.0878254963282919
"Pakistan",294439.846997897,6.15666968628106,0.0647535545295707,NA,NA,NA,0.0493373847206545
"Palestine",30248.6952018733,9.10840431393547,0.0668657799492441,NA,NA,NA,0.161255826083776
"Panama",117314.277982275,4.90293266044175,0.0363505190906987,NA,NA,NA,0.0192403384007301
"Paraguay",NA,NA,NA,NA,NA,NA,NA
"Peru",314970.431725571,5.44815169375797,0.0677287942779057,452678.991649043,3.26890994379312,0.0726765891089477,0.0344783869100072
"Philippines",7709617.30425446,8.63517604320281,0.0295379649932968,NA,NA,NA,0.142502209852464
"Poland",37617.3840840937,3.25682812770152,0.0471251189139092,37253.0201038698,3.37483929021737,0.0810057307067688,0.0678460864359641
"Portugal",27725.1980083812,3.970641276932,0.118528585301279,24053.684521321,2.78475696083988,0.0662819571639198,0.0623588666514683
"Puerto_Rico",13037.7612709339,3.5594179299335,0.0398067883287132,30810.2729056551,3.92462902723522,0.0771480767257218,0.0734254992542879
"Qatar",114154.26997913,5.31728500757715,0.061694876231444,NA,NA,NA,0.0290816000260781
"Romania",18736.0501649368,3.87299328570843,0.0866811590756625,88299.9667576879,4.31764727195538,0.0574572669290621,0.0456482832364509
"Russia",944933.950417255,4.05245593454815,0.0441170967974165,NA,NA,NA,0.121844653322134
"Rwanda",8246.77084674132,4.91884588435252,0.0283397968036948,NA,NA,NA,0.707876818681935
"Saudi_Arabia",320470.650423985,5.02174887113543,0.0474217912569579,NA,NA,NA,0.0383095994532091
"Senegal",14520.358518983,3.89858707406995,0.0356318210795201,NA,NA,NA,0.0869486238546632
"Serbia",10889.8012468026,4.66585065780684,0.124963645941893,20573.9983639061,4.33789296855117,0.0792467777674145,0.0280514488315739
"Singapore",43064.6037418305,6.9492610253459,0.0762908078422295,12182.6863605895,3.22596791413666,0.131881726548379,0.14792315851347
"Slovakia",1502.32665180486,3.63739898952452,0.118488141060984,5628.83475217109,4.93847159703223,0.0492895382150809,0.152011175482636
"South_Africa",657770.403992002,8.8675853157006,0.0696829260381278,NA,NA,NA,0.0164883288100284
"South_Korea",10142.9519044058,3.167484072893,0.17371139687281,NA,NA,NA,0.332924377554716
"South_Sudan",2034.91559863627,3.9351030505145,0.125360211512958,357.710274575061,3.24452651897383,0.193640223445797,0.193904466581038
"Spain",232080.068279569,4.59932612766743,0.120581714056536,519213.348945891,5.829850340749,0.0645942503954488,0.14046942889744
"Sudan",11334.2564187382,3.71126999358088,0.0706341313015471,1447.26979493181,3.2425518880681,0.205797783840899,0.0992413715725495
"Suriname",6441.66545161709,4.34386433981462,0.0529102061633751,NA,NA,NA,0.0398745496276906
"Sweden",88955.5267061824,3.69965676021853,0.0387557061671847,9247.8435759958,2.92677654446256,0.146109251631389,0.0962555020233388
"Switzerland",30089.0565480731,4.35513492818849,0.142082420620963,16542.9807568019,4.37653202098133,0.0533575120597942,0.0855949225829767
"Syria",NA,NA,NA,NA,NA,NA,NA
"Tajikistan",7809.65000509414,2.2829637184527,0.0595706487389329,NA,NA,NA,0.287683934796585
"Thailand",3129.16273130018,4.04367768142435,0.136293863559142,NA,NA,NA,0.409838367855645
"Trinidad_and_Tobago",NA,NA,NA,NA,NA,NA,NA
"Tunisia",994.488226681207,2.95921369754732,0.14318197859669,NA,NA,NA,0.0916388185633937
"Turkey",198451.050759058,2.90240783825097,0.063788237133547,50313.2129887836,2.80692947445573,0.112783439236688,0.254082291084555
"Uganda",1077.76505340361,5.6710655505125,0.0898385539754153,NA,NA,NA,0.229970898236806
"Ukraine",202167.842628578,3.93704365309296,0.025157339525375,NA,NA,NA,0.108398642533809
"United_Arab_Emirates",60073.572461567,4.26895986214381,0.051390133379039,8839.08633975934,3.07646575938085,0.181812901967602,0.0853125319450947
"United_Kingdom",277495.851617743,4.22238394164216,0.0741797815120827,56759.8299638528,2.9675229302283,0.0747313647420466,0.073450844261742
"United_States_of_America",1683559.96358556,5.28035987725482,0.0845618814778653,4524204.70645397,3.50898728484889,0.0613658205772551,0.0656212441858175
"Uzbekistan",71893.9252644053,5.87371385497267,0.0389587171959282,NA,NA,NA,0.0909928420491834
"Venezuela",101429.941079489,7.45043567909828,0.0446453508089171,NA,NA,NA,0.104519177644307
"Zambia",25961.2086481425,6.11227407187892,0.0440573625043273,NA,NA,NA,0.287104203288961
"Zimbabwe",7030.49406925693,6.17920995695509,0.0804576059747678,NA,NA,NA,0.136926328677728
