,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Maldives,-17.37960609,6.392789248,-0.087419179,-15.38459336,5.752569732,-0.077772421
Mali,-1.494644717,1.539687163,-0.024043636,0.461976897,0.821149218,-0.009139493
Malta,-0.798501751,1.39408793,-0.051102851,-0.793905119,1.376043241,-0.049672863
Mauritania,-82.70769524,24.02811528,-0.230474642,-77.64210951,22.48688919,-0.210387998
Mauritius,1.13144908,1.290932107,-0.136931212,3.646713245,-0.133580617,-0.063749556
Mexico,-5.112863596,3.261985173,-0.015059541,-5.791240952,3.447263432,-0.016999604
Moldova,-0.318288819,1.406489601,-0.006597056,8.229665745,-1.57579,0.04478691
Monaco,NA,NA,NA,NA,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA
Montenegro,3.489806872,-1.218621379,0.050387917,3.391629006,-1.146726753,0.047235912
Montserrat,NA,NA,NA,NA,NA,NA
Morocco,1.575588283,0.826400587,-0.00199253,1.288106609,0.914147166,-0.003306672
Mozambique,-2.771096299,1.021808563,0.012316131,4.992663301,-1.713916308,0.061680811
Myanmar,-0.268613586,0.684671882,-0.022628148,0.56056503,0.357458144,-0.01494959
Namibia,1.39090555,-2.716116643,0.133019468,1.731675631,-2.94997173,0.139446145
Netherlands,-3.304745234,3.72295282,-0.089954033,-4.007814537,3.939169416,-0.092466621
New_Caledonia,NA,NA,NA,NA,NA,NA
Nicaragua,-48.43350205,15.0590225,-0.169063672,-36.6647709,11.47453177,-0.121156068
Niger,0.081114201,1.398101014,-0.06069243,-0.325789352,1.539438055,-0.062811861
Nigeria,-9.141698479,3.897561541,-0.025817903,-9.41571642,3.947702301,-0.025460441
North_Macedonia,1.624528135,0.23878341,0.018903828,1.471864904,0.276093365,0.018528473
Northern_Mariana_Islands,NA,NA,NA,NA,NA,NA
Norway,-0.822594286,2.488589569,-0.081734554,-1.414004968,2.685384837,-0.084555675
Oman,-9.744607185,3.700692677,-0.007372195,-10.17044405,3.796854128,-0.007823134
Pakistan,-11.77300517,5.184876022,-0.038992335,-11.96639686,5.204240989,-0.038043802
Palestine,3.689077009,-1.743816354,0.086070274,7.677964677,-2.91045345,0.098986723
Panama,3.191396874,0.231405377,0.021769786,4.464288005,-0.198933424,0.028532006
Papua_New_Guinea,NA,NA,NA,NA,NA,NA
Paraguay,0.370307332,0.300230483,0.019469096,0.097726147,0.382330962,0.018145955
Peru,-12.40953559,5.993837048,-0.068050483,-12.66264572,6.042252417,-0.067713655
Philippines,-0.900011946,1.085393788,0.016274516,-1.340209559,1.208888497,0.014789807
Poland,-0.229096753,1.929078332,-0.028107623,5.391731996,0.002683201,0.004623816
Portugal,1.727742644,1.548200581,-0.031035012,2.30868861,1.341377516,-0.027237029
Qatar,-15.73455131,6.696219362,-0.078883386,-16.53002687,6.899152526,-0.080104769
Romania,-0.281032218,1.767100525,-0.021414336,-0.872576864,1.956449202,-0.024394274
Russia,-47.64840471,15.11093432,-0.128564316,-49.53153218,15.58514297,-0.131766186
Rwanda,1.711109847,-0.386579048,0.030432142,8.450558999,-2.685580724,0.068422256
Saint_Kitts_and_Nevis,NA,NA,NA,NA,NA,NA
Saint_Lucia,NA,NA,NA,NA,NA,NA
Saint_Vincent_and_the_Grenadines,NA,NA,NA,NA,NA,NA
San_Marino,-1.370460698,1.605818217,-0.053964251,-1.898048899,1.7847487,-0.056719229
Sao_Tome_and_Principe,-9.667432947,4.562974929,-0.110888415,-10.44647209,4.800423856,-0.113458828
Saudi_Arabia,-5.772746983,3.552822353,-0.024903707,-6.074735728,3.615490039,-0.024833507
Senegal,-4.395961191,2.36753451,-0.018314235,7.410679911,-1.634515531,0.047144716
Serbia,1.917807229,1.068753262,-0.018595699,2.43801133,0.887095707,-0.015549565
Seychelles,NA,NA,NA,NA,NA,NA
Sierra_Leone,-7.392903686,3.459516541,-0.059245716,-5.803468513,2.886078309,-0.047493355
Singapore,-54.52526183,16.60114338,-0.154127599,-56.38492487,17.06471095,-0.156981894
Sint_Maarten,NA,NA,NA,NA,NA,NA
Slovakia,0.738806725,1.053025264,-0.035933684,0.018746671,1.345388126,-0.043705084
Slovenia,2.559197278,0.445713293,-0.029360097,2.934769218,0.30295515,-0.026363228
Somalia,-16.07536492,6.417314658,-0.104118772,-9.876889751,4.376364412,-0.070473968
South_Africa,2.011022593,0.318233199,0.04646397,1.851692224,0.354259295,0.04590049
South_Korea,-2.567793597,2.619658902,-0.051369632,-3.067585433,2.769758095,-0.053099999
South_Sudan,-28.37239344,10.69477364,-0.191919272,-2.686682418,1.937813413,-0.030194208
Spain,-22.53325194,9.814153752,-0.152873349,-24.1533229,10.27714275,-0.157584044
Sudan,-33.4386885,11.43056558,-0.142600247,-0.850440016,1.358445839,-0.004088752
Suriname,-0.472580574,-0.608620841,0.06160077,3.858286632,-2.039628288,0.083512044
Sweden,-9.777959733,4.191390496,-0.029829074,-9.916296282,4.20539859,-0.02925142
Switzerland,-2.43766406,3.600502378,-0.108147043,-3.408485396,3.936500118,-0.114181903
Syria,0.324215421,-0.361251832,0.034458244,4.111071805,-1.78565759,0.063140081
Taiwan,-15.66143776,5.836311011,-0.103602622,-17.65108654,6.449818839,-0.111789774
Tajikistan,2.084512484,1.392862536,-0.064385067,1.474152844,1.635223623,-0.070514569
Thailand,-42.15203047,14.12566932,-0.19539947,-44.26202,14.70399859,-0.200411103
Timor_Leste,NA,NA,NA,NA,NA,NA
Togo,-2.715345765,1.360531265,-0.014785808,-3.197884706,1.508004499,-0.016779638
Trinidad_and_Tobago,NA,NA,NA,NA,NA,NA
Turkey,3.199111267,1.813266763,-0.047088509,2.75261139,1.957557069,-0.049164264
Turks_and_Caicos_islands,NA,NA,NA,NA,NA,NA
Uganda,-2.053217481,1.16111208,-0.004634587,-2.012464282,1.132509047,-0.003740361
Ukraine,0.746845431,1.430571173,-0.00762159,0.585538575,1.467249216,-0.007766397
United_Arab_Emirates,-32.46475422,10.50958324,-0.094165907,-33.97788127,10.90064758,-0.097112022
United_Kingdom,-34.78950246,12.50109298,-0.143546689,-36.24883946,12.8799263,-0.146207696
United_Republic_of_Tanzania,-21.25757218,9.497381971,-0.274909035,5.773435404,-1.313907848,0.010095553
United_States_of_America,-9.109634199,4.914845635,-0.033811975,-10.34120249,5.249206771,-0.036932698
United_States_Virgin_Islands,NA,NA,NA,NA,NA,NA
Uruguay,2.879139174,0.017122878,-0.016349315,2.854214783,0.032204251,-0.016750553
Uzbekistan,3.078994139,-0.144076544,0.029061224,2.92797925,-0.090702419,0.027658106
Venezuela,1.937905501,-0.356656778,0.04837323,5.428989385,-1.513188162,0.066049111
Vietnam,-6.16131777,2.491556889,-0.0437733,-6.837711255,2.68969204,-0.045829823
Western_Sahara,0.257451231,-1.073735887,0.107773473,0.166731517,-1.213449545,0.118045897
Yemen,-16.20272348,6.033955495,-0.087459948,-18.20831274,6.668104114,-0.097319246
Zambia,-6.943412316,2.963908166,-0.034893722,-0.039902923,0.651103369,0.00381578
Zimbabwe,-1.20163344,0.025698273,0.042358055,-1.859482203,0.256461252,0.037494407
