"","(Intercept)_1","log(Days_after_first_Case)_1","Days_after_first_Case_1","(Intercept)_2","log(Days_after_first_Case)_2","Days_after_first_Case_2","psi","(Intercept)_1_s","log(Days_after_first_Case)_1_s","Days_after_first_Case_1_s","(Intercept)_2_s","log(Days_after_first_Case)_2_s","Days_after_first_Case_2_s","psi_s"
"Canada",-1.15473114128476,-1.52735171147474,0.223928525681622,-22.7765601779248,8.66365631133085,-0.0981751021631284,65,-36.5118752569552,10.7541702029293,-0.0249031621332441,-23.5137209431523,8.860691388107,-0.0998633228646719,70
"Cape_Verde",0.350638540545892,-5.97472557462575,0.832620856738428,-0.678829772871654,0.462957533456266,0.020055663230164,27,0.519056806463769,-1.08621439776623,0.0434613209844789,1.0790964192319,-0.0527923523652884,0.0261942571523701,20
"Cases_on_an_international_conveyance_Japan",2.39395075583308,-0.289115463292316,0.191582136917442,17.6836895978697,-3.9118165236413,-0.178760694122601,15,1.77667625794422,1.08125768065611,-0.0554697686573919,-476.097370366899,238.177906913605,-11.7158499432948,18
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",-2.50169837158175,0.115960839696556,0.0817216519662645,-56.4505890803213,17.343754654352,-0.189421338519325,80,-2.72369920274939,0.224952003568835,0.0778113520154009,-233.918020264479,66.0686548999012,-0.657749052850776,86
"Chad",-1.20875331759156,-0.2505423919787,0.101704418378113,-14.0567050667941,6.99441814218191,-0.184696941744547,58,-8.69482177690283,3.10285161000296,-0.0135276097675817,107.448534603719,-28.2560752308729,0.224628168611367,69
"Chile",-7.01817232242141,4.78082709908279,-0.114935615107878,-58.1548689392273,18.5666380184801,-0.186406135439476,49,-5.37725344128675,4.02118442911525,-0.0849241990792925,-63.7656624100831,20.1375874490745,-0.202444703218689,54
"Colombia",2.0191685088348,0.530578847776818,0.0330349121341964,552.511789071565,-145.706059256179,1.27826685888663,109,1.83215836106301,0.602861538467956,0.0314242145105513,2226.82849478235,-588.877916184348,5.00579644174994,114
"Congo",-3.11043292821024,1.62396305095866,-0.018624809203591,22.0049351995256,-6.34330105521643,0.106064774013009,81,-0.922174041084819,0.0636833972636743,0.0947663337976348,11.8293228989185,-3.41568906683807,0.0733502977041119,33
"Costa_Rica",-1.36203794280419,2.1079918367292,-0.0958186601362672,27.0664225045597,-8.4118910269855,0.157327218926315,64,0.0137264772137661,1.32204715722632,-0.0547505346043899,30.2051169875244,-9.25961351018958,0.16498743446145,76
"Cote_dIvoire",-2.76256612214318,2.36263457762326,-0.0561121956237586,-30.0953797687338,9.26536329691365,-0.0714604602407777,53,-2.03658871106505,1.9705227519261,-0.0306235211635063,3.46729341729946,-0.338816997642164,0.0339509456660379,18
"Croatia",-12.5671573029444,6.58374520759667,-0.190151728500879,-946.482897818494,247.084541645654,-1.93784373802486,90,-12.6764549341052,6.62877569374162,-0.19151978486141,-1106.42638193364,289.007951224569,-2.27732776813362,99
"Cuba",-4.93800854244339,3.59812479712899,-0.113943308227675,-52.2588400031184,16.2745911834483,-0.205210014932245,65,-1.75106768849725,1.90511072088778,-0.0290452078232525,14.4038670927041,-3.00118872850859,0.0146335880420229,39
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",-1.57176326030106,2.37523501182065,-0.113317878194449,1.10755098183688,0.312252416364865,-0.0208523004332065,65,-1.56858882790129,2.37319233875097,-0.11318391690325,20.8068002783773,-5.1966836001242,0.0353683188256682,70
"Czechia",-7.13580256146849,5.15111917880606,-0.164035733553432,20.5213561746993,-5.12092871658157,0.0725111628425814,69,-5.90229539626243,4.60119032157215,-0.144289298257686,26.6795802820026,-6.80911116163317,0.0884973588393549,76
"Democratic_Republic_of_the_Congo",0.765701357943497,0.0189937322258815,0.0534396251596169,-37.2039522430653,11.834791171119,-0.12418135674267,76,-0.00579013234834162,0.410160830661098,0.0388606856189756,-31.7490874779499,10.3381237297149,-0.109851704605018,82
"Denmark",-4.35618969171293,3.60331107339608,-0.0882759041850465,-67.0307386884997,19.6242322400921,-0.195788448394408,91,-4.26349445989253,3.5648576571722,-0.0871350312833384,-164.647276479228,45.6008393297217,-0.417986699086732,98
"Djibouti",-23.25699693933,11.4902151324853,-0.393914939129903,-91.2343856384011,29.1834308621251,-0.400378505796135,43,0.388638770924531,0.61692784614604,0.0238079021787604,438.80269147733,-121.738276839803,1.24289104096274,81
