,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Afghanistan,-29.26889132,10.16237133,-0.112431901,-32.3535662,10.87378535,-0.113909095
Albania,2.579476373,-0.318440132,0.026382306,5.919925926,-1.344748356,0.038901445
Algeria,0.005185277,1.195369422,-0.001591422,-2.169867531,1.880035429,-0.01229678
Andorra,1.309564696,1.073270402,-0.073547364,6.326410972,-0.818472148,-0.027853819
Angola,0.472168374,-0.715931377,0.051373456,0.013804237,-0.625812284,0.050552675
Anguilla,NA,NA,NA,NA,NA,NA
Antigua_and_Barbuda,NA,NA,NA,NA,NA,NA
Argentina,2.363995541,0.166916979,0.040112481,1.59434006,0.356835045,0.037480029
Armenia,-2.175559877,1.767844445,0.002008513,-2.754152576,1.834137602,0.004295304
Aruba,NA,NA,NA,NA,NA,NA
Australia,-8.655026831,4.014065525,-0.054159474,-15.7564663,6.17116838,-0.082205087
Austria,0.136535312,2.268874755,-0.068857225,-2.579288308,3.198544955,-0.085035594
Azerbaijan,0.475672947,0.634080572,0.023828685,0.227396351,0.621392621,0.02590592
Bahamas,NA,NA,NA,NA,NA,NA
Bahrain,-4.984725226,2.51116769,-0.006557098,-6.271416444,2.798912813,-0.007592283
Bangladesh,-11.80972267,5.202382499,-0.040397148,3.836681515,0.295576463,0.028151781
Barbados,NA,NA,NA,NA,NA,NA
Belarus,-16.91668721,7.291372634,-0.101799659,-20.01052207,8.083459182,-0.106127197
Belgium,-25.98360396,10.32542759,-0.154536935,-31.19045825,11.73326823,-0.165430432
Belize,NA,NA,NA,NA,NA,NA
Benin,-5.064017368,1.857675421,-0.002020459,-3.585541713,1.251686913,0.011270651
Bermuda,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA
Bolivia,-8.06504205,3.353644443,-0.006513246,-9.547349827,3.682524648,-0.007842652
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
Bosnia_and_Herzegovina,3.383640921,-0.271678957,0.02318179,2.485192164,0.083437292,0.013721944
Brazil,-13.41923634,5.829898745,-0.033856799,-15.39025737,6.270712345,-0.035474797
British_Virgin_Islands,NA,NA,NA,NA,NA,NA
Brunei_Darussalam,NA,NA,NA,NA,NA,NA
Bulgaria,2.883506691,-0.167335762,0.024125373,1.972022943,0.156284421,0.016813645
Burundi,NA,NA,NA,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA
Cameroon,-2.390281681,1.918156705,-0.01052531,-4.774869062,2.623152028,-0.01986016
Canada,-40.27306822,13.43066971,-0.141802286,-46.55255999,15.03383021,-0.15257162
Cape_Verde,-2.116353905,0.921317991,0.013289809,6.172815583,-1.580700245,0.04465078
Cases_on_an_international_conveyance_Japan,0.323993762,2.857675895,-0.300075209,-3.266094839,4.172302293,-0.285273875
Cayman_Islands,NA,NA,NA,NA,NA,NA
Central_African_Republic,-37.17074072,11.64090372,-0.119989549,-39.93752033,12.20712836,-0.118100387
Chad,-32.14861146,11.75807641,-0.216101344,3.443100293,-0.412304914,0.005940906
Chile,-16.10538872,6.597861413,-0.057808458,-15.92794051,6.364247713,-0.049088122
Colombia,1.245188454,0.821658637,0.026886745,1.476648262,0.676036652,0.029936318
Congo,0.143126272,0.173340832,0.025437728,-0.39266384,0.343575016,0.021364967
Costa_Rica,3.892888338,-1.265185376,0.063797701,4.792071632,-1.397057241,0.058484404
Cote_dIvoire,1.248763422,0.353840159,0.024359776,6.158649695,-1.241094729,0.047629919
Croatia,1.597348707,0.599839592,-0.010863512,0.060954887,1.158774386,-0.022701028
