,(Intercept)_1,log(Days_after_first_Case)_1,Days_after_first_Case_1,(Intercept)_2,log(Days_after_first_Case)_2,Days_after_first_Case_2,psi,(Intercept)_1_s,log(Days_after_first_Case)_1_s,Days_after_first_Case_1_s,(Intercept)_2_s,log(Days_after_first_Case)_2_s,Days_after_first_Case_2_s,psi_s
Afghanistan,-6.275722194,3.097324483,-0.032138621,-54.94440132,17.56422673,-0.195466946,47,-6.391540543,3.15270757,-0.034458145,-55.49823452,17.72164688,-0.197157704,48
Albania,-0.419340378,1.384433592,-0.04713217,-40.95518491,11.37772866,-0.076431556,66,-0.227163032,1.275532374,-0.041663582,-78.34263187,21.63460255,-0.174356673,78
Algeria,-5.967539663,3.397686042,-0.048329737,-269.7979158,70.32805929,-0.510347675,108,-5.863417231,3.359499644,-0.047498277,-431.4574663,112.6855529,-0.852955873,111
Andorra,-0.955937271,2.528079458,-0.164829213,-189.4185937,57.03652105,-0.738712936,49,-1.257937054,-2.659725455,1.589254223,2.704437273,0.478874811,-0.056180849,6
Angola,-0.498637636,0.315790024,-0.03799141,-0.433111671,-0.496037544,0.050393104,35,-0.48509077,0.299378826,-0.036196419,0.409395797,-0.743096004,0.053332183,37
Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua_and_Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,-2.608275639,2.667495493,-0.06241083,-8.728076989,3.26694546,0.008765231,52,-1.967193247,2.340081526,-0.047353649,-10.49015364,3.755925409,0.003927782,53
Armenia,-2.201537308,2.853625618,-0.130714588,-21.10385042,7.324902437,-0.063548534,34,-1.174773108,2.175360021,-0.082483511,-24.75159819,8.372005416,-0.07512688,38
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,-94.65262035,31.64968895,-0.491976051,285.0385519,-73.57489048,0.579219822,109,-91.3294896,30.58092118,-0.47468594,296.9893641,-76.56277257,0.599266943,111
Austria,-17.8002398,9.889908643,-0.314268984,56.36000035,-14.99329361,0.161224081,67,-17.218648,9.640868943,-0.305794754,63.16035301,-16.84934275,0.178465546,69
Azerbaijan,-10.84610604,5.846164468,-0.168626735,-22.74367047,7.171519198,-0.043894917,52,-9.89654426,5.413075828,-0.151939359,-24.03466917,7.530806996,-0.047485887,55
Bahamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,0.06009121,0.737134664,0.026778715,27.74049882,-5.719552976,0.048969777,103,0.007085227,0.758439193,0.026250102,31.42776607,-6.690214516,0.056943332,106
Bangladesh,-15.76363586,7.006002791,-0.103499994,-28.73102663,10.06898026,-0.094789933,56,-6.545087289,3.455893209,-0.010649964,-50.77822603,16.21043575,-0.156775198,83
Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,-2.735455779,2.837208907,-0.209011603,-17.58310631,7.49551246,-0.104542642,15,-20.60256182,8.625912613,-0.131470023,-39.15570453,13.55942152,-0.167336148,70
Belgium,-50.66131553,18.35912664,-0.287324864,83.81124772,-19.72727183,0.129090655,98,-47.60137977,17.3491098,-0.269776398,65.14500585,-14.89806149,0.092131758,101
Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,-0.344727463,-0.009533284,0.042453628,4105.55544,-1108.797966,10.07474902,102,-0.58609066,0.102205719,0.03916333,9614.340066,-2593.218917,23.41878841,105
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,0.215622245,0.324776168,0.059363084,-4.457689265,2.458755901,-0.001254362,77,-0.020039847,0.429763319,0.056086345,-5.851400176,2.843850865,-0.00502873,79
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia_and_Herzegovina,-0.901387852,1.954298074,-0.062400561,-23.99887675,5.977912961,0.006990759,78,-0.885334451,1.9462151,-0.062058151,-26.91583337,6.775466523,-0.000549118,80
Brazil,-13.29939932,6.34291081,-0.077081283,-20.78087558,7.8720526,-0.053891565,55,-15.243458,7.121670987,-0.099827472,-20.08280984,7.680851775,-0.052090472,57
British_Virgin_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei_Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,-0.052385711,1.313868337,-0.028558981,-51.04772534,13.82067092,-0.082254335,82,-0.133302381,1.354102599,-0.030149475,-42.74117159,11.56744807,-0.061554905,83
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,-13.83650776,8.424327648,-0.377757818,-13.08482509,5.119028257,-0.050606293,35,-8.266045794,5.408739691,-0.212029888,-15.22792297,5.744952953,-0.057923725,38
Canada,-1.154731141,-1.527351711,0.223928526,-22.77656018,8.663656311,-0.098175102,65,-2.07262554,-1.130344706,0.211832879,-22.86638481,8.687800076,-0.09838593,66
Cape_Verde,0.350638541,-5.974725575,0.832620857,-0.678829773,0.462957533,0.020055663,27,0.359408132,-1.97056932,0.323024379,-2.97523343,1.200489911,0.008964315,9
Cases_on_an_international_conveyance_Japan,2.393950756,-0.289115463,0.191582137,17.6836896,-3.911816524,-0.178760694,15,2.34397166,-0.124886702,0.158889484,-236.658431,120.7187854,-6.102273247,16
Cayman_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central_African_Republic,-2.930211335,0.302853143,0.07607289,-55.17140765,16.95871195,-0.18457098,83,-2.975397973,0.320940416,0.075607604,-84.14108957,24.93787152,-0.262110612,84
Chad,-1.208753318,-0.250542392,0.101704418,-14.05670507,6.994418142,-0.184696942,58,-1.504803955,-0.079886985,0.093752854,-27.84378686,11.08457163,-0.235877353,60
Chile,-7.018172322,4.780827099,-0.114935615,-58.15486894,18.56663802,-0.186406135,49,-6.235981336,4.417158255,-0.100394314,-60.68608759,19.27609593,-0.193673883,51
Colombia,-1.223471447,2.226315798,-0.045825244,-2.424370541,1.879506203,0.015074883,42,-1.223471447,2.226315798,-0.045825244,-2.424370541,1.879506203,0.015074883,42
Congo,-3.110432928,1.623963051,-0.018624809,22.0049352,-6.343301055,0.106064774,81,-3.227510424,1.67601752,-0.020326826,49.30009754,-13.82902276,0.177684084,83
Costa_Rica,-1.362037943,2.107991837,-0.09581866,27.0664225,-8.411891027,0.157327219,64,-0.002824199,1.331544453,-0.055232775,25.71762917,-8.044486434,0.153909343,75
Cote_dIvoire,-2.762566122,2.362634578,-0.056112196,-30.09537977,9.265363297,-0.07146046,53,2.356260045,-0.163139954,0.039538181,123.3606517,-31.96376104,0.294279053,102
Croatia,-12.5671573,6.583745208,-0.190151729,-946.4828978,247.0845416,-1.937843738,90,-12.58063825,6.589317021,-0.190322349,-1067.200227,278.7326442,-2.194313341,93
Cuba,-4.938008542,3.598124797,-0.113943308,-52.25884,16.27459118,-0.205210015,65,-0.527728101,1.063132502,0.032741803,9.203338082,-1.392515211,-0.007622019,31
Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,-1.57176326,2.375235012,-0.113317878,1.107550982,0.312252416,-0.0208523,65,-1.558034345,2.367488019,-0.112904587,0.061261267,0.60703002,-0.023935305,66
Czechia,-7.135802561,5.151119179,-0.164035734,20.52135617,-5.120928717,0.072511163,69,-7.162595749,5.163177337,-0.164480307,30.10592613,-7.736611662,0.096919861,71
Democratic_Republic_of_the_Congo,0.765701358,0.018993732,0.053439625,-37.20395224,11.83479117,-0.124181357,76,0.765701358,0.018993732,0.053439625,-37.20395224,11.83479117,-0.124181357,76
Denmark,-4.356189692,3.603311073,-0.088275904,-67.03073869,19.62423224,-0.195788448,91,-4.373983234,3.610670073,-0.088492665,-73.43533816,21.33566673,-0.210644756,93
Djibouti,-23.25699694,11.49021513,-0.393914939,-91.23438564,29.18343086,-0.400378506,43,1.070301481,0.274713409,0.036625064,384.7694508,-106.745575,1.093500722,77
Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican_Republic,-0.960516095,2.008678612,-0.025516938,3.097220552,0.076252294,0.02822754,85,-1.064058187,2.052559372,-0.02683541,23.5476235,-5.475480155,0.079393836,87
Ecuador,3.797269129,-0.770760892,0.133453744,35.12633515,-8.405372648,0.098410929,53,3.316547416,-0.411033825,0.111986812,38.36164706,-9.322744278,0.108109126,54
Egypt,-13.54873273,5.506565559,-0.066865812,-49.67249163,14.87930376,-0.119133102,65,-9.311443256,3.855999056,-0.022715139,-57.27385237,16.91998481,-0.137047603,68
El_Salvador,0.302724719,0.004616789,0.071540186,14.27843062,-3.540993424,0.072185516,47,0.123256308,0.122574682,0.064750336,21.29215614,-5.55724535,0.094718581,56
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,-4.464415159,3.692602375,-0.1400397,-49.09021855,15.02582841,-0.185035606,63,-4.537126057,3.728639314,-0.141624581,-50.39647479,15.39459395,-0.188909954,65
Eswatini,-0.264713185,-1.093932689,0.134587208,24.63569824,-7.360924816,0.122621655,42,-0.042591096,-1.481660156,0.171515396,25.55421437,-7.62725,0.125655038,45
Ethiopia,-1.099968415,0.7082326,-0.000581425,-76.08458009,22.5196498,-0.224963066,42,1.149042049,-0.946695556,0.092932399,255.2408788,-68.13083971,0.634808799,93
Falkland_Islands_(Malvinas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,-31.97700416,11.1987643,-0.153378171,-368.9922466,93.78185025,-0.659202669,138,-36.37865104,12.64967113,-0.1783212,5.051380332,1.053052808,-0.056753339,89
France,-72.95513941,24.7132122,-0.339901044,4.974052179,0.289860475,-0.00096114,110,-71.25372185,24.17964261,-0.331949223,-1.472561316,1.9138152,-0.012187042,112
French_Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,-0.433817053,-0.437581204,0.109717295,-25.57509149,8.771334676,-0.103455169,63,-0.641931805,-0.319256532,0.104521141,-38.2470475,12.34718368,-0.141114719,65
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,-0.504813017,0.337555446,0.044404503,14.54359739,-3.252245154,0.021207743,45,-1.483795835,1.860118034,-0.184744426,-5.976239501,2.868672542,-0.054148239,17
Germany,-71.70410039,24.89338689,-0.364960901,62.09085896,-14.14949823,0.098829737,104,-71.65916501,24.87901589,-0.364732992,77.16744329,-17.98888796,0.126480097,105
Ghana,0.433342864,0.371187661,0.064481475,27.85096455,-7.064914587,0.105355234,49,0.605558211,0.294426199,0.0662967,37.32956991,-9.782193059,0.13528267,53
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,-3.378451552,3.175157588,-0.10668113,-20.007229,5.272454455,-0.01795402,82,-3.363231257,3.16803404,-0.106407629,-22.56323817,5.958650312,-0.024005722,84
Greenland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,1.055418712,0.802478045,-0.105801745,-18.27162454,4.557906163,-0.013222823,48,1.03901414,0.820472762,-0.107750932,-16.16668407,3.955767095,-0.006590879,49
Guatemala,0.853598082,-0.297414535,0.082209549,18.99597845,-4.512666401,0.080298936,71,1.122872686,-0.455168547,0.089023863,10.0704452,-2.037837655,0.055734033,72
Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,-8.220831866,4.018491626,-0.063891312,20738.20952,-5536.846691,48.14752776,112,-10.23710997,4.767784555,-0.08113053,44.44087237,-11.19856186,0.110581521,84
Guinea_Bissau,1.432109812,-2.115230212,0.267115684,25.37923596,-6.511023695,0.071924176,40,1.069462181,-1.410128554,0.200866211,34.22233929,-9.208511935,0.108220205,42
Guyana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,-0.309209206,-0.457807975,0.099412185,2.678088167,1.727787448,-0.061987668,78,-0.197031789,-0.514039895,0.101368559,-33.60340215,11.87778539,-0.166232934,79
Holy_See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,0.892044493,0.292104688,0.040554633,-10097.08827,2689.069698,-23.09523966,115,0.901919338,0.288220007,0.040642261,-1550.503529,420.4346458,-3.804715359,114
Hungary,-6.267662971,3.931448955,-0.096503014,-153.1426169,39.90002821,-0.299430439,110,-1.829798328,1.722171741,0.002590903,3.591688259,0.801567176,-0.048626002,40
Iceland,-9.827295265,6.249136628,-0.242382502,-17.31242413,2.497070522,0.051447565,82,-9.758692463,6.217299788,-0.241118832,-69.30380781,16.3051898,-0.065766734,84
India,-0.270095975,-1.748579127,0.211049346,-12.566444,4.543870493,-0.002582383,67,-2.368994758,-0.738531696,0.176299441,-12.22843193,4.456206174,-0.001908269,69
Indonesia,-0.806227552,2.068124507,-0.028252332,10.13933294,-1.533385557,0.037994694,64,-0.806227552,2.068124507,-0.028252332,10.13933294,-1.533385557,0.037994694,64
Iran,-3.274895349,4.032517656,-0.097991722,-22.58913532,8.052109134,-0.067374624,68,-3.325506685,4.054602661,-0.09874403,-23.40422706,8.272023822,-0.069338862,70
Iraq,-6.376509247,3.854273396,-0.100830301,-59.36934279,16.61106498,-0.105519922,57,-5.192216117,3.300204719,-0.078937838,-67.82389126,18.88835693,-0.1258126,60
Ireland,-13.80596783,7.393809598,-0.175264691,264.2780834,-69.49701991,0.589008225,101,-13.83480794,7.404845064,-0.175545136,396.4831357,-104.5475785,0.885086238,102
Isle_of_Man,-1.922556331,2.584458338,-0.16543183,-26.30258509,-3.98E-13,4.15E-15,62,-1.997153365,2.631733384,-0.168513923,16023.72023,-4712.784832,55.26735654,61
Israel,-24.76795685,11.43659474,-0.278148407,-17.63245167,3.784751027,0.045399916,84,-24.60425539,11.3739178,-0.276520744,-14.08205662,2.849183106,0.053109181,86
Italy,-32.03342752,12.97381564,-0.208879177,95.12061059,-22.11401484,0.140246293,103,-30.84912793,12.57629589,-0.201682529,79.54652304,-18.11896339,0.110647821,106
Jamaica,-5.337373711,2.934122905,-0.07641251,-194.2293837,53.23103219,-0.492774459,87,1.049921635,-0.761083383,0.113363483,48.63508017,-13.83565825,0.163894009,43
Jersey,0.130733599,1.390898409,-0.104675079,13.01825845,-4.228510117,0.056129655,69,2.307239769,0.685119875,-0.614915926,1.953135666,0.450872804,-0.060381949,6
Jordan,-1.019345029,2.477088222,-0.182658707,-21.71315452,7.145998825,-0.088498368,34,-1.040674287,2.494465285,-0.184276238,-23.93831128,7.802212347,-0.096418415,37
Kazakhstan,-0.92987168,1.660072831,-0.008170151,-607.269497,165.6760591,-1.488040141,87,-1.212996388,1.777831308,-0.01152688,-1124.826708,305.9323754,-2.77496176,92
Kenya,-3.477115982,2.494606048,-0.088509088,-10.41495051,3.456774194,-0.003391276,38,-0.030974902,1.936543894,-0.619304241,-0.108840312,0.446270162,0.031686094,9
Kosovo,-2.484656012,2.274221511,-0.072371844,-54.11067705,14.64240858,-0.090730601,68,-2.588713958,2.323978827,-0.074297096,-52.04102897,14.09511191,-0.086167599,77
Kuwait,1.651820296,-0.338795777,0.084035823,43.75195341,-10.02116907,0.089202397,79,1.497115274,-0.260579426,0.081272269,50.46347684,-11.83326732,0.105484862,81
Kyrgyzstan,1.145924849,0.536805837,0.002660001,-172.8657036,47.51883303,-0.404461909,78,0.971514588,0.633256839,-0.001550958,-225.6337714,62.04858737,-0.54562432,84
Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,-4.808067935,3.867928105,-0.175407202,11.73774443,-2.399840154,0.003876465,42,-4.893970354,3.917278028,-0.178301264,15.25899152,-3.445192959,0.016640615,43
Lebanon,-9.557753305,5.386043147,-0.18775145,-17.55489906,5.316330142,-0.03981974,56,-9.82048101,5.511137589,-0.192992257,-14.48393125,4.469770925,-0.0316746,58
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberia,-6.172324808,2.840992744,-0.065435159,-61.54336757,17.55972228,-0.163556599,60,-0.255720261,-1.93794289,0.401875512,-0.713842787,0.375770201,0.017911384,7
Libya,-1.838509073,1.518991756,-0.095929461,-39.32631455,11.17939097,-0.084450392,36,-1.130426363,-0.605920185,0.434565675,1.838253138,-0.957454108,0.062918529,8
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,-6.8800901,4.694366971,-0.173269669,-17.26957807,6.032855288,-0.087593593,57,-6.964780568,4.735896853,-0.175098203,-12.54540626,4.687695828,-0.073060175,59
Luxembourg,-2.627618,3.650140007,-0.16939691,61.97391672,-18.74636073,0.262210198,79,-2.624944466,3.648759413,-0.169331656,68.80912374,-20.59062458,0.278816032,80
Madagascar,0.991075691,-0.132212147,0.039268067,-2778.980994,753.2199372,-6.873623582,102,2.139727617,-0.944603399,0.076563359,108.0969069,-30.98822604,0.389690018,65
Malawi,0.207639986,-0.378172342,0.064483953,5242.640371,-1460.418234,14.87031069,95,1.42036135,-1.680767586,0.147333102,-6.582152678,1.807441072,0.02867608,60
Malaysia,-51.85347753,17.69265117,-0.260836499,-111.7322219,31.20998486,-0.27958752,93,-53.26298729,18.15585598,-0.268792095,-105.0536859,29.47815411,-0.266214632,95
Maldives,1.625538665,-3.285034031,0.301420219,-13.60462797,5.314302235,-0.075976031,53,1.422546392,-2.338846246,0.22476457,-10.36800983,4.385844481,-0.065698049,55
Mali,0.400143785,0.566447918,0.005655852,-2.943399628,2.032886557,-0.032776843,10,-0.090766812,0.891789962,-0.002052551,-21.61212375,7.719643673,-0.109420088,73
Malta,-2.759771885,2.458937844,-0.102617037,-53.77164816,16.94830884,-0.235992791,51,-0.157628532,0.728908736,0.015247195,5.721624801,-0.774548027,-0.015212258,33
Mauritania,-4.091017217,0.143878255,0.090303907,-675.350818,185.5042955,-1.742511763,99,-14.6402192,3.563643345,0.035498449,-158.9007711,46.04526152,-0.479206673,101
Mauritius,-0.183143315,2.346369121,-0.22753236,-84.32983908,24.03012714,-0.280058285,50,-0.222271722,2.378549148,-0.230498627,-12.83738826,3.496033504,-0.05006003,62
Mexico,-3.209902346,2.575317148,-0.000433744,0.346719678,1.773679871,-0.001192596,77,-3.502620993,2.687058342,-0.003179209,2.68127236,1.138621127,0.004694281,80
Moldova,-6.547415725,4.126297343,-0.096405106,-20.60610022,7.14284985,-0.066990131,56,0.738406967,0.985129159,0.003703968,-14.3264139,5.923822479,-0.072065699,104
Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,-1.317779332,2.529592883,-0.189774596,-482.751913,129.4838334,-1.108769362,63,-1.338428197,2.543685755,-0.19079676,-482.7511347,129.4836208,-1.108767355,67
