,(Intercept)_1,log(Days_after_first_Case)_1,Days_after_first_Case_1,(Intercept)_2,log(Days_after_first_Case)_2,Days_after_first_Case_2,psi,(Intercept)_1_s,log(Days_after_first_Case)_1_s,Days_after_first_Case_1_s,(Intercept)_2_s,log(Days_after_first_Case)_2_s,Days_after_first_Case_2_s,psi_s
United_Arab_Emirates,-42.29894699,13.3606849,-0.126469578,-314.4953427,78.7633987,-0.493302481,143,0.613344866,-1.930464995,0.200003411,-22.35776253,7.790508443,-0.070365526,67
United_Kingdom,-36.62164334,11.83796705,-0.06582628,-14.06953783,6.772025434,-0.088293769,64,-40.70088278,13.25082409,-0.09444266,-13.76378724,6.688994672,-0.087541047,65
United_Republic_of_Tanzania,-12.84298962,5.926198034,-0.156676185,-26.30258509,-1.50E-12,1.66E-14,58,1.311701049,2.912064453,-1.617030517,-29.63997975,12.68957885,-0.356525027,5
United_States_of_America,-121.4507028,37.31288344,-0.384523194,33.69272246,-6.427688579,0.059319116,69,-185.0669475,57.92274649,-0.72939194,37.83058171,-7.509579752,0.067805194,71
United_States_Virgin_Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,2.549808452,0.263373138,-0.030733793,-844.4777757,230.7696867,-2.166431763,90,2.533937875,0.275690765,-0.031529075,-806.6958505,220.4936036,-2.070886408,91
Uzbekistan,-3.181053126,2.932941156,-0.08729076,4.012268859,-0.832042819,0.051185454,62,-3.013417702,2.85098916,-0.083835721,3.126736289,-0.584130731,0.04864389,63
Venezuela,1.846801875,0.502493998,-0.096754747,-6.196360798,2.072206437,0.018251476,22,3.074752125,-1.220708094,0.088517266,9.968932866,-2.440426798,0.064021187,72
Vietnam,-0.150438238,-0.602756371,0.114808581,-13.45045478,4.734128906,-0.073082159,18,-8.853589238,3.472398374,-0.06412921,-104.8991681,25.48319468,-0.150411106,131
Western_Sahara,1.478045356,-5.504855384,0.391858533,-4804.891913,1499.247222,-22.30894747,67,-11.66797786,-54.31657311,13.45973733,-150.495546,47.7860707,-0.703600433,7
Yemen,-7.473757109,2.704705635,-0.003987491,180.9194003,-52.26808785,0.638215255,66,-4.851800964,1.617399499,0.028543408,2.891911395,-0.05225283,0.004931986,68
Zambia,1.758339841,-1.90072276,0.176607178,78.9975502,-22.14800271,0.259819521,56,1.615843161,-1.623176356,0.155144429,94.86047945,-26.73132156,0.311776882,57
Zimbabwe,0.995352609,-1.706205679,0.125566292,122.257719,-34.88577443,0.413033512,69,-0.367071022,0.405980396,-0.127978915,-5.274349605,1.280818561,0.025302286,18
