"","(Intercept)_1","log(Days_after_first_Case)_1","Days_after_first_Case_1","(Intercept)_2","log(Days_after_first_Case)_2","Days_after_first_Case_2","psi","(Intercept)_1_s","log(Days_after_first_Case)_1_s","Days_after_first_Case_1_s","(Intercept)_2_s","log(Days_after_first_Case)_2_s","Days_after_first_Case_2_s","psi_s"
"Afghanistan",-6.27572219371627,3.09732448311595,-0.0321386212064126,-54.9444013212112,17.5642267293642,-0.195466946452568,47,-5.37320795725544,2.66826091630055,-0.0144740758230661,-58.167315361406,18.4789832090923,-0.205247299035687,51
"Albania",-0.419340377717372,1.38443359161103,-0.0471321700181155,-40.9551849059291,11.3777286616457,-0.0764315564616701,66,-0.284898183983179,1.30719266445794,-0.0431512471006582,-76.4200330150795,21.1092378272527,-0.169407345113717,75
"Algeria",-5.96753966348681,3.39768604201314,-0.0483297373057753,-269.797915825196,70.3280592873443,-0.510347675254518,108,-1.22856869212419,0.495303106809705,0.135521339232825,8.95041375893314,-1.49743212705246,0.0318963243374311,34
"Andorra",-0.955937271478783,2.52807945757088,-0.164829213023167,-189.418593702694,57.0365210516391,-0.738712935561942,49,-0.460350411505853,2.29286156191946,-0.172383859031524,6.90926301846496,-1.12046686223243,-0.0195445266748774,12
"Angola",0.04560018629887,-1.35050128012212,0.248519556998985,4.3703483715438,-1.96795506267243,0.0701110196613958,15,-0.223903589424713,-0.0778194404937564,0.00921493971028859,-5.8339716882296,1.09825013102738,0.0310830843723061,60
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",-2.60827563886423,2.66749549316883,-0.0624108299594602,-8.7280769891872,3.26694546041633,0.00876523082045893,52,-1.82655236981958,2.2681602336697,-0.0440630094419373,-11.2362151712288,3.96275583000067,0.00188802261790951,57
"Armenia",-2.20153730815309,2.8536256178601,-0.130714587505731,-21.1038504187134,7.32490243715408,-0.0635485337559647,34,-0.79328106536271,1.9285103356662,-0.0658429467550328,-27.4118322574777,9.13231425347309,-0.0834243161896291,42
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",-94.6526203528166,31.6496889457827,-0.491976050978249,285.038551877743,-73.574890480479,0.579219821533322,109,-89.5889065862077,30.0213740340741,-0.465650234469885,301.725409435647,-77.7457089207585,0.607175389846161,112
"Austria",-17.8002398028455,9.88990864334598,-0.314268984299173,56.360000349223,-14.9932936088384,0.161224080838789,67,-16.9226307609762,9.51426108918963,-0.301502500289149,76.6463544137136,-20.5161619362457,0.212105785271821,71
"Azerbaijan",-10.8461060403377,5.84616446811125,-0.168626734901083,-22.7436704735882,7.17151919784775,-0.0438949174089555,52,-8.86429210394475,4.94526108568865,-0.134259258100704,-24.4104046178805,7.63519211356568,-0.048523322372916,58
"Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",0.0600912103801966,0.737134663804264,0.0267787148310801,27.7404988165668,-5.71955297614764,0.0489697767151114,103,1.02989149828152,0.439063244649966,0.0189850547617572,-13.6676956908762,5.00359112148719,-0.0336177000062998,35
"Bangladesh",-15.7636358558878,7.00600279099005,-0.103499993692516,-28.7310266319994,10.0689802638824,-0.0947899331074389,56,-6.54508728870713,3.45589320906763,-0.0106499636501471,-50.7782260314817,16.2104357476898,-0.156775198109946,83
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",-1.64091664534576,1.27383158109127,0.0414401740370051,-17.612021841813,7.50431814565872,-0.104659031853009,14,-20.1732784653496,8.46827829164156,-0.127795201024313,-46.900248433901,15.7101776837119,-0.188759888622028,74
"Belgium",-50.6613155336608,18.3591266421725,-0.28732486373004,83.8112477218112,-19.7272718322741,0.129090654712853,98,-46.1398444611035,16.8677698016808,-0.261480121409033,66.4062204159797,-15.2173224522703,0.0943837435080949,104
"Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin",-0.344727463145495,-0.00953328359947681,0.0424536282938156,4105.55543958083,-1108.79796559513,10.0747490169484,102,-1.60278023470349,0.538282906172562,0.0275302834150968,-2287503.85627062,610778.670978428,-5309.52198805771,108
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",0.215622245145791,0.324776168285411,0.059363084005892,-4.45768926504103,2.458755901046,-0.00125436194638703,77,-0.163848327308632,0.561218440638243,0.0458347726059166,-16.3692236205646,5.77283921022425,-0.0344922980629065,39
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",-0.901387851611814,1.95429807367676,-0.0624005611631807,-23.9988767477473,5.97791296089233,0.00699075879015062,78,-0.890079418370498,1.94851990847545,-0.0621485020770651,-9.34788391611946,1.99138326953275,0.0440531246123873,83
"Brazil",-13.2993993150989,6.3429108101477,-0.077081283459214,-20.7808755787156,7.87205259965432,-0.0538915647267302,55,-13.4178635762131,6.40182885920693,-0.0796391823762372,-19.8646115784329,7.62113861179843,-0.0515295711037628,59
