,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Guatemala,-5.857096778,2.401487463,0.01097315,-5.396469464,2.187518263,0.015187092
Guernsey,NA,NA,NA,NA,NA,NA
Guinea,-6.952364872,3.5600485,-0.054258839,-9.743986628,4.415651002,-0.065988739
Guinea_Bissau,-8.665517946,4.135867458,-0.081989315,3.134528013,-0.098043581,0.002976004
Guyana,NA,NA,NA,NA,NA,NA
Haiti,-44.44442795,14.49373679,-0.176926111,-32.86798695,10.80510239,-0.121270258
Holy_See,NA,NA,NA,NA,NA,NA
Honduras,-0.619956631,0.8564702,0.028899235,-0.153959774,0.599217442,0.035384412
Hungary,-5.420870416,3.596040399,-0.087643408,6.167303107,-0.662692233,-6.60E-05
Iceland,-2.785627173,3.000019394,-0.118422062,-5.819341574,4.119408425,-0.141998265
India,-18.45481475,6.081538612,-0.014687248,-20.73843726,6.62315554,-0.018123465
Indonesia,2.072463997,0.815373119,0.010963081,1.066334315,1.111154162,0.006676959
Iran,3.866019107,1.01954587,-0.008265582,3.112626525,1.228086234,-0.01036106
Iraq,0.302987738,0.338543659,0.045474918,1.018047638,0.02016637,0.051406742
Ireland,-12.35895462,6.845806733,-0.161759205,-15.91872318,7.924196864,-0.173644348
Isle_of_Man,-2.097355821,2.693060967,-0.172292005,0.483934534,1.322148487,-0.103589624
Israel,3.795629956,0.289966113,0.006887109,2.731857982,0.682296081,-0.001687728
Italy,-20.17035304,9.055186622,-0.141763952,-23.70809303,10.02304086,-0.149527452
Jamaica,-2.466699269,1.703634699,-0.038910873,5.284551229,-1.080199414,0.014415803
Jersey,0.893473707,0.867508592,-0.070850593,5.33255057,-0.884223946,-0.025465839
Jordan,2.182370477,0.058424495,-0.002140082,1.71474172,0.194371541,-0.003111405
Kazakhstan,3.951604961,-0.507015186,0.053547318,4.108643764,-0.669310136,0.058548255
Kenya,-0.654800208,0.611770162,0.029557464,7.678009092,-1.809028198,0.056105371
Kosovo,2.797515447,-0.513126119,0.038014401,5.918017166,-1.42586491,0.046807196
Kuwait,-19.63896373,7.195748208,-0.068508631,-23.43008258,8.21101788,-0.077416469
Kyrgyzstan,3.418703324,-0.83597736,0.058172699,6.930507392,-1.816144786,0.066561299
Laos,NA,NA,NA,NA,NA,NA
Latvia,-0.428388458,1.506630387,-0.056470461,-2.268243458,2.181843077,-0.070440732
Lebanon,0.952838847,0.431653476,-0.000321779,0.118760513,0.710220156,-0.005302795
Lesotho,NA,NA,NA,NA,NA,NA
Liberia,-1.053282092,0.481727732,0.016431867,2.578228159,-0.757308045,0.036703896
Libya,0.630960157,-0.560920268,0.056649912,3.179833431,-1.368176282,0.066672147
Liechtenstein,NA,NA,NA,NA,NA,NA
Lithuania,-1.1469807,1.988458997,-0.067504671,-2.774407988,2.53840828,-0.076120897
Luxembourg,2.82275522,0.795981625,-0.041013797,1.464423962,1.346954061,-0.055352773
Madagascar,1.869984739,-0.61243667,0.055375646,4.031266223,-1.25084945,0.061047844
Malawi,-0.768188623,0.083264679,0.050440941,5.696038849,-1.936373166,0.078391575
Malaysia,-22.11885373,8.076753992,-0.105337438,-24.90665595,8.799449034,-0.109977642
Maldives,-17.37960609,6.392789248,-0.087419179,-11.50695848,4.493893229,-0.058238296
Mali,-1.494644717,1.539687163,-0.024043636,1.50237081,0.412743592,0.000305717
Malta,-0.798501751,1.39408793,-0.051102851,0.524080446,0.850332937,-0.036408809
Mauritania,-82.70769524,24.02811528,-0.230474642,-66.33970737,19.04048169,-0.165182102
Mauritius,1.13144908,1.290932107,-0.136931212,4.219800562,-0.313487613,-0.058840803
Mexico,-5.112863596,3.261985173,-0.015059541,-6.719196777,3.677695227,-0.018666125
Moldova,-0.318288819,1.406489601,-0.006597056,9.000652888,-1.548944494,0.035465568
Monaco,NA,NA,NA,NA,NA,NA
Mongolia,NA,NA,NA,NA,NA,NA
Montenegro,3.489806872,-1.218621379,0.050387917,3.112094519,-0.950260493,0.038854375
Montserrat,NA,NA,NA,NA,NA,NA
Morocco,1.575588283,0.826400587,-0.00199253,0.79205551,1.05529987,-0.005020796
Mozambique,-2.771096299,1.021808563,0.012316131,5.768075061,-1.711670802,0.05255259
Myanmar,-0.268613586,0.684671882,-0.022628148,2.587612352,-0.425834214,0.002776237
Namibia,1.39090555,-2.716116643,0.133019468,1.949067625,-2.97965566,0.136997761
Netherlands,-3.304745234,3.72295282,-0.089954033,-5.350808355,4.341779907,-0.096639596
New_Caledonia,NA,NA,NA,NA,NA,NA
Nicaragua,-48.43350205,15.0590225,-0.169063672,-33.99109507,10.66078234,-0.111087223
Niger,0.081114201,1.398101014,-0.06069243,3.373160858,0.043285897,-0.02405269
Nigeria,-9.141698479,3.897561541,-0.025817903,-9.938026179,4.042433778,-0.024804464
North_Macedonia,1.624528135,0.23878341,0.018903828,1.26604876,0.309321146,0.018773141
Northern_Mariana_Islands,NA,NA,NA,NA,NA,NA
Norway,-0.822594286,2.488589569,-0.081734554,-2.616892127,3.079529366,-0.090011211
Oman,-9.744607185,3.700692677,-0.007372195,-10.63032727,3.871193349,-0.00724191
Pakistan,-11.77300517,5.184876022,-0.038992335,-12.08711139,5.163769645,-0.035215663
Palestine,3.689077009,-1.743816354,0.086070274,8.447196749,-2.055902176,0.05354796
Panama,3.191396874,0.231405377,0.021769786,5.40682862,-0.519328796,0.033273375
Papua_New_Guinea,NA,NA,NA,NA,NA,NA
Paraguay,0.370307332,0.300230483,0.019469096,-0.168008318,0.430819944,0.018331932
Peru,-12.40953559,5.993837048,-0.068050483,-13.6154423,6.27113914,-0.068639509
Philippines,-0.900011946,1.085393788,0.016274516,-3.211532539,1.763441263,0.007798288
Poland,-0.229096753,1.929078332,-0.028107623,7.140355916,-0.608133928,0.015269762
Portugal,1.727742644,1.548200581,-0.031035012,2.873766127,1.130931856,-0.023007995
Qatar,-15.73455131,6.696219362,-0.078883386,-17.83215217,7.213585549,-0.081258945
Romania,-0.281032218,1.767100525,-0.021414336,-1.864464859,2.25751214,-0.0284683
Russia,-47.64840471,15.11093432,-0.128564316,-53.12715713,16.48265265,-0.137589964
Rwanda,1.711109847,-0.386579048,0.030432142,9.122676031,-1.556189582,-0.001377713
Saint_Kitts_and_Nevis,NA,NA,NA,NA,NA,NA
Saint_Lucia,NA,NA,NA,NA,NA,NA
Saint_Vincent_and_the_Grenadines,NA,NA,NA,NA,NA,NA
San_Marino,-1.370460698,1.605818217,-0.053964251,-2.833547449,2.08541573,-0.060459544
Sao_Tome_and_Principe,-9.667432947,4.562974929,-0.110888415,-12.421552,5.410701515,-0.120870975
Saudi_Arabia,-5.772746983,3.552822353,-0.024903707,-6.781170992,3.775800237,-0.025341411
Senegal,-4.395961191,2.36753451,-0.018314235,8.438178022,-1.655421521,0.03741322
Serbia,1.917807229,1.068753262,-0.018595699,2.66100152,0.816220677,-0.015000109
Seychelles,NA,NA,NA,NA,NA,NA
Sierra_Leone,-7.392903686,3.459516541,-0.059245716,-0.507615676,0.993685364,-0.009868366
Singapore,-54.52526183,16.60114338,-0.154127599,-60.13381538,17.99800356,-0.162733806
Sint_Maarten,NA,NA,NA,NA,NA,NA
Slovakia,0.738806725,1.053025264,-0.035933684,-1.012690193,1.71789042,-0.051200923
Slovenia,2.559197278,0.445713293,-0.029360097,2.587405296,0.471193771,-0.031847364
Somalia,-16.07536492,6.417314658,-0.104118772,-3.668924755,2.284657402,-0.034454018
South_Africa,2.011022593,0.318233199,0.04646397,1.915919716,0.29617547,0.046982154
South_Korea,-2.567793597,2.619658902,-0.051369632,-4.170203812,3.102520779,-0.05707252
South_Sudan,-28.37239344,10.69477364,-0.191919272,2.314127492,0.087337416,0.009534289
Spain,-22.53325194,9.814153752,-0.152873349,-27.39295061,11.19353939,-0.166545936
Sudan,-33.4386885,11.43056558,-0.142600247,-0.577553861,1.235435069,-0.001096793
Suriname,-0.472580574,-0.608620841,0.06160077,4.927260959,-2.008070819,0.070573911
Sweden,-9.777959733,4.191390496,-0.029829074,-10.20992131,4.240155524,-0.028258412
Switzerland,-2.43766406,3.600502378,-0.108147043,-5.250799068,4.551710231,-0.123955044
Syria,0.324215421,-0.361251832,0.034458244,4.723151138,-1.68310291,0.051065054
Taiwan,-15.66143776,5.836311011,-0.103602622,-20.3763292,7.245203163,-0.120301122
Tajikistan,2.084512484,1.392862536,-0.064385067,0.25914643,2.097849164,-0.081150642
Thailand,-42.15203047,14.12566932,-0.19539947,-48.39075897,15.82565758,-0.209784017
Timor_Leste,NA,NA,NA,NA,NA,NA
Togo,-2.715345765,1.360531265,-0.014785808,-3.921695424,1.708629223,-0.018604501
Trinidad_and_Tobago,NA,NA,NA,NA,NA,NA
Turkey,3.199111267,1.813266763,-0.047088509,1.840173729,2.248344282,-0.053204378
Turks_and_Caicos_islands,NA,NA,NA,NA,NA,NA
Uganda,-2.053217481,1.16111208,-0.004634587,-1.973461564,1.084119024,-0.001818326
Ukraine,0.746845431,1.430571173,-0.00762159,0.239365789,1.546364558,-0.008069905
United_Arab_Emirates,-32.46475422,10.50958324,-0.094165907,-37.29618303,11.7628602,-0.103785496
United_Kingdom,-34.78950246,12.50109298,-0.143546689,-38.83030715,13.53387626,-0.150185977
United_Republic_of_Tanzania,-21.25757218,9.497381971,-0.274909035,6.487979169,-1.165362192,-0.009919176
United_States_of_America,-9.109634199,4.914845635,-0.033811975,-12.74938615,5.896195422,-0.042757185
United_States_Virgin_Islands,NA,NA,NA,NA,NA,NA
Uruguay,2.879139174,0.017122878,-0.016349315,2.556651221,0.162184491,-0.019893541
Uzbekistan,3.078994139,-0.144076544,0.029061224,2.659591957,-0.004530141,0.025625322
Venezuela,1.937905501,-0.356656778,0.04837323,6.230743162,-1.667500703,0.064372288
Vietnam,-6.16131777,2.491556889,-0.0437733,-8.681934478,3.261878525,-0.053522507
Western_Sahara,0.257451231,-1.073735887,0.107773473,1.521372819,-2.133859877,0.155388978
Yemen,-16.20272348,6.033955495,-0.087459948,-19.96799442,7.140575719,-0.100767641
Zambia,-6.943412316,2.963908166,-0.034893722,0.924613771,0.366360857,0.005997899
Zimbabwe,-1.20163344,0.025698273,0.042358055,4.11963286,-1.576978702,0.060636648
