,(Intercept),log(Days_after_first_Case),Days_after_first_Case,(Intercept)_smoothing,log(Days_after_first_Case)_smoothing,Days_after_first_Case_smoothing
Afghanistan,-29.26889132,10.16237133,-0.112431901,-30.78922004,10.50994246,-0.1129553
Albania,2.579476373,-0.318440132,0.026382306,5.209636582,-1.220595143,0.04084005
Algeria,0.005185277,1.195369422,-0.001591422,-0.98057453,1.50552735,-0.006478432
Andorra,1.309564696,1.073270402,-0.073547364,5.963083744,-0.963199529,-0.012224047
Angola,0.472168374,-0.715931377,0.051373456,0.155884087,-0.627520406,0.049678371
Anguilla,NA,NA,NA,NA,NA,NA
Antigua_and_Barbuda,NA,NA,NA,NA,NA,NA
Argentina,2.363995541,0.166916979,0.040112481,1.541016993,0.424990181,0.035548294
Armenia,-2.175559877,1.767844445,0.002008513,-2.488061011,1.806315663,0.003181813
Aruba,NA,NA,NA,NA,NA,NA
Australia,-8.655026831,4.014065525,-0.054159474,-11.89011739,5.002481334,-0.067210463
Austria,0.136535312,2.268874755,-0.068857225,-1.158533801,2.715858944,-0.076764896
Azerbaijan,0.475672947,0.634080572,0.023828685,0.332906566,0.632604584,0.02484578
Bahamas,NA,NA,NA,NA,NA,NA
Bahrain,-4.984725226,2.51116769,-0.006557098,-5.808848646,2.711660258,-0.007853191
Bangladesh,-11.80972267,5.202382499,-0.040397148,1.241644343,1.16363801,0.014470072
Barbados,NA,NA,NA,NA,NA,NA
Belarus,-16.91668721,7.291372634,-0.101799659,-18.53210652,7.710196283,-0.104295628
Belgium,-25.98360396,10.32542759,-0.154536935,-28.50066109,11.00525026,-0.159693883
Belize,NA,NA,NA,NA,NA,NA
Benin,-5.064017368,1.857675421,-0.002020459,-4.265251582,1.554246662,0.00384109
Bermuda,NA,NA,NA,NA,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA
Bolivia,-8.06504205,3.353644443,-0.006513246,-8.831345732,3.522912788,-0.007118382
