"","(Intercept)","log(Days_after_first_Case)","Days_after_first_Case","(Intercept)_smoothing","log(Days_after_first_Case)_smoothing","Days_after_first_Case_smoothing"
"Afghanistan",-29.2688913157701,10.1623713261848,-0.112431901130706,-32.848072378959,10.9691541449421,-0.113303698816041
"Albania",2.57947637329055,-0.318440131843949,0.0263823059997507,6.07607710160963,-1.31942191011584,0.0359002930975177
"Algeria",0.00518527680973302,1.19536942157903,-0.00159142207438194,-2.82180483160225,2.08365991039431,-0.0153708772326267
"Andorra",1.30956469552793,1.07327040178347,-0.07354736391189,6.35954134369663,-0.688422971199109,-0.0375759641956941
"Angola",0.472168374069296,-0.715931376974609,0.0513734564813947,-0.066360848495044,-0.614507949802152,0.0504980051837553
"Anguilla",NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA
"Argentina",2.36399554120325,0.166916979159358,0.0401124805846821,1.61808290090036,0.325386144924479,0.0383404277162156
"Armenia",-2.17555987747732,1.7678444451597,0.00200851285548537,-2.85123193851404,1.83727099803402,0.00497188703392641
"Aruba",NA,NA,NA,NA,NA,NA
"Australia",-8.65502683057598,4.01406552513935,-0.054159474181251,-17.9762792669882,6.83735051020393,-0.0905855953551646
"Austria",0.13653531203438,2.26887475520848,-0.0688572253761872,-3.34673018589203,3.45692589527339,-0.0893895089988309
"Azerbaijan",0.47567294665086,0.634080571505619,0.023828685063493,0.15539837623773,0.624214759455057,0.0262212386067305
"Bahamas",NA,NA,NA,NA,NA,NA
"Bahrain",-4.98472522587506,2.5111676897467,-0.00655709760477487,-6.48553594985273,2.83827615055089,-0.00745323082418053
"Bangladesh",-11.809722674746,5.20238249851679,-0.0403971484238043,4.52757952389565,0.0537995370714895,0.0321875951092379
"Barbados",NA,NA,NA,NA,NA,NA
"Belarus",-16.9166872125983,7.29137263354399,-0.101799658520434,-20.6627646054048,8.24203346930432,-0.106639034684731
"Belgium",-25.98360396285,10.3254275925057,-0.154536935203471,-32.5258349526788,12.0917840030315,-0.168158728964363
"Belize",NA,NA,NA,NA,NA,NA
"Benin",-5.06401736824877,1.85767542125505,-0.00202045882253098,-2.91219689667176,0.989772646247112,0.0167613838473019
"Bermuda",NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA
"Bolivia",-8.065042049636,3.35364444254865,-0.00651324589252053,-9.93105931401582,3.77064643057929,-0.00833753403757502
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",3.38364092070135,-0.271678956754781,0.0231817898391849,2.26938142210716,0.161832753695363,0.0118803749842341
"Brazil",-13.4192363427677,5.8298987448779,-0.0338567991580608,-15.9527324889727,6.40287760780197,-0.0362067798998233
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA
"Bulgaria",2.88350669105531,-0.16733576192212,0.0241253732147341,1.75710214787973,0.227721137878777,0.0153613082154552
"Burundi",NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA
"Cameroon",-2.39028168120299,1.91815670526972,-0.010525310107956,-5.13337556459831,2.7128512035793,-0.0204326004500898
"Canada",-40.2730682247792,13.4306697095695,-0.141802286083966,-47.8803388454489,15.362066513309,-0.154400172894286
"Cape_Verde",-2.11635390516843,0.921317990954705,0.0132898090054237,6.24493746392471,-1.45606498018349,0.0372238592678732
"Cases_on_an_international_conveyance_Japan",0.323993762036738,2.85767589484937,-0.300075208983013,-3.41304410277766,4.01832507119433,-0.252139781455865
"Cayman_Islands",NA,NA,NA,NA,NA,NA
"Central_African_Republic",-37.170740721703,11.6409037200039,-0.119989548719467,-38.3957374508619,11.690644388614,-0.109738918943137
"Chad",-32.1486114580659,11.7580764074734,-0.216101343903658,3.72404164167687,-0.502554741214802,0.00752038834491108
"Chile",-16.1053887182354,6.5978614134225,-0.0578084579485423,-15.4934067232719,6.19052476559542,-0.0455609016642598
"Colombia",1.24518845448793,0.821658637190188,0.026886745307104,1.48827686720981,0.653830158221606,0.0305145262619749
"Congo",0.143126271709692,0.173340832395603,0.0254377284864704,-0.0610533731295523,0.239076815059164,0.022400019375693
"Costa_Rica",3.89288833764803,-1.26518537571501,0.0637977006778333,4.87959995813318,-1.37948506159728,0.0562755436077153
"Cote_dIvoire",1.24876342231898,0.353840158642452,0.0243597760473977,6.26604658333558,-1.24694174334745,0.046619067877752
"Croatia",1.59734870701231,0.599839592016375,-0.010863512155166,-0.445160940095474,1.34179199804578,-0.0265251043536632
"Cuba",-1.98632373497141,2.25759721034043,-0.0661118083201098,3.18608030613126,0.282326288508138,-0.0206607866336813
"Curacao",NA,NA,NA,NA,NA,NA
"Cyprus",0.0147455253578123,1.51866613351646,-0.0725214512814763,-2.7807273141343,2.52401801326673,-0.0905099304012774
"Czechia",2.39335723618136,0.910297063151511,-0.0214037323290049,0.854495250366408,1.40531638178871,-0.0288231048305601
"Democratic_Republic_of_the_Congo",-6.99857536191359,3.07858558902275,-0.023723853689353,4.43641603316446,-0.664531749550789,0.0337917645710183
"Denmark",-2.5734174006383,2.88361569346635,-0.0685755253977313,-5.32737425586727,3.7015333880531,-0.0768176772718655
"Djibouti",-7.2381768300924,3.74648785966556,-0.063619333301645,-3.09835123729821,2.26182895331652,-0.0344128517071351
"Dominica",NA,NA,NA,NA,NA,NA
"Dominican_Republic",2.02281634137013,0.778074356994153,0.00758230756678114,0.476991343386825,1.23572593480906,0.000864184766022656
"Ecuador",-1.65745003117505,2.51988389808374,-0.0339477585856901,-4.763494551396,3.4453313802052,-0.0456554656604073
"Egypt",-18.1002012486774,6.27616187862938,-0.0398127266940372,-17.3473019898015,5.87741273107717,-0.0305317466081682
"El_Salvador",-1.354453167184,1.04042877821348,0.0179405766649827,7.64424829073976,-1.55405412717832,0.0451142549705992
"Eritrea",NA,NA,NA,NA,NA,NA
"Estonia",-0.985589040543378,2.02633295110852,-0.0740293951985709,-3.78202104105716,2.9647740996978,-0.0880066605048106
"Eswatini",-1.41353111985593,0.289429443494869,0.032150141216264,0.410857637097917,-0.250046065951191,0.0361293167047696
"Ethiopia",-18.6306595501062,5.98598997265733,-0.0398900077964233,3.68772692357631,-0.873555696102336,0.0505897022405045
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA
"Faroe_Islands",NA,NA,NA,NA,NA,NA
"Fiji",NA,NA,NA,NA,NA,NA
"Finland",-29.7477712549127,10.4967138162079,-0.143014643789649,-35.4987888232928,11.9902509129022,-0.152505892126142
"France",-22.4258737983967,9.00478471539732,-0.114647173167676,-29.7687272092361,11.007829234387,-0.132332078363631
"French_Polynesia",NA,NA,NA,NA,NA,NA
"Gabon",-21.7282714742676,7.61566300460275,-0.0886506142611115,-24.4038293043207,8.19594096101241,-0.0877769777113062
"Gambia",NA,NA,NA,NA,NA,NA
"Georgia",-3.91248774496541,2.19166174624778,-0.0434566098030525,-6.77276025575264,3.06157037677031,-0.0542248271514892
"Germany",-24.4000658148278,9.91525764237007,-0.137041667719611,-31.3841910539667,11.8101996686096,-0.152811623930081
