"국가별",2020
"세계",56.2
"아시아",
"한국",81.4
"아프가니스탄",26.0
"아르메니아",63.3
"아제르바이잔",56.4
"바레인",89.5
"방글라데시",38.2
"부탄",42.3
"브루나이",78.3
"캄보디아",24.2
"중국",61.4
"키프로스",66.8
"동티모르",31.3
"조지아",59.5
"홍콩",100.0
"인도",34.9
"인도네시아",56.6
"이란",75.9
"이라크",70.9
"이스라엘",92.6
"일본",91.8
"요르단",91.4
"카자흐스탄",57.7
"북한",62.4
"쿠웨이트",100.0
"키르기즈스탄",36.9
"라오스",36.3
"레바논",88.9
"마카오",100.0
"말레이시아",77.2
"몰디브",40.7
"몽골",68.7
"미얀마",31.1
"네팔",20.6
"오만",86.3
"파키스탄",37.2
"필리핀",47.4
"카타르",99.2
"사우디아라비아",84.3
"싱가포르",100.0
"스리랑카",18.7
"시리아",55.5
"타지키스탄",27.5
"태국",51.4
"터키",76.1
"투르크메니스탄",52.5
"아랍에미리트",87.0
"우즈베키스탄",50.4
"베트남",37.3
"예멘",37.9
"북아메리카",
"버뮤다",100.0
"캐나다",81.6
"멕시코",80.7
"미국",82.7
"남아메리카",
"안길라",100.0
"앤티가바부다",24.4
"아르헨티나",92.1
"바하마",83.2
"바베이도스",31.2
"벨리즈",46.0
"볼리비아",70.1
"브라질",87.1
"영국령버진아일랜드",48.5
"케이맨제도",100.0
"칠레",87.7
"콜롬비아",81.4
"코스타리카",80.8
"쿠바",77.2
"도미니카연방",71.1
"도미니카공화국",82.5
"에콰도르",64.2
"엘살바도르",73.4
"포클랜드",78.5
"프랑스령기아나",85.8
"그레나다",36.5
"과들루프",98.5
"과테말라",51.8
"가이아나",26.8
"아이티",57.1
"온두라스",58.4
"자메이카",56.3
"마르티니크",89.1
"몬서랫",9.1
"니카라과",59.0
"파나마",68.4
"파라과이",62.2
"페루",78.3
"푸에르토리코",93.6
"세인트키츠네비스",30.8
"세인트루시아",18.8
"세인트빈센트그레나딘",53.0
"수리남",66.1
"트리니다드토바고",53.2
"터크스케이커스제도",93.6
"미국령버진아일랜드",95.9
"우루과이",95.5
"베네수엘라",88.3
"유럽",
"알바니아",62.1
"안도라",87.9
"오스트리아",58.7
"벨라루스",79.5
"벨기에",98.1
"보스니아-헤르체고비나",49.0
"불가리아",75.7
"샤넬군도",31.0
"크로아티아",57.6
"체코",74.1
"덴마크",88.1
"에스토니아",69.2
"페로제도",42.4
"핀란드",85.5
"프랑스",81.0
"독일",77.5
"지브롤터",100.0
"그리스",79.7
"교황청",100.0
"헝가리",71.9
"아이슬란드",93.9
"아일랜드",63.7
"맨섬",52.9
"이탈리아",71.0
"라트비아",68.3
"리히텐슈타인",14.4
"리투아니아",68.0
"룩셈부르크",91.5
"몰타",94.7
"몰도바",42.8
"모나코",100.0
"네덜란드",92.2
"노르웨이",83.0
"폴란드",60.0
"포르투갈",66.3
"루마니아",54.2
"러시아",74.8
"산마리노",97.5
"슬로바키아",53.8
"슬로베니아",55.1
"스페인",80.8
"스웨덴",88.0
"스위스",73.9
"우크라이나",69.6
"영국",83.9
"아프리카",
"알제리",73.7
"앙골라",66.8
"베냉",48.4
"보츠와나",70.9
"부르키나파소",30.6
"부룬디",13.7
"카메룬",57.6
"카보베르데",66.7
"중앙아프리카공화국",42.2
"차드",23.5
"코모로",29.4
"콩고",67.8
"코트디부아르",51.7
"지부티",78.1
"이집트",42.8
"적도기니",73.1
"에리트레아",41.3
"에티오피아",21.7
"가봉",90.1
"감비아",62.6
"가나",57.3
"기니",36.9
"기니비사우",44.2
"케냐",28.0
"레소토",29.0
"라이베리아",52.1
"리비아",80.7
"마다가스카르",38.5
"말라위",17.4
"말리",43.9
"모리타니",55.3
"모리셔스",40.8
"모로코",63.5
"모잠비크",37.1
"나미비아",52.0
"니제르",16.6
"나이지리아",52.0
"레위니옹",99.7
"르완다",17.4
"상투메프린시페",74.4
"세네갈",48.1
"세이셸",57.5
"시에라리온",42.9
"소말리아",46.1
"남아프리카공화국",67.4
"수단",35.3
"에스와티니",24.2
"탄자니아",35.2
"토고",42.8
"튀니지",69.6
"우간다",25.0
"잠비아",44.6
"짐바브웨",32.2
"오세아니아",
"오스트레일리아",86.2
"피지",57.2
"괌",94.9
"뉴질랜드",86.7
"파푸아뉴기니",13.3
