"","country","startpoint","breakpoint","a2_Logi","b2_Logi","c2_Logi","a2_Gom","b2_Gom","c2_Gom"
"1","Algeria",81,167,33969.2182689628,10.46383350062,0.0784149698777837,42685.6319331255,145.671717874738,0.0380021661236867
"2","Australia",69,164,19088.6848128556,15.3134247736781,0.102233550996854,23479.2015706253,1579.7219269304,0.0499401032039975
"3","Austria",70,167,15617.5185116706,8.75707698236376,0.0514771540337087,43923.7145781712,23.5480706459442,0.0153415452969828
"4","Belgium",67,184,24636.5686678638,16.526157863297,0.104035129821802,34665.8923828886,1331.62123509733,0.0450438098691244
"5","Benin",117,148,1212.2784389685,9.90091817833102,0.160808091070797,1555.00426938145,92.925936370919,0.0746007026993811
"6","Bulgaria",80,154,14100.5175561363,9.087723482347,0.0698346591096589,17882.8586283242,70.230243942426,0.0332715147620747
"7","Cameroon",88,186,6124.22947437248,12.1693494692761,0.103423433067285,6388.54871564663,2648.35004463292,0.0700343240608117
"8","Canada",71,190,22010.5818373476,13.8523091269972,0.0933517713237735,26191.2804786043,1309.8962464483,0.0494470279729928
"9","Cape_Verde",113,149,3619.43443085094,5.33740880668063,0.0542091878726891,4978.35284627762,11.1960644170473,0.0244180444442031
"10","Croatia",81,160,11157.5121239418,8.064412395629,0.0502016959653896,25053.3736826245,21.2428435071404,0.0164506221395983
"11","Cuba",89,148,402.654396605846,14.1714913962423,0.193221834564798,426.781097327918,4977.93072662763,0.120653343719718
"12","Czechia",74,158,19324.7536603604,7.7193361909529,0.0495651461376568,42105.758279258,19.5949412783978,0.0165782557798152
"13","Djibouti",100,130,3954.75631004549,7.82164312685291,0.13707968472593,4029.18059547921,95.0732504472244,0.0866533406305133
"14","Ecuador",80,156,81926.1882591853,7.04193978829153,0.0529068413507512,113845.609401754,24.2447441559617,0.0237885704047011
"15","Finland",74,199,964.749309530778,16.403431553153,0.101034021420745,2123.66342088147,335.663478343883,0.033344699886418
"16","Gabon",107,198,2436.88827223475,16.8888390648965,0.154156677913461,2588.15679289554,25235.9876625064,0.0955608571635612
"17","Germany",63,165,132611.778112501,7.60868110900356,0.0395181257211784,975120.260666201,13.7676096458478,0.00852414930811663
"18","Ghana",89,149,40815.6158978044,7.2697153224729,0.0630609523811944,50144.906846809,32.01250165435,0.0310937440657276
"19","Guinea",98,187,4380.6143109138,9.4572046740734,0.0757103295840549,5745.59563801026,89.237372615597,0.0362956040828916
"20","Guinea_Bissau",116,168,707.152284949659,6.8274993035692,0.0853662792756996,754.961242575872,51.340170427761,0.0531893654200227
"21","Hungary",81,180,2793.50953356194,9.97564198991677,0.0589397104997882,23224.3487643442,22.1208237392565,0.0122337775440804
"22","Iceland",73,144,487.698783899737,11.9864690444355,0.0718449516821774,9405.80667533512,24.7017063177873,0.0114462081249418
"23","Iran",59,125,288611.723264154,5.58108918469663,0.0418059187986512,355046.209829721,15.152078188823,0.0212405847691596
"24","Ireland",76,182,6740.01339901204,12.6832467376445,0.0735677644656241,174538.245723215,29.1083835203288,0.0116473076381115
"25","Israel",74,144,82698.9188884146,12.1079739173859,0.0881633050247711,123085.224718978,165.556381883449,0.0365118604868053
"26","Italy",57,195,74965.5440045605,13.0277986416481,0.0638477074126974,1682369.28731096,32.3217731591214,0.010549778093524
"27","Kuwait",67,222,14218.7631407085,35.707797552995,0.212826575358198,17109.9847538084,116405884.860337,0.111563980191613
"28","Lithuania",84,185,1549.04572883825,11.9144451070697,0.0760749354424716,5754.03414415825,46.869105395233,0.0201067369347347
"29","Luxembourg",79,161,3788.85710427876,13.7655358034626,0.103957690198584,4290.68547627692,1393.60668313611,0.0563948653054637
"30","Malawi",135,167,5048.01569224534,6.10876888939394,0.0841242967155327,5762.31192726347,22.3271990097501,0.0457850721192758
"31","Malaysia",69,141,2139.80849947031,8.41485849303322,0.0904737515584282,2192.60481915442,230.421454537972,0.062407378720962
"32","Maldives",115,184,6135.40065943068,10.3998719616419,0.089631396287426,11817.3583038378,52.208347908895,0.0314037906555943
"33","Moldova",84,196,19901.0287718387,12.552259153188,0.0858587416079858,30001.4865295047,228.329355963708,0.036456516380622
"34","Niger",97,125,450.43420785995,2.94016663766761,0.0478674595216777,465.665253065995,5.49939524982802,0.0337063987690223
"35","North_Macedonia",84,132,12532.6225888804,6.39326105139311,0.0556981959905909,15158.5176011264,22.4076713764314,0.0283016182176113
"36","Peru",79,190,420849.552823625,11.9929428730923,0.0787777646797876,754278.625653601,112.930802418164,0.0293938661882553
"37","Portugal",75,145,26306.3350852704,6.71728087271156,0.0584102591222641,29374.752063369,36.4885857807179,0.0334450138339304
"38","Puerto_Rico",92,179,29699.1204258728,10.8577571891133,0.0807521932450191,47390.5495309917,87.1249067009225,0.0320592752396008
"39","Romania",76,157,85453.1320889257,9.05241172865445,0.0594259512320046,202518.193551901,26.9797285075407,0.0186522042621148
"40","Serbia",80,157,20369.0314689765,10.3706679787538,0.080554481110805,24108.4115723832,174.630571436487,0.0413928920351698
"41","Slovakia",80,160,5154.11534246096,8.74442521983731,0.0501012814444423,54779.0794400391,16.5904417390727,0.00974285259476915
"42","Sri_Lanka",84,138,1018.89035388413,17.4238636567772,0.248002108078476,1064.70550404357,35879.5652162493,0.154429789654195
"43","Turkey",80,210,44847.429011634,19.4433759016188,0.127941837397887,60221.8459651687,8650.06617606419,0.0597519849345808
"44","United_States_of_America",61,157,4340551.82665691,9.7085474053885,0.0651174044025602,5588983.84192953,92.9974444095647,0.0308024471520449
