"","country","startpoint","breakpoint","a1_Logi","b1_Logi","c1_Logi","a1_Gom","b1_Gom","c1_Gom"
"1","Afghanistan",89,NA,37225.1244842359,5.54137625380594,0.0745151896872701,38639.2334478255,22.9008990075451,0.0471813504915235
"2","Algeria",81,167,12055.6969181988,3.56596058445343,0.0619798776360074,17533.1010701675,4.87206089235444,0.026308535382226
"3","Angola",144,NA,3143.29893815052,5.25096632199911,0.0612217464398891,7938.0621263473,8.09296184949832,0.0186263161921804
"4","Argentina",80,NA,637972.300066496,6.95925912968858,0.04364317474066,4121575.97731222,11.6977104917788,0.00953337381431837
"5","Armenia",81,NA,43668.9384053689,5.43704544874783,0.0544358925998832,49122.9464119966,15.6955582970696,0.0299586904775328
"6","Australia",69,164,6872.51414020481,4.92963838195632,0.198966602911617,6948.1460782596,17.2515879838543,0.132055635286284
"7","Austria",70,167,15928.3736917972,3.93873492652244,0.158411363522842,16168.554097142,8.85733134211705,0.10436983748511
"8","Azerbaijan",86,233,38702.1030562779,5.60242692574196,0.0531890529611789,52564.6143239363,12.0250252939661,0.0235819207380736
"9","Bahamas",110,NA,2689.97050920463,11.5277888321694,0.091376349973761,5804.7955801054,70.9997376433841,0.0307156227474904
"10","Bahrain",69,221,47814.6276548001,5.36344917984505,0.0472328627067352,71811.4108126247,10.020943167436,0.019387569156375
"11","Bangladesh",95,221,265120.237409077,5.14444298825716,0.0573093590774041,367963.121932296,9.7090886016833,0.025051629698406
"12","Belarus",84,230,67832.9506346788,4.16714611108558,0.0637142937730645,71458.1960102019,8.98170243159049,0.0389955820140971
"13","Belgium",67,184,59168.8921544408,3.95412802953336,0.0992654124729437,60703.4258875487,8.71314537985854,0.0643891428879471
"14","Benin",117,148,301.905488672877,7.01734112930983,0.405746459087669,311.191349662318,73.5640167932967,0.270562224881574
"15","Bolivia",91,NA,135690.683207617,5.66756865866928,0.0465866386075947,230051.897925544,10.4780237520442,0.0175787909715535
"16","Brazil",76,NA,4425284.72151537,5.41233907498993,0.0409794493365532,7206613.46345083,9.8286210337864,0.0159795736144547
"17","Bulgaria",80,154,2779.90910049037,3.29225898370066,0.0716116602626063,3818.30920321765,4.3660024839273,0.0317871963612261
"18","Cameroon",88,186,19342.1150092896,4.45567620061817,0.0528026957333207,64971.4126618814,6.37320535581197,0.0142063493600517
"19","Canada",71,190,102585.254459384,3.92997262729298,0.0705365283174119,109946.219994602,7.51075701682387,0.041970083451682
"20","Cape_Verde",113,149,355.030552567744,3.24184183236862,0.149512046200886,468.767431060866,4.31605111318236,0.0688328689228669
"21","Central_African_Republic",125,NA,4649.61399312836,4.25135296218857,0.0877652511283822,4802.43066970877,10.2059706605141,0.0561059603197232
"22","Chile",78,NA,385091.070896775,6.13866469529364,0.0638578868712937,414172.16801804,27.638051759688,0.0377332352431079
"23","China",4,NA,84466.0716363572,8.20510888241941,0.19580595914803,84736.9929559269,148.35508224351,0.129955419935285
"24","Colombia",81,NA,1040833.83251929,6.98303249951994,0.043935172399788,8181727.78664313,11.5898136671449,0.00904533588284786
"25","Congo",103,NA,4512.86729216628,5.07536921888408,0.0510956111797257,6620.71772380168,8.47023270942413,0.0206594867057549
"26","Costa_Rica",82,NA,51658.5457228351,8.40416704577274,0.0563636223885244,132745.147916726,21.6685436913703,0.0172659046491865
"27","Cote_dIvoire",89,NA,18495.1447053838,5.39680741583648,0.0549351378403499,21536.0428174058,13.8812485932815,0.0286603080139817
"28","Croatia",81,160,2154.04442626588,2.73856224267121,0.130649052290243,2199.75364093435,4.18230411612466,0.0878175374768639
"29","Cuba",89,148,1857.85853454326,3.23297771672048,0.123123817950281,2011.78063011528,4.96059339380995,0.0724921715429051
"30","Czechia",74,158,8517.24790978957,3.14551329532516,0.110750822284798,8845.19162533807,5.17021362789734,0.0708667672201122
"31","Democratic_Republic_of_the_Congo",91,NA,9776.33310728957,4.66104573608773,0.0568764481867956,10644.8830305905,11.0554003595462,0.0328836128679363
"32","Denmark",72,194,12275.1381369733,2.93050063595382,0.0737125617415274,12710.16166275,4.5777139011037,0.0477905961176248
"33","Djibouti",100,130,1039.26457146906,4.18012611802815,0.319115410882535,1088.70280402008,9.33121388746884,0.197862940161256
"34","Dominican_Republic",84,NA,146654.829700064,4.48427333061212,0.03190672805569,544956.686308223,6.44765847528444,0.0082529264055056
"35","Ecuador",80,156,42372.7921498791,5.16878621966743,0.115092335381715,48476.3606239864,12.3629097766251,0.0606473020662006
"36","Egypt",75,NA,99367.4805253659,6.26207783846683,0.0624213542635196,106848.985119095,29.4642181112565,0.0368467673878391
"37","El_Salvador",99,NA,35215.4725016918,5.35703133258565,0.0436350799596553,90351.9193425018,8.23684910470682,0.0130637442682978
"38","Equatorial_Guinea",112,204,6217.41387021805,3.52533451100592,0.0395784149742541,22847.1035296983,5.12702989318244,0.0105957253693158
"39","Estonia",77,184,1839.96222638925,2.50572139810387,0.100743120158788,1879.19425328337,3.60658137814401,0.0674985974607717
"40","Eswatini",122,NA,6275.90322667527,5.08354189203633,0.0483623929722993,18741.9986918321,7.54914983008854,0.0135998541612039
"41","Finland",74,199,7140.23782584135,3.13028373391124,0.0751914281045076,7371.54801831868,5.12765476410854,0.0486712506004755
"42","France",63,173,148083.104690987,4.33461611843163,0.104980733565928,152650.43542981,10.9165002412631,0.0672546757548024
"43","Gabon",107,198,6387.37021970965,4.04995562168044,0.0696420698986781,8044.38383102491,6.52876367789401,0.0337959312983586
"44","Gambia",188,NA,3074.30792097865,6.20270204001974,0.140196115169381,4558.10988272838,14.3718759054648,0.0581978873644998
"45","Germany",63,165,175872.664218202,4.49400142146387,0.114932338983191,180985.452304684,12.2289440377641,0.0741059500609416
"46","Ghana",89,149,8373.16583489022,5.37778409324935,0.112030269400971,17651.43701381,8.38622119777987,0.0363714377541454
"47","Greece",72,153,2722.55244238965,3.01699079948895,0.110825185243814,2827.61741976322,4.7550680344381,0.0709589605192224
"48","Guatemala",99,NA,79946.9588282001,5.86161470625375,0.0527888697479814,121258.846852488,12.0747852982694,0.0214129196842009
"49","Guinea",98,187,5405.94853033036,3.13544908676532,0.066300939455558,6319.48899421205,4.42624730816333,0.0353559720647668
"50","Guinea_Bissau",116,168,1291.36884016023,3.56774965827351,0.162404277383116,1363.38139775357,6.47629014038889,0.10078585470993
"51","Haiti",115,NA,7599.62545025858,4.63416459022889,0.0828993568884843,7898.76909157021,12.9724561546445,0.052520116613506
"52","Honduras",90,232,57068.7019306717,6.21562698883601,0.0563217387481122,88621.684094064,13.7028558003098,0.0224871794167339
"53","Hungary",81,180,3961.4737415274,3.20115928068808,0.0882990335345142,4135.05928339312,5.24544597659607,0.055817962255822
"54","Iceland",73,144,1749.5100465806,3.76705042484565,0.181761150574978,1776.67883936532,8.02542664196496,0.121324445150179
"55","India",75,NA,6772200.96037911,6.99941535218224,0.0409535786650342,97679644.3158208,11.6189398054632,0.00729242424091685
"56","Indonesia",77,NA,242605.834725065,4.71551946221428,0.0317515574632238,796642.828745173,6.90046738808446,0.0087030514994125
"57","Iran",59,125,95727.283469947,4.29238092665628,0.108230258413564,115953.126093604,7.32618595545085,0.0536025850897463
"58","Iraq",73,NA,280073.688503213,7.07271792966691,0.047159829428398,548974.400444743,16.5085166547111,0.0165583480288731
"59","Ireland",76,182,24975.5268625661,4.31041381471677,0.116014276455158,25537.917348373,11.173272472361,0.0759501312820558
"60","Israel",74,144,16406.5519188989,4.04895012888078,0.138615549036413,17078.9153329858,8.91123669748593,0.0877649151786397
"61","Italy",57,195,234731.18223965,3.84973974025877,0.0866734069713724,239767.696124217,8.39208530090544,0.0572013983043088
"62","Jamaica",99,164,512.047798279355,3.7428222172281,0.163546408237691,529.985922868284,7.29388226990307,0.10326833760375
"63","Japan",52,153,16561.6906178529,7.3357911823976,0.122983964564157,17351.9827401271,71.8125869398504,0.0776264309271351
"64","Kazakhstan",85,245,146925.464163605,6.98383956946209,0.0566882418873809,201230.356849475,22.7949014945559,0.0252780835265935
"65","Kenya",95,NA,45045.327765749,6.59430835367794,0.0516457251182702,107285.773050859,12.0823496597041,0.0159107515376663
"66","Kosovo",88,NA,19224.9710580626,5.90155510830505,0.0425779262033676,86454.8678053445,8.99355637458998,0.0100916704316396
"67","Kuwait",67,222,69592.533682662,5.29596104841926,0.0507288378303232,84255.5703551397,12.8368556446233,0.025774128963405
"68","Kyrgyzstan",91,NA,43233.1232619937,13.9927768755703,0.122228540106933,45584.9081090493,4536.7449808699,0.0764816247417996
"69","Lithuania",84,185,1762.96864943108,2.04918311230736,0.087178362798393,1803.65359941558,2.81703622959473,0.0605568204264179
"70","Luxembourg",79,161,3842.91869002922,2.67305919075021,0.153039931955672,3898.1674980141,4.10293548208664,0.104721994197315
"71","Madagascar",97,NA,15668.0785301919,8.89824645528564,0.0790726898906451,18831.2357767829,78.3619061204671,0.0400087496748033
"72","Malawi",135,167,412.534010605937,6.94102629219449,0.316355056874636,461.678174906793,40.4725530313117,0.179685652450112
"73","Malaysia",69,141,6466.73248818565,3.52342700998739,0.111355237324529,6924.05215549892,5.99215147077547,0.0667111287584706
"74","Maldives",115,184,2238.40789635732,2.76981953593715,0.089171776467734,2471.77453904525,3.79869226590162,0.0516445852837739
"75","Malta",84,197,612.947027426297,1.85822738635431,0.0627178982357661,628.129143945029,2.55593676408055,0.0447289147554698
"76","Mauritania",143,NA,6593.97813913663,3.67919834253624,0.0908043798894783,6903.0953128601,6.93697557831038,0.05664578903548
"77","Mexico",80,NA,681824.164191669,5.05129200846064,0.0401501186312847,1103468.15793556,8.50912181454429,0.0156662542536684
"78","Moldova",84,196,29644.0183217549,3.71648588856291,0.0378251613357916,81170.0965054715,5.20113379557987,0.0113265203062321
"79","Montenegro",90,NA,4803.34351029295,9.36253025986447,0.0760416537224933,5721.38938400516,123.962747530238,0.0403892905336905
"80","Nepal",122,205,18579.2849108587,6.36491798291539,0.111112809569945,22224.0876206133,21.1580053861862,0.055949313259237
"81","Netherlands",69,193,47908.8285914464,3.63679236491451,0.0908676202590542,49233.2553926715,7.02828329222598,0.0585565910908657
"82","New_Zealand",85,160,1090.57236430771,2.66945285601889,0.235375803295092,1098.45985541059,4.14940418357502,0.16392230867533
"83","Nicaragua",145,245,4460.928134477,2.04572333167074,0.0497495015559785,4893.82572842042,2.63689330239485,0.030233335579793
"84","Niger",97,125,636.365746467521,2.72468120097809,0.311208358137464,657.247563243979,4.06897424676758,0.204085978616641
"85","Nigeria",90,NA,56550.142247556,4.63680953723128,0.0451048816555966,73682.7488701663,8.14163733016458,0.0208440522695687
"86","North_Macedonia",84,132,1540.64910140089,3.29610619359991,0.134005455725747,1772.54458807737,4.72459005033781,0.0715142575413518
"87","Norway",69,202,8471.55434009415,2.93015300258855,0.100874970326563,8601.07851823197,4.74204287431426,0.0677800392729178
"88","Oman",86,NA,89347.7419767398,6.40652645366786,0.0615226519916681,101427.707422585,25.1057953041383,0.033137422048827
"89","Pakistan",79,NA,294272.774434791,6.09748978508595,0.0648248472382094,314371.596437411,27.2028564007924,0.0385556411133826
"90","Palestine",85,NA,29625.8853305691,9.08159499863966,0.0680239777107314,41082.3603321761,59.3205576492528,0.0304291770196201
"91","Panama",80,NA,117424.143750915,4.83211799763771,0.0363442828204389,269050.550924552,7.10422228487591,0.0114789759672515
"92","Peru",79,190,319744.562962353,5.27974384841445,0.0668469413733126,437020.33778865,10.3762480404401,0.0295261888846591
"93","Poland",77,192,38439.2209507061,3.14587709830526,0.0460522946722851,48133.3049336744,4.30420714463633,0.0227834454313426
"94","Portugal",75,145,28186.4728118726,3.66918421044254,0.114844232896542,30235.0030137905,6.53359510024955,0.0687140204557388
"95","Puerto_Rico",92,179,12623.2376241006,3.44291198860092,0.0403029311385403,57155.1913620235,5.18417546452355,0.0100385307069959
"96","Qatar",73,NA,114014.074234344,5.32685900770943,0.0618490342494333,120046.149436918,18.2904983767517,0.0378233013815634
