"","a1_Gom","b1_Gom","c1_Gom","a2_Gom","b2_Gom","c2_Gom","startpoint","breakpoint"
"Gambia",4558.10988272838,14.3718759054648,0.0581978873644998,NA,NA,NA,188,NA
"Georgia",NA,NA,NA,NA,NA,NA,NA,NA
"Germany",180985.452304684,12.2289440377641,0.0741059500609416,975120.260666201,13.7676096458478,0.00852414930811663,63,165
"Ghana",17651.43701381,8.38622119777987,0.0363714377541454,50144.906846809,32.01250165435,0.0310937440657276,89,149
"Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA
"Greece",2827.61741976322,4.7550680344381,0.0709589605192224,NA,NA,NA,72,153
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA,NA,NA
"Guam",NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",121258.846852488,12.0747852982694,0.0214129196842009,NA,NA,NA,99,NA
"Guernsey",NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",6319.48899421205,4.42624730816333,0.0353559720647668,5745.59563801026,89.237372615597,0.0362956040828916,98,187
"Guinea_Bissau",1363.38139775357,6.47629014038889,0.10078585470993,754.961242575872,51.340170427761,0.0531893654200227,116,168
"Guyana",NA,NA,NA,NA,NA,NA,NA,NA
"Haiti",7898.76909157021,12.9724561546445,0.052520116613506,NA,NA,NA,115,NA
"Holy_See",NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",88621.684094064,13.7028558003098,0.0224871794167339,NA,NA,NA,90,232
"Hungary",4135.05928339312,5.24544597659607,0.055817962255822,23224.3487643442,22.1208237392565,0.0122337775440804,81,180
"Iceland",1776.67883936532,8.02542664196496,0.121324445150179,9405.80667533512,24.7017063177873,0.0114462081249418,73,144
"India",97679644.3158208,11.6189398054632,0.00729242424091685,NA,NA,NA,75,NA
"Indonesia",796642.828745173,6.90046738808446,0.0087030514994125,NA,NA,NA,77,NA
"Iran",115953.126093604,7.32618595545085,0.0536025850897463,355046.209829721,15.152078188823,0.0212405847691596,59,125
"Iraq",548974.400444743,16.5085166547111,0.0165583480288731,NA,NA,NA,73,NA
"Ireland",25537.917348373,11.173272472361,0.0759501312820558,174538.245723215,29.1083835203288,0.0116473076381115,76,182
"Isle_of_Man",NA,NA,NA,NA,NA,NA,NA,NA
"Israel",17078.9153329858,8.91123669748593,0.0877649151786397,123085.224718978,165.556381883449,0.0365118604868053,74,144
"Italy",239767.696124217,8.39208530090544,0.0572013983043088,1682369.28731096,32.3217731591214,0.010549778093524,57,195
"Jamaica",529.985922868284,7.29388226990307,0.10326833760375,NA,NA,NA,99,164
"Japan",17351.9827401271,71.8125869398504,0.0776264309271351,NA,NA,NA,52,153
"Jersey",NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",201230.356849475,22.7949014945559,0.0252780835265935,NA,NA,NA,85,245
"Kenya",107285.773050859,12.0823496597041,0.0159107515376663,NA,NA,NA,95,NA
"Kosovo",86454.8678053445,8.99355637458998,0.0100916704316396,NA,NA,NA,88,NA
"Kuwait",84255.5703551397,12.8368556446233,0.025774128963405,17109.9847538084,116405884.860337,0.111563980191613,67,222
"Kyrgyzstan",45584.9081090493,4536.7449808699,0.0764816247417996,NA,NA,NA,91,NA
"Laos",NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon",NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho",NA,NA,NA,NA,NA,NA,NA,NA
"Liberia",NA,NA,NA,NA,NA,NA,NA,NA
"Libya",NA,NA,NA,NA,NA,NA,NA,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",1803.65359941558,2.81703622959473,0.0605568204264179,5754.03414415825,46.869105395233,0.0201067369347347,84,185
"Luxembourg",3898.1674980141,4.10293548208664,0.104721994197315,4290.68547627692,1393.60668313611,0.0563948653054637,79,161
"Madagascar",18831.2357767829,78.3619061204671,0.0400087496748033,NA,NA,NA,97,NA
"Malawi",461.678174906793,40.4725530313117,0.179685652450112,5762.31192726347,22.3271990097501,0.0457850721192758,135,167
