"","country","startpoint","breakpoint","a1_Logi","b1_Logi","c1_Logi","a1_Ber","b1_Ber","c1_Ber","a1_Gom","b1_Gom","c1_Gom"
"1","Belgium",67,184,59168.8921544408,3.95412802953336,0.0992654124729437,61029.5691704342,0.0599319351656872,6.93190233633138,60703.4258875487,8.71314537985854,0.0643891428879471
"2","Croatia",81,160,2154.04442626588,2.73856224267121,0.130649052290243,2228.78119599762,0.0732159883085752,2.70197232869357,2199.75364093435,4.18230411612466,0.0878175374768639
"3","Denmark",72,194,12275.1381369733,2.93050063595382,0.0737125617415274,12955.8691534689,0.0400002352621075,3.02120234304722,12710.16166275,4.5777139011037,0.0477905961176248
"4","Estonia",77,184,1839.96222638925,2.50572139810387,0.100743120158788,1912.1604699101,0.053276487261488,2.15991219215801,1879.19425328337,3.60658137814401,0.0674985974607717
"5","Finland",74,199,7140.23782584135,3.13028373391124,0.0751914281045076,7468.7488793512,0.0423019384233101,3.5776010993228,7371.54801831868,5.12765476410854,0.0486712506004755
"6","Iceland",73,144,1749.5100465806,3.76705042484565,0.181761150574978,1780.01052117672,0.11508012714042,6.64424628070391,1776.67883936532,8.02542664196496,0.121324445150179
"7","Jamaica",99,164,512.047798279355,3.7428222172281,0.163546408237691,535.13694563129,0.0934868418933958,5.4924559209004,529.985922868284,7.29388226990307,0.10326833760375
"8","Lithuania",84,185,1762.96864943108,2.04918311230736,0.087178362798393,1874.00370926756,0.0411230377760758,1.42944424960824,1803.65359941558,2.81703622959473,0.0605568204264179
"9","Luxembourg",79,161,3842.91869002922,2.67305919075021,0.153039931955672,3935.43154181618,0.0871812140318615,2.62605934494914,3898.1674980141,4.10293548208664,0.104721994197315
"10","Malta",84,197,612.947027426297,1.85822738635431,0.0627178982357661,667.047906004763,0.0279496382147393,1.22826248722539,628.129143945029,2.55593676408055,0.0447289147554698
"11","New_Zealand",85,160,1090.57236430771,2.66945285601889,0.235375803295092,1102.48482648088,0.141382370990719,2.79192184065817,1098.45985541059,4.14940418357502,0.16392230867533
"12","Somalia",110,NA,3181.09451192488,2.63799884275855,0.0649996728156194,3352.04351782311,0.0341597360400502,2.3469422938095,3279.73742015315,3.81098247594285,0.042637136113942
"13","South_Korea",53,125,10201.6672102459,2.93583130945309,0.168945134683072,10534.8659166561,0.0943915255333303,3.11316640248627,10403.5337044071,4.79916489297308,0.113011954082548
"14","Spain",64,168,233322.972613831,4.19228987481289,0.118764415509637,239843.945448615,0.0729597554040884,8.4127732339034,238783.967133667,10.3338881319132,0.0776022922613414
"15","Thailand",72,NA,3123.29939769907,3.49156043302148,0.135988591530258,3156.75191217177,0.0805132965170233,4.78590460204249,3147.68636739665,6.61404656346157,0.0900511201791477
"16","Tunisia",85,143,981.226786257357,2.56677308535328,0.141657593047422,1043.53544532473,0.0728449522996833,2.21175678730436,1013.78701177572,3.72305954694973,0.0938178202130147
