"국가별",2016,2017,2018
"아시아",,,
"한국",2.9,3.2,2.7
"아프가니스탄",2.3,2.7,1.0
"아르메니아",0.2,7.5,5.2
"아제르바이잔",-3.1,-0.3,1.4
"바레인",3.5,3.8,1.8
"방글라데시",7.1,7.3,7.9
"부탄",8.0,4.6,2.3
"브루나이",-2.5,1.3,0.1
"캄보디아",7.0,7.0,7.5
"중국",6.7,6.8,6.6
"키프로스",4.8,4.5,3.9
"동티모르",0.7,-9.2,2.8
"조지아",2.8,4.8,4.7
"홍콩",2.2,3.8,3.0
"인도",8.2,7.2,7.0
"인도네시아",5.0,5.1,5.2
"이란",13.4,3.8,-
"이라크",13.6,-1.7,0.6
"이스라엘",4.0,3.4,3.3
"일본",0.6,1.9,0.8
"요르단",2.0,2.1,1.9
"카자흐스탄",1.1,4.1,4.1
"쿠웨이트",2.9,-3.5,1.2
"키르기즈스탄",4.3,4.7,3.5
"라오스",7.0,6.9,6.5
"레바논",1.6,0.6,0.2
"마카오",-0.9,9.7,4.7
"말레이시아",4.2,5.9,4.7
"몰디브",7.3,6.9,6.1
"몽골",1.2,5.3,6.9
"미얀마",5.9,6.8,6.2
"네팔",0.6,7.9,6.3
"오만",5.0,-0.9,2.1
"파키스탄",5.5,5.7,5.4
"필리핀",6.9,6.7,6.2
"카타르",2.1,1.6,1.4
"사우디아라비아",1.7,-0.7,2.2
"싱가포르",3.0,3.7,3.1
"스리랑카",4.5,3.4,3.2
"대만",1.5,3.1,2.6
"타지키스탄",6.9,7.6,7.3
"태국",3.4,4.0,4.1
"터키",3.2,7.4,2.6
"투르크메니스탄",6.2,6.5,6.2
"아랍에미리트",3.0,0.8,1.4
"우즈베키스탄",6.1,4.5,5.1
"베트남",6.2,6.8,7.1
"예멘",-13.6,-5.9,-2.7
"북아메리카",,,
"캐나다",1.1,3.0,1.9
"그린란드",6.0,1.0,-
"멕시코",2.9,2.1,2.0
"미국",1.6,2.2,2.9
"남아메리카",,,
"앤티가바부다",5.6,3.0,4.9
"아르헨티나",-2.1,2.7,-2.5
"아루바",-0.2,1.3,-
"바하마",-1.7,1.4,-
"바베이도스",2.0,1.0,-
"벨리즈",-0.6,1.4,3.0
"볼리비아",4.3,4.2,4.2
"브라질",-3.3,1.1,1.1
"케이맨제도",3.1,3.0,-
"칠레",1.7,1.3,4.0
"콜롬비아",2.1,1.4,2.7
"코스타리카",4.2,3.4,2.7
"쿠바",0.5,1.8,-
"도미니카연방",2.5,-9.5,0.5
"도미니카공화국",6.6,4.6,7.0
"에콰도르",-1.2,2.4,1.4
"엘살바도르",2.5,2.3,2.5
"그레나다",3.7,5.1,4.8
"과테말라",3.1,2.8,3.1
"가이아나",3.3,2.1,3.4
"아이티",1.5,1.2,1.5
"온두라스",3.9,4.8,3.7
"자메이카",1.4,1.0,1.9
"니카라과",4.6,4.7,-3.8
"파나마",5.0,5.3,3.7
"파라과이",4.3,5.0,3.6
"페루",4.0,2.5,4.0
"푸에르토리코",-1.3,-2.7,-4.9
"세인트키츠네비스",2.3,1.2,3.0
"세인트루시아",3.9,3.7,0.6
"세인트빈센트그레나딘",2.0,0.9,2.6
"수리남",-5.6,1.7,2.0
"트리니다드토바고",-6.5,-1.9,0.7
"터크스케이커스제도",4.4,4.3,5.3
"미국령버진아일랜드",0.9,-1.7,-
"우루과이",1.7,2.6,1.6
"유럽",,,
"알바니아",3.3,3.8,4.0
"안도라",1.9,1.7,1.6
"오스트리아",2.0,2.6,2.7
"벨라루스",-2.5,2.5,3.0
"벨기에",1.5,1.7,1.4
"보스니아-헤르체고비나",3.1,3.2,3.1
"불가리아",3.9,3.8,3.1
