"스페인",23.21,25.10,24.30,26.71,24.11,27.07
"스웨덴",27.19,27.53,28.55,28.79,30.11,30.88
"스위스",31.90,26.29,33.00,27.81,33.80,29.26
"우크라이나",38.95,42.03,38.57,44.13,36.18,43.67
"영국",15.20,21.94,16.55,23.24,16.57,23.09
"아프리카",,,,,,
"알제리",18.51,29.18,20.94,27.23,-,-
"앙골라",28.93,12.23,-,-,-,-
"베냉",4.77,29.61,8.00,33.11,-,-
"보츠와나",47.03,39.26,-,-,-,-
"부룬디",3.74,24.81,-,-,-,-
"카메룬",10.13,15.96,-,-,-,-
"카보베르데",3.60,40.04,-,-,-,-
"코트디부아르",30.20,23.74,32.68,25.11,27.45,25.44
"이집트",6.63,18.00,10.67,24.58,-,-
"에티오피아",3.75,21.87,-,-,-,-
"케냐",8.23,20.39,-,-,-,-
"레소토",38.44,69.30,25.21,79.89,-,-
"리비아",25.79,33.04,-,-,-,-
"말리",21.48,27.45,-,-,-,-
"모리셔스",19.38,38.11,17.87,39.64,-,-
"모로코",22.09,40.35,23.41,41.23,25.03,43.28
"나미비아",42.61,61.15,35.18,48.72,-,-
"나이지리아",8.23,8.78,11.83,8.13,15.71,10.83
"르완다",7.21,30.74,8.82,31.48,-,-
"상투메프린시페",0.18,-,-,-,-,-
"세네갈",12.18,26.42,12.07,28.95,12.44,29.19
"세이셸",19.78,72.85,13.68,61.00,-,-
"남아프리카공화국",25.80,26.68,25.45,24.98,25.67,26.84
"수단",3.24,8.71,3.30,7.45,-,-
"탄자니아",8.84,15.85,5.40,10.48,-,-
"튀니지",32.25,46.54,36.13,51.77,-,-
"우간다",10.26,19.98,11.14,21.73,11.00,24.50
"잠비아",31.10,35.84,31.51,33.78,-,-
"짐바브웨",16.15,25.38,-,-,-,-
"오세아니아",,,,,,
"오스트레일리아",15.91,16.21,17.36,17.19,17.96,16.43
"피지",18.86,47.01,18.72,45.59,-,-
"뉴질랜드",17.97,19.13,18.81,19.81,19.32,21.40
"파푸아뉴기니",39.38,10.14,-,-,-,-
"솔로몬제도",33.35,35.11,34.56,34.26,-,-
"바누아투",6.38,48.54,7.12,43.65,6.99,39.40
