"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Afghanistan",37907.3306562724,5.36560303769921,0.0714172587601851,NA,NA,NA,89,NA
"Albania",24402.8427428863,5.11793792358099,0.0278893823412663,3480.25166542903,38.6493593870408,0.212347888436793,82,251
"Algeria",12055.7078500122,3.56595749295167,0.0619797852824876,40007.3260056407,8.94232096929607,0.0640840124104336,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",6001.1961493812,4.84793666096334,0.0432463956888076,NA,NA,NA,NA,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",1177895.10461925,6.76203873345435,0.0362094507988346,NA,NA,NA,NA,NA
"Armenia",45969.6893959166,5.12205860721317,0.0498771414138208,NA,NA,NA,81,NA
"Aruba",4049.28497316528,13.1490917532875,0.085520659974686,NA,NA,NA,96,NA
"Australia",6872.51455573042,4.92963729398298,0.198966513391629,19589.0074764874,14.7672433021237,0.0981138305952805,69,164
"Austria",15928.3717629651,3.93873892030108,0.158411573171425,NA,NA,NA,70,167
"Azerbaijan",38702.1018319137,5.60242721118794,0.0531890564315074,5863.06129747727,20.0008765582231,0.118646919383299,86,233
"Bahamas",4029.98997643462,9.35991747363848,0.0679407618908865,NA,NA,NA,110,NA
"Bahrain",47814.6276992704,5.36344916031215,0.0472328625214702,38605.747385152,13.5161004234393,0.0689036674774554,69,221
"Bangladesh",336088.004619816,4.52301452314004,0.0444338788418394,NA,NA,NA,95,260
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",67832.9501514937,4.16714606274882,0.0637142939202222,9198.68721786279,17.3679739240686,0.0985558169287265,84,230
"Belgium",59202.6976483168,3.95460744229989,0.0992818783944529,99865.3213029372,9.02070706984814,0.0432799419754406,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",301.905547949561,7.01731453703983,0.405745011373524,1212.27842353939,9.90091966782215,0.160808114699404,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",140340.444216436,5.5806558464409,0.0452176929747763,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",3836.26083980403,3.76709502672918,0.0436193123874372,NA,NA,NA,168,NA
"Brazil",5097749.63620652,5.17679213630904,0.0368523071252363,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2779.90869700903,3.29225935849827,0.071611676658732,14357.612099265,8.95822411051528,0.068490147946648,80,154
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",19342.1034460267,4.45567609406897,0.0528027092397998,7748.64707912486,7.86041089101299,0.062344600699202,88,186
"Canada",102585.215121437,3.92997568733961,0.0705366133249539,NA,NA,NA,71,190
"Cape_Verde",NA,NA,NA,NA,NA,NA,NA,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",4679.19412092704,4.21127005439469,0.0865443728049039,NA,NA,NA,125,NA
"Chad",NA,NA,NA,NA,NA,NA,NA,NA
"Chile",420450.377527534,5.36153184342411,0.0532318802878542,NA,NA,NA,78,NA
"China",85280.0861811252,8.02166928825312,0.190713773581409,NA,NA,NA,4,NA
"Colombia",911572.807288558,7.10842285124943,0.0463566375884009,NA,NA,NA,81,NA
"Comoros",NA,NA,NA,NA,NA,NA,NA,NA
"Congo",4988.74845177309,4.91327922567997,0.0472818875868552,1150.72678824125,48.7723605755671,0.327995144267135,103,236
"Costa_Rica",105336.870493085,7.43263095167253,0.0418405257963131,NA,NA,NA,82,NA
"Cote_dIvoire",18855.6110787738,5.320265714785,0.0536655658321724,2402.93390249853,25.3357768288933,0.15424141960777,89,235
"Croatia",2154.04471948548,2.73856518429759,0.130649091419811,3115.39371337718,15.1035353151819,0.12568799864053,81,160
"Cuba",1857.85872250024,3.2329789111798,0.123123834146495,402.654293306274,14.171510001775,0.19322209648711,89,148
"Curaçao",NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",8517.24656332019,3.14551486852484,0.110750908952295,NA,NA,NA,74,158
"Democratic_Republic_of_the_Congo",10185.2336007071,4.43445552659654,0.0526909256860891,NA,NA,NA,91,NA
"Denmark",12275.1387634213,2.93050018713101,0.0737125434163675,NA,NA,NA,72,194
"Djibouti",1039.26433701604,4.18012990020617,0.319115774560767,3995.58903192691,7.57076700472537,0.132038311073478,100,130
"Dominica",NA,NA,NA,NA,NA,NA,NA,NA
"Dominican_Republic",NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador",42372.7787724883,5.16879173656395,0.115092476118072,108379.311205246,6.05311704647289,0.0410431002598613,80,156
"Egypt",100497.483126693,6.15421880413541,0.0610226353082628,NA,NA,NA,75,NA
"El_Salvador",29701.2472725591,5.67131538334471,0.0495357289281523,NA,NA,NA,99,NA
"Equatorial_Guinea",6217.47607929139,3.52533745617267,0.0395782329858545,1864.59089594848,71.8883963779686,0.667010971892423,112,204
"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA
"Estonia",1839.96222664277,2.50572142910051,0.100743120985473,3448.23225245763,10.9528482099263,0.0515616542694428,77,184
"Eswatini",5691.94221179483,5.18672506487185,0.0513977158773756,NA,NA,NA,122,NA
"Ethiopia",88778.9473413107,7.67441930545867,0.0538867234142885,NA,NA,NA,103,NA
"Falkland_Islands_(Malvinas)",NA,NA,NA,NA,NA,NA,NA,NA
"Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",NA,NA,NA,NA,NA,NA,NA,NA
"Finland",7140.23761859357,3.13028310637245,0.075191422300032,5716.73139283108,10.7054121270899,0.0504599187707071,74,199
"France",148083.164759358,4.33460882853431,0.104980489487385,1250397.74672183,11.6658921427296,0.0506278482133904,63,173
"French_Polynesia",NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",6387.36991333411,4.04995597386903,0.069642077937948,2669.30068183388,13.9483050279295,0.125015115136818,107,198
"Gambia",3453.11130207746,5.6165977482754,0.120485238434153,NA,NA,NA,188,NA
