"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",1.53761534160411,23.1501934383687,25.7313676790362,0.899687639115647,1,1,161,NA,NA,NA,NA,89,NA,NA,NA,NA
"2","Albania",47.3888857053367,2.86827415042501,2.02866967530414,1.41386948567415,1,1,262,NA,NA,NA,NA,82,NA,NA,NA,NA
"3","Algeria",10.0753810004443,19.5045720614917,8.51015805602589,2.29191654644779,2,2,142,212,NA,NA,NA,81,167,NA,NA,NA
"4","Angola",28.5419897982421,3.37605539862015,1.15319504900366,2.92756667793275,0,1,NA,NA,NA,NA,NA,144,NA,NA,NA,NA
"5","Argentina",53.2129158200722,230.682416035563,0,-Inf,0,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"6","Armenia",16.5198059578903,14.9634491494768,12.8089622301141,1.16820152020571,1,2,183,NA,NA,NA,NA,81,248,NA,NA,NA
"7","Aruba",9.60544220502085,5.7533891365459,1.94665534238391,2.95552531117306,1,1,260,NA,NA,NA,NA,96,NA,NA,NA,NA
"8","Australia",1.13865501531096,21.9893557671456,18.0792206246381,1.21627785974241,2,2,92,219,NA,NA,NA,69,164,NA,NA,NA
"9","Austria",17.380347993479,40.8752861750488,30.185678768598,1.35412844244441,1,2,91,NA,NA,NA,NA,70,167,NA,NA,NA
"10","Azerbaijan",9.06431796895345,13.5281586711346,17.6588919640638,0.766081965882382,1,2,190,NA,NA,NA,NA,86,233,NA,NA,NA
"11","Bahamas",28.727696042917,2.32019860048055,0.574311533213383,4.03996518666201,0,1,NA,NA,NA,NA,NA,110,NA,NA,NA,NA
"12","Bahrain",25.9739183886801,25.3548936210913,10.1961538289499,2.48671156265818,2,2,184,265,NA,NA,NA,69,221,NA,NA,NA
"13","Bangladesh",18.500888706134,83.2273513211476,47.5112468278539,1.75173999585199,1,2,183,NA,NA,NA,NA,95,275,NA,NA,NA
"14","Belarus",7.94958358353858,31.1768138948686,25.2876495562767,1.23288698008432,1,2,143,NA,NA,NA,NA,84,230,NA,NA,NA
"15","Belgium",23.0918670479031,68.1524091467309,52.8170884177325,1.29034771109893,1,2,102,NA,NA,NA,NA,67,184,NA,NA,NA
"16","Benin",2.3559442433187,2.61000273699774,3.01857668795591,0.864646820937702,3,3,134,179,203,NA,NA,117,148,194,NA,NA
"17","Bolivia",16.8984636974401,28.8151237107879,41.3871846881914,0.696232998883093,1,1,207,NA,NA,NA,NA,91,NA,NA,NA,NA
"18","Bosnia_and_Herzegovina",34.2761440297882,7.08847197704122,4.56026677964149,1.55439852964008,1,2,220,NA,NA,NA,NA,84,275,NA,NA,NA
"19","Botswana",27.809761732298,1.6934061492172,0.883270694562157,1.91719951725177,0,1,NA,NA,NA,NA,NA,168,NA,NA,NA,NA
"20","Brazil",36.1759323541803,783.721085676785,784.289163092595,0.999275678611228,1,1,217,NA,NA,NA,NA,76,NA,NA,NA,NA
"21","Bulgaria",23.6310302882862,6.49246932071634,5.56897146919778,1.16582915833318,2,3,123,208,NA,NA,NA,80,154,249,NA,NA
"22","Cameroon",5.20709861301994,8.94635741467198,11.7611712408712,0.760668919059909,2,2,165,194,NA,NA,NA,88,186,NA,NA,NA
"23","Canada",16.7879637312568,71.6283013225392,38.5084421116562,1.86006749156071,2,3,122,210,NA,NA,NA,71,190,230,NA,NA
"24","Cape_Verde",46.3786773575313,1.47495701886919,0.958436618565372,1.5389197264572,0,1,NA,NA,NA,NA,NA,113,NA,NA,NA,NA
"25","Central_African_Republic",0.840544424144762,3.67990349662531,3.63667999825488,1.01188542802533,1,1,179,NA,NA,NA,NA,125,NA,NA,NA,NA
"26","Chile",5.71675616301698,282.917905007907,372.517245796521,0.759475992589199,1,1,173,NA,NA,NA,NA,78,NA,NA,NA,NA
"27","China",0.0402234701033414,204.487381702592,260.738324989569,0.784262849394206,1,1,45,NA,NA,NA,NA,4,NA,NA,NA,NA
"28","Colombia",29.8386113021746,229.894615531639,174.331499134458,1.31872103821196,1,1,232,NA,NA,NA,NA,81,NA,NA,NA,NA
"29","Congo",1.39751235926623,4.92826153830728,4.95604348950733,0.99439432860933,2,2,202,251,NA,NA,NA,103,236,NA,NA,NA
"30","Costa_Rica",60.7461141120035,19.692811643307,1.0061107621924,19.5732044455966,1,1,271,NA,NA,NA,NA,82,NA,NA,NA,NA
"31","Cote_dIvoire",3.90238996667338,11.4527858909233,9.69677032219536,1.18109282888845,2,2,178,252,NA,NA,NA,89,235,NA,NA,NA
"32","Croatia",16.0275587710608,11.682073816726,5.07649807550942,2.30120717923324,3,3,96,202,248,NA,NA,81,160,220,NA,NA
"33","Cuba",20.2702949298834,2.63844232564118,1.86262432344281,1.41651877538267,3,3,112,159,266,NA,NA,89,148,185,NA,NA
