"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Afghanistan",37681.2345121871,5.42535292549827,0.0724614308762598,NA,NA,NA,89,NA
"Albania",24402.8420302671,5.11793792872265,0.0278893826574959,2144.4062867166,61.9318757519196,0.34873684815351,82,251
"Algeria",12055.7002180508,3.56595966327314,0.0619798499522925,38476.9749608614,9.33929409475055,0.0677216094769783,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",4205.50418270503,5.03569351564056,0.05217745204518,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",992178.670564306,6.81524133102647,0.038165297147529,NA,NA,NA,80,NA
"Armenia",44968.4633095199,5.26567837272923,0.0519129363022195,NA,NA,NA,81,NA
"Aruba",3317.41740589752,15.2143541326222,0.102448083001471,NA,NA,NA,96,NA
"Australia",6872.51461679797,4.9296369733423,0.198966494827167,19448.1613612513,14.9483955499988,0.0994587036400345,69,164
"Austria",15928.3723133887,3.93873845524488,0.158411534976906,75252.0463304587,8.5846458903372,0.037756954800462,70,167
"Azerbaijan",38702.1098923052,5.60242461061596,0.0531890272794453,4670.4279703294,25.2187339157682,0.153480216948386,86,233
"Bahamas",3394.17449055763,10.3367537218611,0.0781854507787945,NA,NA,NA,110,NA
"Bahrain",47814.6241620677,5.36344969105301,0.0472328687775158,28500.7417384198,14.7526389040586,0.0783592969371224,69,221
"Bangladesh",336088.117695508,4.52300957394206,0.044433823748116,NA,NA,NA,95,260
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",67832.9500019972,4.16714658070734,0.0637143006130253,6082.456549665,23.0404498012561,0.137196249730242,84,230
"Belgium",59202.7064935488,3.95460428771236,0.0992817748494813,39052.9325658769,11.6003408164941,0.0672147234404415,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",301.905603694475,7.01730705778783,0.405744541037145,1212.27885813229,9.9009116414264,0.160807969765527,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",138777.512792155,5.61770134162474,0.0457479816847619,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",3490.46801594463,3.73842738357255,0.0454728283841047,NA,NA,NA,NA,NA
"Brazil",4926238.55590782,5.24623187516486,0.0379396861577114,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Brunei_Darussalam",NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",2779.90952343753,3.29225859016299,0.071611643059231,14357.6117294747,8.95822280595322,0.0684901393599621,80,154
"Burkina_Faso",NA,NA,NA,NA,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon",19342.1318242516,4.45567581594143,0.0528026693107287,7182.01686658475,9.01937870897555,0.0733666520413446,88,186
"Canada",102585.212904402,3.92997689958799,0.0705366332904898,NA,NA,NA,71,190
"Cape_Verde",6172.63159311507,4.0144438145298,0.0336265564311321,NA,NA,NA,113,NA
"Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA
"Central_African_Republic",4665.18048766907,4.2306755194942,0.0871309981782786,NA,NA,NA,125,NA
"Chad",NA,NA,NA,NA,NA,NA,NA,NA
"Chile",408301.226815709,5.61766937689526,0.0567101979297366,NA,NA,NA,78,NA
"China",85024.4859587327,8.07956387971257,0.192318239358546,NA,NA,NA,4,NA
"Colombia",907334.139899891,7.12530214246496,0.0465382249164938,NA,NA,NA,81,NA
"Comoros",NA,NA,NA,NA,NA,NA,NA,NA
"Congo",4988.76045710108,4.91327025922645,0.0472817461279736,1117.3635954043,52.0519665657979,0.350664364421166,103,236
"Costa_Rica",88037.5347142041,7.61676484893227,0.0448589161428347,NA,NA,NA,82,NA
"Cote_dIvoire",18855.6025594667,5.32027172775624,0.0536656367540074,2189.59553006894,28.5000258882526,0.175105415022264,89,235
"Croatia",2154.0442400258,2.73856473244831,0.130649179313964,3115.39247366548,15.1035505297014,0.125688132940599,81,160
"Cuba",1857.85849600348,3.23297856728239,0.123123847503699,NA,NA,NA,89,148
"Curaçao",NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",8517.25315842777,3.14550738867617,0.110750490414033,NA,NA,NA,74,158
"Democratic_Republic_of_the_Congo",10062.0934709601,4.50649251925546,0.0539876875770153,NA,NA,NA,91,NA
"Denmark",12275.1319881497,2.93050562213589,0.073712752552959,10646.7999079021,11.2457434602896,0.0611405333896911,72,194
"Djibouti",1039.2645992494,4.18012581650532,0.319115376893074,3995.58610777945,7.57083483384328,0.132039619403178,100,130
"Dominica",NA,NA,NA,NA,NA,NA,NA,NA
"Dominican_Republic",141487.684569058,4.4828605817888,0.0323907034719816,NA,NA,NA,84,247
