"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Afghanistan",37569.2393987617,5.45451666035305,0.0729739008527695,NA,NA,NA,89,NA
"Albania",24402.8420242628,5.11793785594948,0.0278893821563716,1296.79005940482,96.090941608177,0.54968617615263,82,251
"Algeria",12055.7074230335,3.56595761527808,0.0619797889156106,37543.7028200191,9.57608634873457,0.0699264643514173,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",3852.67774076283,5.11482902189236,0.0550016209670105,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",898144.310942931,6.84390028242455,0.0393218503645203,NA,NA,NA,80,NA
"Armenia",44587.7564906852,5.31870385205037,0.05267761684891,NA,NA,NA,81,NA
"Aruba",2823.98150429767,17.3940870213775,0.120079696626514,NA,NA,NA,96,NA
"Australia",6872.51395060515,4.92964242746041,0.198966762881959,19359.2178488621,15.0525376375172,0.100239127149389,69,164
"Austria",15928.3784099325,3.93872567443583,0.158410867221916,33174.8065586471,8.37030170004623,0.042395291962774,70,167
"Azerbaijan",38702.1233823384,5.6024238419618,0.0531890098224536,3976.03121674214,29.5551544083618,0.182543424352428,86,233
"Bahamas",3163.60698282329,10.7443515697766,0.0825283952776612,NA,NA,NA,110,NA
"Bahrain",47814.6276165264,5.36344918244581,0.0472328627483959,19288.1020394406,17.3701354416106,0.0970124347534508,69,221
"Bangladesh",336087.961974555,4.52302005072953,0.0444339310515314,NA,NA,NA,95,260
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",67832.9481994872,4.16714756977678,0.0637143157481101,4949.41864498767,27.0634349333289,0.164349184139048,84,230
"Belgium",59202.6991786863,3.95460638487449,0.0992818502213606,31684.1043761472,13.4242417349986,0.0810270605046751,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",301.90550225147,7.01733713765545,0.405746234222749,1212.27909976281,9.90090689443167,0.160807884830431,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",137742.355612871,5.63885481543899,0.0460700163300421,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",3024.03694015434,3.68966489697068,0.0483897537327591,NA,NA,NA,168,NA
"Brazil",4835997.84527404,5.27923937038313,0.0384940088070886,NA,NA,NA,76,NA
"British_Virgin_Islands",NA,NA,NA,NA,NA,NA,NA,NA
