"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"Afghanistan",37907.3312141757,5.36560256074499,0.0714172511011891,NA,NA,NA,89,NA
"Albania",NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",12055.7128355257,3.5659560622109,0.0619797428243754,40007.327678524,8.94231770550997,0.0640839894183311,81,167
"Andorra",NA,NA,NA,NA,NA,NA,NA,NA
"Angola",6001.19604202081,4.84793529762599,0.0432463833806243,NA,NA,NA,144,NA
"Anguilla",NA,NA,NA,NA,NA,NA,NA,NA
"Antigua_and_Barbuda",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",1177895.41318973,6.76203842325529,0.0362094463956537,NA,NA,NA,NA,NA
"Armenia",45969.7100638826,5.12205290185388,0.0498770668691074,NA,NA,NA,81,NA
"Aruba",4049.28308932636,13.1491030316406,0.0855207409466367,NA,NA,NA,96,NA
"Australia",6872.51412057267,4.92964195698952,0.198966725383718,19589.0071353354,14.7672475139761,0.0981138578651274,69,164
"Austria",15928.3770654788,3.93872805912436,0.158411000551714,NA,NA,NA,70,167
"Azerbaijan",38702.1040129855,5.6024266567401,0.0531890498483441,5863.06100360876,20.000890871448,0.118647003002566,86,233
"Bahamas",4029.98767109879,9.35992174880166,0.0679408041086404,NA,NA,NA,110,NA
"Bahrain",47814.6271169042,5.36344925847832,0.04723286364098,38605.7135171252,13.5161086178254,0.0689037189786512,69,221
"Bangladesh",336087.875696895,4.52301788173455,0.0444339220413771,23770.8138583079,57.1094131593763,0.329390236856416,95,260
"Barbados",NA,NA,NA,NA,NA,NA,NA,NA
"Belarus",67832.9487120866,4.16714718454932,0.0637143101470987,NA,NA,NA,NA,NA
"Belgium",59202.7000260012,3.95460313967424,0.0992817812728348,99866.2302335059,9.02068178364368,0.0432797355889789,67,184
"Belize",NA,NA,NA,NA,NA,NA,NA,NA
"Benin",301.905503278388,7.01733695976624,0.405746223523855,1212.278521345,9.90091982880019,0.160808112265094,117,148
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia",140340.453802846,5.58065481378991,0.0452176833456772,NA,NA,NA,91,NA
"Bonaire, Saint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia_and_Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA
"Botswana",3836.26537868941,3.76709330384733,0.0436192616662189,NA,NA,NA,168,NA
