"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",1.92543730125628,23.1501934383687,25.7313676790362,0.899687639115647,1,1,161,NA,NA,NA,NA,89,NA,NA,NA,NA
"2","Albania",53.3969519242531,2.86827415042501,2.02921188726484,1.4134916951877,0,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"3","Algeria",13.442761278696,19.5045720614917,8.51015805602589,2.29191654644779,2,2,142,212,NA,NA,NA,81,167,NA,NA,NA
"4","Angola",36.7904401772915,1.85618575055932,1.15319504900366,1.60960260119312,0,1,NA,NA,NA,NA,NA,144,NA,NA,NA,NA
"5","Argentina",46.8626364447525,230.682416035563,0,-Inf,0,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"6","Armenia",11.3488181329196,14.9634491494768,12.8089622301141,1.16820152020571,1,2,183,NA,NA,NA,NA,81,248,NA,NA,NA
"7","Aruba",13.9606926721101,5.7533891365459,0.649128133023268,8.86325648797549,0,1,NA,NA,NA,NA,NA,96,NA,NA,NA,NA
"8","Australia",2.41112466040169,21.9893557671456,18.0792206246381,1.21627785974241,2,2,92,219,NA,NA,NA,69,164,NA,NA,NA
"9","Austria",14.6224229732893,40.8752861750488,30.185678768598,1.35412844244441,1,2,91,NA,NA,NA,NA,70,167,NA,NA,NA
"10","Azerbaijan",10.0034210236622,13.5281586711346,17.6588919640638,0.766081965882382,1,2,190,NA,NA,NA,NA,86,233,NA,NA,NA
"11","Bahamas",24.7402817910146,2.32019860048055,0.574311533213383,4.03996518666201,1,1,237,NA,NA,NA,NA,110,NA,NA,NA,NA
"12","Bahrain",27.4916898257741,24.5327502145763,10.1961538289499,2.40607886327886,1,2,184,NA,NA,NA,NA,69,221,NA,NA,NA
"13","Bangladesh",20.7268236570744,83.2273513211476,47.5112468278539,1.75173999585199,1,2,183,NA,NA,NA,NA,95,265,NA,NA,NA
"14","Belarus",6.161975683738,31.1768138948686,25.2876495562767,1.23288698008432,1,2,143,NA,NA,NA,NA,84,230,NA,NA,NA
"15","Belgium",15.5792014746126,68.1524091467309,52.8170884177325,1.29034771109893,1,2,102,NA,NA,NA,NA,67,184,NA,NA,NA
"16","Benin",2.48534357692238,2.61000273699774,3.01857668795591,0.864646820937702,3,3,134,179,203,NA,NA,117,148,194,NA,NA
"17","Bolivia",27.5580669238288,28.8151237107879,41.3871846881914,0.696232998883093,1,1,207,NA,NA,NA,NA,91,NA,NA,NA,NA
"18","Bosnia_and_Herzegovina",39.7876771461364,7.08847197704122,4.56026677964149,1.55439852964008,1,2,220,NA,NA,NA,NA,84,233,NA,NA,NA
"19","Botswana",27.3339727579359,1.6934061492172,0.644908951866022,2.62580654884289,1,1,258,NA,NA,NA,NA,168,NA,NA,NA,NA
"20","Brazil",38.2964316713154,783.721085676785,766.980088589109,1.02182715997031,1,1,217,NA,NA,NA,NA,76,NA,NA,NA,NA
"21","Bulgaria",20.5508777268722,6.49246932071634,5.56897146919778,1.16582915833318,2,3,123,208,NA,NA,NA,80,154,249,NA,NA
"22","Cameroon",7.43367454577668,8.94635741467198,11.7611712408712,0.760668919059909,2,2,165,194,NA,NA,NA,88,186,NA,NA,NA
"23","Canada",10.5355530159793,71.6283013225392,38.5084421116562,1.86006749156071,2,3,122,210,NA,NA,NA,71,190,230,NA,NA
"24","Cape_Verde",46.6720938788238,1.47349803087047,0.958436618565372,1.5373974682604,0,1,NA,NA,NA,NA,NA,113,NA,NA,NA,NA
"25","Central_African_Republic",1.26830005169693,3.67990349662531,3.63667999825488,1.01188542802533,1,1,179,NA,NA,NA,NA,125,NA,NA,NA,NA
"26","Chile",6.21123847101159,282.917905007907,372.517245796521,0.759475992589199,1,1,173,NA,NA,NA,NA,78,NA,NA,NA,NA
"27","China",0.0503622306523364,204.487381702592,260.738324989569,0.784262849394206,1,1,45,NA,NA,NA,NA,4,NA,NA,NA,NA
"28","Colombia",31.2730642259749,229.894615531639,174.225875676557,1.31952050542957,1,1,232,NA,NA,NA,NA,81,NA,NA,NA,NA
"29","Congo",4.55022012921745,4.92989147460577,4.21462917366178,1.16970942673055,2,2,202,251,NA,NA,NA,103,236,NA,NA,NA
"30","Costa_Rica",60.2364539989751,19.6717180222751,1.0061107621924,19.552238939785,0,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"31","Cote_dIvoire",5.01461876506644,11.4527858909233,9.69677032219536,1.18109282888845,2,2,178,252,NA,NA,NA,89,235,NA,NA,NA
"32","Croatia",18.6667392591665,11.682073816726,3.93497397229129,2.96878045420048,3,3,96,202,248,NA,NA,81,160,220,NA,NA
