"","a1_Logi","b1_Logi","c1_Logi","a2_Logi","b2_Logi","c2_Logi","startpoint","breakpoint"
"France",148083.206843121,4.33460410718958,0.104980326068271,1412039.29765253,11.6906787961365,0.0500273594537258,63,173
"French_Polynesia",NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",6387.36874464715,4.04995693365679,0.0696421027459299,2645.24754302309,14.2621962937286,0.128089953970385,107,198
"Gambia",3414.78869734563,5.69911893891898,0.122970373579432,NA,NA,NA,188,NA
"Georgia",832.40381927944,2.66040968877811,0.070516496843124,NA,NA,NA,86,185
"Germany",175870.890021836,4.49396108780615,0.114931766428219,147184.525257889,7.53346439474215,0.0381315438346757,63,165
"Ghana",8373.1725066039,5.37778619101805,0.112030270901812,39801.1223604044,7.43506873665549,0.0650761306650905,89,149
"Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA
"Greece",2722.55390718325,3.01698577983265,0.110824895337676,17355.1391655028,10.5297931928639,0.0573633381916759,72,153
"Greenland",NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",NA,NA,NA,NA,NA,NA,NA,NA
"Guam",NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",89132.6831565254,5.54967633927769,0.0477146491092354,NA,NA,NA,99,NA
"Guernsey",NA,NA,NA,NA,NA,NA,NA,NA
"Guinea",5405.94344440833,3.13545376756341,0.0663010924941273,5087.72753351058,8.45938985942927,0.0650080676717036,98,187
"Guinea_Bissau",1291.36935429569,3.56774166729375,0.16240387333483,852.187339745299,5.07827073898566,0.0578663548615101,116,168
"Guyana",NA,NA,NA,NA,NA,NA,NA,NA
"Haiti",7984.35931270799,4.25546941524877,0.0733493034139917,NA,NA,NA,115,NA
"Holy_See",NA,NA,NA,NA,NA,NA,NA,NA
"Honduras",56989.0632925095,6.21919281737448,0.0563831656264034,22060.5128340359,23.3256915033408,0.145987407279535,90,231
"Hungary",NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",1749.5100641005,3.76704955624531,0.181761111179849,519.972358086945,10.5891707939869,0.0620537403996911,73,144
"India",8868761.02252573,6.88215344742207,0.0375671816141134,NA,NA,NA,75,NA
"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA
"Iran",95727.2971440951,4.29237952036754,0.108230213807185,306355.449691277,5.39256868476216,0.0393184412352741,59,125
"Iraq",416290.164518404,6.53939342969165,0.0386863799634118,NA,NA,NA,73,NA
"Ireland",24975.5288710539,4.31041091350744,0.116014188221792,15399.1421772987,10.8819273062607,0.0554119556701035,76,182
"Isle_of_Man",NA,NA,NA,NA,NA,NA,NA,NA
"Israel",NA,NA,NA,NA,NA,NA,NA,NA
"Italy",234731.191362862,3.84973885461892,0.0866733811854266,91721.6950173563,13.7111170271568,0.0664366567929059,57,195
"Jamaica",NA,NA,NA,NA,NA,NA,NA,NA
"Japan",16561.6888167292,7.33579563923512,0.1229840443943,62536.8125393313,14.265483933419,0.0804218834614481,52,153
"Jersey",NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan",142730.922255012,7.1346293798147,0.0585085922809237,NA,NA,NA,85,260
"Kenya",38978.732405395,7.05069803892716,0.0579684927642268,NA,NA,NA,95,NA
"Kosovo",16632.8747686163,6.16825832345219,0.0468675795669126,NA,NA,NA,88,NA
"Kuwait",69592.5478903317,5.29595299545867,0.0507287613626469,35264.9802529399,16.5886088496195,0.0900155728696004,67,222
"Kyrgyzstan",44258.7136608846,13.2493998609733,0.115176378319694,NA,NA,NA,91,NA
"Laos",NA,NA,NA,NA,NA,NA,NA,NA
"Latvia",NA,NA,NA,NA,NA,NA,NA,NA
"Lebanon",65869.1650693232,8.901502291166,0.0447845770494812,NA,NA,NA,76,NA
"Lesotho",NA,NA,NA,NA,NA,NA,NA,NA
"Liberia",NA,NA,NA,NA,NA,NA,NA,NA
"Libya",56114.8405664955,8.21137074430427,0.052921193033707,NA,NA,NA,NA,NA
"Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania",1762.96916025402,2.04918082660008,0.0871782017390008,2523.04508812822,10.3057507962593,0.0602850521049526,84,185
"Luxembourg",3842.91953994985,2.67305572006738,0.153039623171972,4615.82064463758,10.3474342405462,0.0744451988710693,79,161
"Madagascar",15783.1184126948,8.76369483616906,0.0776840172743085,NA,NA,NA,97,NA
"Malawi",412.534311605664,6.9410126199421,0.316354340218152,5246.93533661825,5.86376209793244,0.0792999372826831,135,167
"Malaysia",6466.7298613278,3.52342628834055,0.111355293712718,1762.18104238796,15.8848298554487,0.18052170866725,69,141
"Maldives",2238.40824769875,2.76981722023245,0.0891716974869284,7935.28803762428,9.16381896144392,0.0744344989700022,115,184
"Mali",NA,NA,NA,NA,NA,NA,NA,NA
"Malta",612.946211717533,1.85823225831549,0.0627182601248554,1324.85603069564,24.9058531491522,0.164026821420241,83,196
