"","Max_Cases","Predict_Week_4","Predict_Week_8"
"전국(지역)",14218,24.3734617697858,11.8271778780477
"수도권(서울+경기+인천)",4460,41.354491644455,37.3535306428784
"비수도권",9758,2.21017378330676,0.578860151030366
