"","전국(지역)","수도권(서울+경기+인천)","비수도권"
"(Intercept)",0.920387811778849,-0.41597136223331,-5.00054833457385
"log(Days)",1.33971694609235,0.747104178799443,3.59485741695608
"Days",-0.0263968552856491,0.000166746112032541,-0.0800950411277485
"R-square",0.165625498833324,0.148903620406795,0.372174109075924
