"","country","current_state","max_spread","max_suppression","control_index","peak_number","break_number","peak1","peak2","peak3","peak4","peak5","break1","break2","break3","break4","break5"
"1","Afghanistan",2.12202417824271,23.1501934383687,25.7313676790362,0.899687639115647,1,1,161,NA,NA,NA,NA,89,NA,NA,NA,NA
"2","Albania",52.9999622210717,2.86827415042501,0.8144454436083,3.5217511165849,0,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"3","Algeria",20.7341895771822,19.5045720614917,8.17542820984517,2.38575540764991,2,2,142,212,NA,NA,NA,81,167,NA,NA,NA
"4","Andorra",5.27125811327948,1.77729438524377,1.10272829263644,1.61172466246835,2,3,94,159,NA,NA,NA,84,144,186,NA,NA
"5","Angola",27.4495989077472,1.85618575055932,1.1812410345317,1.57138610689663,0,1,NA,NA,NA,NA,NA,144,NA,NA,NA,NA
"6","Argentina",52.9099711453641,144.62266249536,0,-Inf,0,1,NA,NA,NA,NA,NA,80,NA,NA,NA,NA
"7","Armenia",10.1518151461138,14.9634491494768,12.8089622301141,1.16820152020571,1,1,183,NA,NA,NA,NA,81,NA,NA,NA,NA
"8","Aruba",11.79655296381,5.7533891365459,0.413570906640274,13.9114938796946,1,1,233,NA,NA,NA,NA,96,NA,NA,NA,NA
"9","Australia",8.36643690647899,21.9893557671456,18.0792206246381,1.21627785974241,2,2,92,219,NA,NA,NA,69,164,NA,NA,NA
"10","Austria",6.44665261294536,40.8752861750488,30.185678768598,1.35412844244441,1,2,91,NA,NA,NA,NA,70,167,NA,NA,NA
"11","Azerbaijan",10.9351480297867,13.5281586711346,17.6588919640638,0.766081965882382,1,2,190,NA,NA,NA,NA,86,233,NA,NA,NA
"12","Bahamas",24.1674998024191,2.32019860048055,0.921260961963299,2.51850311288126,1,1,237,NA,NA,NA,NA,110,NA,NA,NA,NA
"13","Bahrain",21.9011930833291,17.2374552054544,10.1961538289499,1.69058406675977,1,2,184,NA,NA,NA,NA,69,221,NA,NA,NA
"14","Bangladesh",29.6377359033901,83.2273513211476,47.5112468278539,1.75173999585199,1,2,183,NA,NA,NA,NA,95,221,NA,NA,NA
"15","Belarus",4.94470495845846,31.1768138948686,25.2876495562767,1.23288698008432,1,2,143,NA,NA,NA,NA,84,230,NA,NA,NA
"16","Belgium",6.77513398259395,68.0960317583542,52.7597187035987,1.29068223697162,2,2,102,224,NA,NA,NA,67,184,NA,NA,NA
"17","Belize",13.4011085398,2.48790570085036,0.328403674315538,7.57575476594674,1,1,235,NA,NA,NA,NA,217,NA,NA,NA,NA
"18","Benin",3.12297114005548,2.61000273699774,3.01857668795591,0.864646820937702,3,3,134,179,203,NA,NA,117,148,194,NA,NA
"19","Bolivia",39.7285450495376,28.8151237107879,23.9464520229121,1.2033149496726,1,1,207,NA,NA,NA,NA,91,NA,NA,NA,NA
"20","Bosnia_and_Herzegovina",38.40091177583,7.08847197704122,4.5616890151648,1.55391390195088,1,2,220,NA,NA,NA,NA,84,233,NA,NA,NA
"21","Botswana",21.8819481485377,1.69250435582759,0.644908951866022,2.62440822216902,0,1,NA,NA,NA,NA,NA,168,NA,NA,NA,NA
"22","Brazil",48.5492700973514,783.721085676785,444.579716922344,1.76283590061685,1,1,217,NA,NA,NA,NA,76,NA,NA,NA,NA
"23","Bulgaria",20.3813412854105,6.49246932071634,5.52135554164749,1.17588321776125,2,2,123,208,NA,NA,NA,80,154,NA,NA,NA
"24","Cameroon",5.57468970798988,8.94635741467198,11.7611712408712,0.760668919059909,2,2,165,194,NA,NA,NA,88,186,NA,NA,NA
"25","Canada",5.74618171854009,71.6283013225392,38.5084421116562,1.86006749156071,2,2,122,210,NA,NA,NA,71,190,NA,NA,NA
"26","Cape_Verde",37.8357445767374,1.2059934468,0.958436618565372,1.2582923309057,1,2,134,NA,NA,NA,NA,113,149,NA,NA,NA
"27","Central_African_Republic",0.784971389332296,3.67990349662531,3.63667999825488,1.01188542802533,1,1,179,NA,NA,NA,NA,125,NA,NA,NA,NA
"28","Chad",2.26083923061549,1.72281318218961,1.11120094367727,1.55040651467443,1,2,139,NA,NA,NA,NA,124,189,NA,NA,NA
"29","Chile",6.12609652626668,282.917905007907,372.517245796521,0.759475992589199,1,1,173,NA,NA,NA,NA,78,NA,NA,NA,NA
"30","China",0.143845426389247,204.487381702592,260.738324989569,0.784262849394206,1,1,45,NA,NA,NA,NA,4,NA,NA,NA,NA
"31","Colombia",44.5176122058742,229.894615531639,80.8418239179427,2.84375839621073,1,1,232,NA,NA,NA,NA,81,NA,NA,NA,NA
"32","Congo",4.8337186878359,3.19806730021044,2.72137870227698,1.17516437441603,1,1,202,NA,NA,NA,NA,103,NA,NA,NA,NA
"33","Costa_Rica",47.0333466897813,17.8046649247152,1.0061107621924,17.6965256647461,0,1,NA,NA,NA,NA,NA,82,NA,NA,NA,NA
"34","Cote_dIvoire",5.45219008472686,11.4527858909233,9.69677032219536,1.18109282888845,1,1,178,NA,NA,NA,NA,89,NA,NA,NA,NA
"35","Croatia",21.9731059324694,11.1409173896311,2.58457710842555,4.31053782582551,1,2,96,NA,NA,NA,NA,81,160,NA,NA,NA
"36","Cuba",16.848652453282,2.63844232564118,1.86262432344281,1.41651877538267,3,3,112,159,232,NA,NA,89,148,185,NA,NA
"37","Cyprus",8.07122983283143,1.55557378682609,1.41868589309254,1.09648921893144,2,2,100,225,NA,NA,NA,83,181,NA,NA,NA
"38","Czechia",22.2306792321003,13.3905816331588,9.76725087029681,1.37096730809699,1,2,96,NA,NA,NA,NA,74,158,NA,NA,NA
